year,moins_ADV eu_VERB,moins_ADV lu_VERB
1800,2.6096566330124915e-07,6.288328968651058e-09
1801,2.7383600809116615e-07,0.0
1802,1.6112448975036386e-07,2.2378401354217203e-08
1803,2.3014003147636686e-07,9.751696339321825e-09
1804,2.1505103120489366e-07,2.4718509905596875e-08
1805,2.899735136452364e-07,5.685755422035754e-09
1806,2.1612518708025164e-07,2.881669125542885e-09
1807,1.7651122163897526e-07,3.131650672116848e-08
1808,2.0621273222332093e-07,1.3596443970698147e-08
1809,3.185232912983338e-07,3.162642769893864e-08
1810,3.697400359214953e-07,3.978215445954447e-08
1811,1.1281845502253418e-07,2.757784400841956e-08
1812,3.6007310200147913e-07,3.467370746079723e-08
1813,4.3998846877002507e-07,0.0
1814,1.3530711839848664e-07,9.440030979135372e-09
1815,2.6702514333010186e-07,2.697223555614414e-09
1816,2.711596494009427e-07,0.0
1817,2.771234619558527e-07,2.9580593974287694e-08
1818,3.039900207113533e-07,2.026600220972341e-08
1819,3.094963858529809e-07,2.794783426907088e-08
1820,2.480094565271429e-07,2.0173018810965004e-08
1821,3.2444296493849833e-07,1.7750679148775816e-08
1822,1.804610860745015e-07,2.4061478143266868e-08
1823,2.401492906756175e-07,2.9648060007048116e-08
1824,2.896862838497327e-07,2.3579115548955087e-08
1825,2.3686641270614928e-07,4.3146670236637874e-08
1826,2.483851631041034e-07,1.145037931138404e-08
1827,2.414925575067173e-07,1.8434546333878643e-08
1828,3.6322313690106967e-07,1.3758452155343548e-08
1829,2.5290870553362765e-07,2.1432940755516938e-08
1830,3.1101771469366213e-07,1.0436835840010872e-09
1831,2.68168747652453e-07,2.494592976631793e-08
1832,2.92247335664797e-07,2.570694235259907e-08
1833,2.108220371610514e-07,1.50587169400751e-08
1834,2.7630210297502344e-07,8.401078055442213e-09
1835,2.3823727701710595e-07,1.5882484660778573e-08
1836,2.1775230152343283e-07,2.1506400216253496e-08
1837,2.3726407505364477e-07,1.0436836284100082e-08
1838,2.297626906511141e-07,5.049729523420865e-09
1839,2.467990611876303e-07,1.4682098203877558e-08
1840,2.08925783340419e-07,2.6115722917552375e-08
1841,2.2343509442634968e-07,3.2102742686390684e-09
1842,2.0057711935805855e-07,8.720745015011744e-09
1843,2.339136813134246e-07,2.7762482091020502e-08
1844,2.1405388395123737e-07,2.25031016043431e-08
1845,2.8347557190500083e-07,9.48638767539478e-09
1846,2.4881632043616264e-07,1.3465353276842507e-08
1847,2.119536901545871e-07,1.0786447290911383e-08
1848,2.083712473677224e-07,8.045221711050488e-10
1849,3.083624733335455e-07,5.865590679832167e-09
1850,2.2200016758233687e-07,6.788996032014438e-09
