year,sommes_VERB également_ADV,sommes_VERB egalement_ADV,sommes_VERB légalement_ADV
1800,1.2262241000371432e-07,0.0,0.0
1801,6.905429472681135e-08,0.0,0.0
1802,1.6336232988578558e-07,0.0,0.0
1803,1.326230716358623e-07,0.0,0.0
1804,1.5325475999361515e-07,0.0,0.0
1805,8.24434565060983e-08,0.0,0.0
1806,1.2679343797117326e-07,0.0,0.0
1807,9.679647661187119e-08,5.693910232196231e-09,0.0
1808,1.0423940466353088e-07,0.0,0.0
1809,1.219876537561504e-07,2.259030518203531e-09,0.0
1810,7.956430891908894e-08,0.0,0.0
1811,7.771937760026049e-08,0.0,0.0
1812,9.068507722531649e-08,0.0,0.0
1813,6.326631307729258e-08,0.0,0.0
1814,4.72001566720337e-08,0.0,0.0
1815,2.0768621311617608e-07,0.0,2.1577788444915313e-08
1816,2.1785476178592944e-07,0.0,2.3176038865813098e-09
1817,1.401186011662503e-07,3.113746815941454e-09,0.0
1818,1.1086694939876907e-07,0.0,0.0
1819,1.1282644862831148e-07,0.0,0.0
1820,1.5545090548130247e-07,1.1866481131050932e-09,0.0
1821,1.5285306176338054e-07,0.0,4.930744257336528e-09
1822,9.524335098376469e-08,0.0,3.0076847679083585e-09
1823,1.3143973376372742e-07,0.0,0.0
1824,1.1873768812620256e-07,0.0,8.421112696055388e-10
1825,1.171123926724249e-07,0.0,0.0
1826,1.153845943235865e-07,0.0,3.5231937367541377e-09
1827,1.1521591147811705e-07,9.217273055917019e-10,3.6869092223668076e-09
1828,1.5042573409118631e-07,0.0,0.0
1829,1.0887933399317262e-07,0.0,0.0
1830,1.711641033352862e-07,0.0,5.218417697960831e-09
1831,7.483778574624012e-08,0.0,1.5591206103948707e-09
1832,1.4477066656581883e-07,0.0,0.0
1833,1.4711207541040494e-07,0.0,0.0
1834,1.3068343207578437e-07,9.334530925997342e-10,0.0
1835,1.0588323107185715e-07,0.0,7.563087933704082e-10
1836,1.2298973217639286e-07,0.0,4.704525213838906e-09
1837,1.3359149875213916e-07,0.0,4.174734336004349e-09
1838,1.1929985532788123e-07,0.0,0.0
1839,1.0137639350205063e-07,0.0,0.0
1840,1.5605736791712843e-07,6.369688665408546e-10,1.9109065441114126e-09
1841,1.4767262257464608e-07,0.0,0.0
1842,1.7911067118348e-07,0.0,0.0
1843,1.4412863436064072e-07,0.0,0.0
1844,1.3556746125686914e-07,0.0,0.0
1845,1.5234022043841833e-07,0.0,0.0
1846,1.3816622868034756e-07,5.854501328173001e-10,0.0
1847,1.094824426672858e-07,0.0,2.6966118227278457e-09
1848,1.5849086310026905e-07,0.0,0.0
1849,1.516674075219271e-07,0.0,0.0
1850,1.3374322804793337e-07,0.0,6.788996032014438e-10
1851,1.386629264743533e-07,1.2898877521649865e-09,1.2898877521649865e-09
1852,1.3021090694564919e-07,0.0,6.510545436100301e-10
1853,1.128695146235259e-07,0.0,5.971931837933653e-10
1854,1.3196988390973274e-07,5.195664454227256e-10,0.0
1855,1.0401596739484376e-07,0.0,0.0
1856,9.9919752472033e-08,0.0,0.0
1857,1.1081025519388277e-07,0.0,4.881509085841174e-10
1858,1.6002320535335457e-07,0.0,0.0
1859,1.3901633622026566e-07,0.0,0.0
1860,1.6889808307496423e-07,0.0,2.288591982591015e-09
1861,1.5138243725232314e-07,0.0,4.715963730639317e-10
1862,1.5044894041693624e-07,0.0,9.035972525772706e-10
1863,1.8679881463867787e-07,0.0,0.0
