year,mesures_NOUN égales_ADJ,mesures_NOUN légales_ADJ
1800,1.7921738049153646e-07,1.1004575384276905e-07
1801,6.191074675143682e-08,5.9529565277216534e-08
1802,1.1189200677108602e-08,2.2378401354217203e-08
1803,7.996391104825307e-08,1.5602713787643552e-08
1804,2.9662211131764593e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,8.528632911009026e-09
1806,2.305335300434308e-08,1.0950342499427279e-07
1807,1.992868590150465e-07,3.9857372513552036e-08
1808,7.024829073998262e-08,6.345007053099039e-08
1809,5.6475762733043666e-08,3.840352036377226e-08
1810,4.914266327205041e-08,1.1700633351097167e-08
1811,3.5099073869560016e-08,2.2563691359778204e-08
1812,1.7336853375127248e-07,3.200649985046766e-07
1813,1.2653262615458516e-07,1.1502966579257645e-07
1814,4.72001566720337e-08,1.8880061958270744e-08
1815,8.091670444798638e-09,1.2137506644194218e-07
1816,3.244645441213834e-08,1.8540831092650478e-08
1817,6.227493543065066e-08,4.0478710161551135e-08
1818,5.126106206176928e-08,3.5763530803478716e-08
1819,9.522966326613869e-08,7.03871378959775e-08
1820,1.3053129244156025e-08,6.407899544313977e-08
1821,6.804427243878308e-08,6.903042049088981e-08
1822,6.51665033046811e-08,6.917674966189225e-08
1823,2.8659792761231984e-08,4.941343334508019e-08
1824,5.052667617633233e-08,4.8000341479337294e-08
1825,9.950150570148253e-08,3.9624492131906663e-08
1826,4.932471142637951e-08,6.958307607884961e-08
1827,5.7147094167930845e-08,4.9773274113373844e-08
1828,1.559291185060374e-08,7.24611788349705e-08
1829,2.5719527840806222e-08,6.944272712416932e-08
1830,2.5048406016026092e-08,1.0123730764810546e-07
1831,2.182768810143898e-08,1.262887678876723e-07
1832,5.953186388296672e-08,8.25328100306777e-08
1833,1.7375443306377747e-08,2.1429713115139748e-07
1834,4.0138484536100805e-08,9.894602959192866e-08
1835,3.327758690829796e-08,5.218530674255817e-08
1836,9.409050427677812e-09,6.653542783396915e-08
1837,3.75726116885744e-08,9.323573979536093e-08
1838,2.7142295522253335e-08,9.341999840373205e-08
1839,5.383435919270596e-08,1.2374911007029255e-07
1840,1.9746034141121527e-08,1.3057861503185109e-07
1841,9.630822361827995e-09,6.613165171032165e-08
1842,8.720745015011744e-09,1.2141959482292464e-07
1843,1.063243981747064e-08,7.797122481001395e-08
1844,1.4819115712327857e-08,1.037338053233583e-07
1845,1.1160455670733427e-08,1.2834523754889915e-07
1846,1.6392604607062822e-08,1.364098800582525e-07
1847,3.128069891999985e-08,8.359496472820638e-08
1848,1.126331028444838e-08,1.4642303763912068e-07
1849,5.02764896381791e-09,1.189876950302704e-07
1850,2.5119284430275002e-08,1.1609182859473322e-07
1851,1.6123596680017727e-08,1.1286517964670395e-07
1852,2.018269107395554e-08,6.445440137170522e-08
1853,1.3138249599364826e-08,5.912212519554316e-08
1854,1.8704392701351935e-08,7.481757019478508e-08
1855,1.2736649068756378e-08,1.3479620264433834e-07
1856,1.65670055451983e-08,1.340892065160304e-07
1857,1.7085282522089074e-08,9.177237347834932e-08
1858,1.2723557318849998e-08,8.857553340790858e-08
1859,2.036869339860914e-08,1.4461772668283857e-07
1860,1.6020143434047895e-08,8.28470263780634e-08
1861,2.4994607272788016e-08,1.1695590007576584e-07
1862,7.228778020618165e-09,9.442591464292605e-08
1863,1.748117206545885e-08,7.741662555460493e-08
1864,1.2945765348604255e-08,6.712619149418231e-08
1865,8.47231973466478e-09,9.837304754123366e-08
1866,7.784980660119345e-09,8.076917712429577e-08
1867,2.620518202434141e-08,1.1064410010419579e-07
1868,1.0867722721741302e-08,1.0077342904590836e-07
1869,1.3185501579471293e-08,8.2531475875669e-08
1870,1.6628741050794815e-08,9.17447802173399e-08
