year,ces_DET ivres_ADJ,ces_DET livres_NOUN
1800,0.0,2.710269711769797e-06
1801,0.0,3.1764975432224674e-06
1802,0.0,3.1419275785538048e-06
1803,0.0,3.3077752306098773e-06
1804,0.0,3.2628431938519498e-06
1805,0.0,3.712798232413661e-06
1806,0.0,3.766341649225069e-06
1807,0.0,3.538765128041632e-06
1808,0.0,3.428569868901832e-06
1809,0.0,3.1649018410462304e-06
1810,0.0,3.83546768745191e-06
1811,0.0,3.226607901751777e-06
1812,0.0,3.4273626425829207e-06
1813,0.0,2.2718358181350595e-06
1814,0.0,2.680968847812437e-06
1815,8.091670444798638e-09,3.590004475029218e-06
1816,0.0,3.0406963631435246e-06
1817,0.0,5.293369540027015e-06
1818,0.0,3.621653675622838e-06
1819,0.0,5.2604036113734765e-06
1820,0.0,3.1173245886861878e-06
1821,0.0,4.1487281023933065e-06
1822,0.0,3.2683508521813565e-06
1823,1.9765373782121287e-09,3.7317026624350547e-06
1824,8.421112696055388e-10,3.2581285331900744e-06
1825,0.0,4.430018400114477e-06
1826,0.0,3.6156775813367403e-06
1827,0.0,3.6970481076537e-06
1828,0.0,3.776236347619033e-06
1829,0.0,3.614451021149989e-06
1830,0.0,3.849105178588275e-06
1831,0.0,4.56198677767361e-06
1832,0.0,3.879042262511234e-06
1833,0.0,3.619883875316532e-06
1834,0.0,3.8047547654684877e-06
1835,0.0,3.6348201319924556e-06
1836,0.0,4.360422455107482e-06
1837,6.957890930081589e-10,3.577747620830962e-06
1838,0.0,3.7380622881499903e-06
1839,0.0,3.961369767324641e-06
1840,6.369688665408546e-10,4.184885408875516e-06
1841,6.420548537278137e-10,4.554737337514325e-06
1842,6.708265054555795e-10,4.465692118316156e-06
1843,0.0,6.385370733497098e-06
1844,0.0,4.310715935318399e-06
1845,0.0,4.377689025503173e-06
1846,1.1709002656346001e-09,4.928904692391711e-06
1847,0.0,4.081591709059751e-06
1848,8.045221711050488e-10,3.471513084107869e-06
1849,0.0,3.664318203533412e-06
1850,0.0,3.894847043994787e-06
1851,0.0,4.658429645587603e-06
1852,0.0,4.576262547573151e-06
1853,2.9859659189668264e-09,4.002985880546817e-06
1854,0.0,3.866613557335086e-06
1855,5.306937111981824e-10,3.791806481245885e-06
