year,tels_ADJ yeux_NOUN,tels_ADJ lieux_NOUN
1800,0.0,2.5153315874604232e-08
1801,0.0,2.3811825400343878e-08
1802,3.8043282302169246e-08,4.699464284385613e-08
1803,5.851017448321727e-09,7.606323038089613e-08
1804,2.9662210465630778e-08,9.145848167690929e-08
1805,0.0,6.822906328807221e-08
1806,2.5935023018064385e-08,1.5272846098923765e-07
1807,1.7081731584767113e-08,1.7366426163789583e-07
1808,4.5321479902327155e-09,1.4276265858370607e-07
1809,2.0331274441787173e-08,7.00299480627109e-08
1810,0.0,9.360506680877734e-08
1811,3.760615285841595e-08,9.777599530025327e-08
1812,0.0,6.668020802180763e-08
1813,2.5881675469463516e-08,6.326631307729258e-08
1814,1.8880061958270744e-08,2.8320094713762956e-08
1815,0.0,4.315557688983063e-08
1816,9.270415546325239e-09,5.3304887615013286e-08
1817,2.9580593974287694e-08,3.42512151974006e-08
1818,0.0,3.337929754820834e-08
1819,0.0,5.072014630513877e-08
1820,2.254631326081835e-08,9.01852530432734e-08
1821,1.97229765852569e-09,9.565643921405353e-08
1822,1.1028177482330648e-08,8.321261191213125e-08
1823,0.0,1.8579451932509983e-07
1824,0.0,9.010590673597108e-08
1825,4.0505039322624725e-08,7.220463515977826e-08
1826,1.8496766784892316e-08,1.0657660709512129e-07
1827,0.0,1.0599863742299931e-07
1828,1.3758452155343548e-08,1.403362119845042e-07
1829,8.57317605795771e-10,1.0373543091191095e-07
1830,0.0,6.992679857376061e-08
1831,4.677361609140007e-09,1.02901957177437e-07
1832,0.0,5.411987658021644e-08
1833,0.0,9.498575082034222e-08
1834,1.0267983796552471e-08,1.4841904771856207e-07
1835,1.9664028627630614e-08,9.453859917130103e-08
1836,1.3441500135158435e-09,1.1156445367532797e-07
1837,4.174734336004349e-09,7.375364674544471e-08
1838,8.2058102535143e-09,1.2624323630916479e-07
1839,9.788065469251706e-09,1.0627042001942755e-07
1840,6.3696887764308485e-09,1.1083258044664035e-07
1841,1.0914932957462042e-08,1.1685398249028367e-07
1842,6.708265054555795e-10,9.726984018243456e-08
1843,3.5441467538532834e-09,9.15571192194875e-08
1844,1.3172547497219966e-08,1.65205690905168e-07
1845,5.580227835366713e-09,6.249855033502172e-08
1846,1.2294452567118697e-08,1.1065007754496037e-07
1847,5.393223645455691e-10,6.202207458727571e-08
1848,8.84974404868899e-09,1.1746023886871626e-07
1849,1.256912263158938e-08,5.1952373070207614e-08
1850,2.2403686017469226e-08,5.906426636670403e-08
1851,2.257303499675345e-08,1.012561909874421e-07
1852,1.3021090872200602e-09,5.859491025717034e-08
1853,1.0152284346531815e-08,7.1663180278847e-08
1854,6.754363734984281e-09,9.45610949543152e-08
1855,6.8990182455763716e-09,8.331890910540096e-08
1856,3.6240324075009767e-09,4.6076984006049315e-08
1857,2.9289054737091647e-08,9.421312796575876e-08
1858,6.361778659424999e-09,6.557525722428181e-08
1859,1.5276519604867644e-08,6.467060131853941e-08
1860,1.4189270203246451e-08,9.520542221252981e-08
1861,2.6409397335669382e-08,9.620566032708666e-08
1862,9.939570055905733e-09,7.545037306044833e-08
1863,9.489779628779615e-09,8.590748024062123e-08
1864,7.671564716815737e-09,9.54150891629979e-08
1865,1.2237795665726026e-08,1.1108152619954126e-07
1866,1.4110277390955162e-08,7.347075836605654e-08
1867,7.279217228983725e-09,6.842464017609018e-08
1868,4.939874287401835e-09,8.24958945599974e-08
1869,1.2208797528501236e-08,6.348574999037737e-08
1870,1.7202147262196377e-08,4.759260363584872e-08
1871,3.18635318130589e-09,6.372706451429622e-08
1872,1.5118347462816928e-08,9.373376030907821e-08
1873,1.4366410283628284e-08,6.105724281724179e-08
1874,1.1351757756017378e-08,1.1471249194983102e-07
1875,5.149374260327022e-09,5.435450844970546e-08
1876,8.464420275799966e-09,5.441413364337677e-08
1877,1.2369632429454214e-08,3.710889728836264e-08
1878,6.6429977074733415e-09,3.140326043649111e-08
1879,4.27652757650776e-09,6.59807142255886e-08
1880,9.626769603698904e-09,7.38052321480609e-08
1881,1.8128519130300447e-08,4.741305303923582e-08
1882,1.6638463051776853e-08,4.791877472598571e-08
1883,1.1374810426900694e-08,7.835980397885578e-08
1884,5.281357573494461e-09,5.413391335196138e-08
1885,7.090199094506033e-09,7.605849816627597e-08
1886,1.4842966855610484e-08,3.549405036551434e-08
1887,1.9586773092328258e-08,6.202478175509896e-08
1888,3.804368819970705e-09,3.61415040117663e-08
1889,1.0024218788373673e-08,4.2602930960811136e-08
1890,1.6385966361553983e-08,3.998175657216052e-08
1891,8.286486163910922e-09,5.4818293904190796e-08
1892,7.522214851007902e-09,3.63573704476039e-08
1893,1.3548516086814288e-08,4.0645549148621285e-08
1894,2.9617234886814003e-08,5.041231432301174e-08
1895,7.824199066419624e-09,5.1760085995056215e-08
1896,3.2433661090180976e-08,4.422771837653272e-08
1897,2.2724183423861177e-08,4.661370667236042e-08
1898,1.3580051749784161e-08,5.4320206999136644e-08
1899,8.291367592505594e-09,4.9748205555033564e-08
