year,soixante - dix lettres
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,9.34484578607453e-09
1808,0.0
1809,7.412877423007558e-09
1810,0.0
1811,0.0
1812,0.0
1813,2.8323588807666056e-08
1814,0.0
1815,0.0
1816,2.0265126465801586e-08
1817,6.824494303003803e-09
1818,0.0
1819,0.0
1820,2.589745307091107e-09
1821,0.0
1822,1.0964762431342479e-09
1823,2.159174394833485e-09
1824,5.5125228826113926e-09
1825,9.610704454487973e-10
1826,6.72741373719532e-09
1827,1.609704725069605e-08
1828,6.013864961573745e-09
1829,0.0
1830,1.597948973142138e-08
1831,0.0
1832,0.0
1833,1.2673779803407115e-09
1834,0.0
1835,4.979763268408988e-09
1836,7.343489705213813e-10
1837,2.2772963514938738e-09
1838,3.4411216098817476e-09
1839,0.0
1840,1.2525370962634952e-08
1841,2.1059372024012646e-09
1842,3.6676039982808106e-09
1843,1.2908356605834115e-09
1844,0.0
1845,6.100404625897227e-10
1846,1.4094529987573878e-08
1847,4.71247973976574e-09
1848,8.80901662725364e-09
1849,2.7522634171717186e-09
1850,2.97202673582575e-09
1851,1.411713745902432e-09
1852,1.14136513573726e-08
1853,1.1112971876059419e-08
1854,3.409910243057368e-09
1855,5.817788029105486e-09
1856,7.372482180301176e-09
1857,4.279757770397907e-09
1858,0.0
1859,1.6722780937783455e-09
1860,3.0107893955744203e-09
1861,6.196612334363749e-09
1862,2.6240750017336723e-08
1863,9.320442195814849e-09
1864,4.724585611626253e-09
1865,6.191526402687941e-09
1866,6.941097918655714e-09
1867,6.387998130463757e-09
1868,8.114867000585946e-09
1869,5.893043386606678e-09
1870,3.14164427805963e-09
1871,1.1664925692045358e-09
1872,7.960213821434081e-09
1873,2.6241697703710543e-09
1874,1.2454812292617135e-08
1875,7.544364244438384e-09
1876,1.992249476501229e-09
1877,6.807560071209195e-10
1878,1.4623042332573277e-08
1879,0.0
1880,1.4133966219631589e-09
1881,9.221270858006392e-09
1882,1.4655266999952232e-09
1883,6.269948560344574e-09
1884,7.274842506177492e-09
1885,9.942917600369583e-09
1886,2.773470342276596e-08
1887,1.0803936412173698e-08
1888,2.7956078563207143e-09
1889,7.605468255178494e-09
1890,7.951872049716258e-09
1891,1.0540810890802277e-08
1892,4.150312982176274e-09
1893,1.4944472326305913e-08
1894,8.350571789605965e-09
1895,8.634544967911495e-09
1896,5.8539186831296774e-09
1897,1.352786682673468e-08
1898,7.491110842750004e-09
1899,1.3420902611471774e-08
1900,1.3192810399687005e-08
1901,1.1717957271173418e-08
1902,9.73287406225154e-09
1903,7.1531909284772155e-09
1904,6.528749540990475e-09
1905,8.546844121326558e-09
1906,4.540525733176537e-09
1907,1.1367379038063063e-08
1908,8.137297058397053e-09
1909,8.492491376799194e-09
1910,1.0027209285112804e-08
1911,9.982077386894161e-09
1912,9.196354788798544e-09
1913,3.5106602069845394e-09
