year,plus_ADV eu_VERB,plus_ADV lu_VERB
1800,6.382653623404622e-07,0.0
1801,8.857999205247324e-07,0.0
1802,9.689847502158955e-07,0.0
1803,7.547812970187806e-07,3.510610468993036e-08
1804,7.909923169791e-07,0.0
1805,9.324638767793658e-07,0.0
1806,6.656655955339374e-07,0.0
1807,8.512395766047121e-07,0.0
1808,9.562832019582856e-07,0.0
1809,1.070780513146019e-06,0.0
1810,9.313704367741593e-07,2.3401267590372754e-09
1811,1.0153661378353718e-06,0.0
1812,9.735309731695452e-07,0.0
1813,1.1502966117404867e-06,0.0
1814,7.898159424257756e-07,0.0
1815,1.1652006151052774e-06,0.0
1816,9.502176112619054e-07,0.0
1817,9.590339686837979e-07,0.0
1818,1.0097237463924102e-06,2.384235475716423e-09
1819,9.057168881554389e-07,4.140420006848444e-09
1820,9.88477836472157e-07,1.1866481131050932e-08
1821,9.930519127010484e-07,1.97229765852569e-09
1822,8.712260068932665e-07,9.023054303725075e-09
1823,1.0485530310688773e-06,9.882686891060644e-10
1824,8.783220550867554e-07,0.0
1825,9.589127785147866e-07,6.163809906922779e-09
1826,8.78156015460263e-07,0.0
1827,9.632050250729662e-07,1.8434546111834038e-09
1828,1.0337183766750968e-06,2.7516904310687096e-09
1829,1.0176360092373216e-06,1.714635211591542e-09
1830,9.372278668706713e-07,0.0
1831,9.167629286821466e-07,0.0
1832,9.268028975384368e-07,0.0
1833,9.417490218766034e-07,4.6334514003376626e-09
1834,9.297193059865094e-07,9.334530925997342e-10
1835,9.408481673744973e-07,7.563087933704082e-10
1836,1.0034079878096236e-06,6.720750067579218e-10
1837,1.0235057743557263e-06,0.0
1838,8.319429412040336e-07,0.0
1839,1.0095690186062711e-06,1.3982950353153e-09
1840,1.0573683084658114e-06,1.2739377330817092e-09
1841,1.1409314311094931e-06,0.0
1842,1.0236811931463308e-06,1.341653010911159e-09
1843,9.557381872582482e-07,1.1813822142769936e-09
1844,8.6938808863124e-07,4.390849017710252e-09
1845,8.911624149732233e-07,0.0
1846,8.816879244477605e-07,0.0
1847,9.448928040001192e-07,5.393223645455691e-10
1848,1.034615479511558e-06,0.0
1849,1.0139092410099693e-06,5.865590679832167e-09
1850,9.647163778936374e-07,6.1100964288129944e-09
1851,1.1060787983296905e-06,9.029214709244116e-09
1852,1.0241087693430018e-06,4.557382027314816e-09
1853,1.0856972494366346e-06,0.0
1854,1.0271828614349943e-06,2.5978321716024766e-09
