year,aurais_VERB assez_ADV
1800,3.144164484325529e-09
1801,7.143547975374531e-09
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,1.600324850414836e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,6.210630232317271e-09
1820,1.1866481131050932e-09
1821,9.861488514673056e-09
1822,2.0051231786055723e-09
1823,1.2847492847356534e-08
1824,1.6842225392110777e-09
1825,6.163809906922779e-09
1826,1.3211976401805714e-08
1827,2.7651818612639545e-09
1828,1.0089530988466322e-08
1829,0.0
1830,1.1480519646056564e-08
1831,1.5591206103948707e-09
1832,6.764984572527055e-09
1833,4.6334514003376626e-09
1834,4.667265685043276e-09
1835,1.2100940693926532e-08
1836,9.409050427677812e-09
1837,1.3915781860163179e-09
1838,0.0
1839,6.292327547896548e-09
1840,9.554533164646273e-09
1841,6.420548537278137e-09
1842,1.0733224087289273e-08
1843,7.088293507706567e-09
1844,8.232841963717874e-09
1845,6.696273757711424e-09
1846,1.1709002656346001e-09
1847,1.6179670936367074e-09
1848,2.413566457803995e-09
1849,2.513824481908955e-09
1850,2.0366988096043315e-09
1851,4.514607354622058e-09
1852,2.6042181744401205e-09
1853,1.7915795513800958e-09
1854,8.313063126763609e-09
1855,7.960405667972736e-09
1856,2.5885946719483854e-09
1857,3.4170564155999728e-09
1858,2.936205500958522e-09
1859,1.6804172275897145e-08
1860,1.0527522853465143e-08
1861,5.659156698811785e-09
1862,1.2198563048571032e-08
1863,1.4983863039219614e-09
1864,3.3563094525845827e-09
1865,7.530950973944073e-09
1866,3.8924903300596725e-09
1867,1.0190904120577216e-08
1868,6.421836395986702e-09
1869,4.883519366671862e-09
1870,4.587239033071455e-09
1871,8.496941816815706e-09
1872,4.8378714367913744e-09
1873,1.1972008939764578e-09
1874,8.961913877669758e-09
1875,4.577221712764867e-09
1876,3.02300739996042e-09
1877,5.566334504436554e-09
1878,1.0870359723469392e-08
1879,1.0996785704264767e-08
1880,1.0910338410496934e-08
1881,9.761510710859511e-09
1882,8.652000893505374e-09
1883,7.58320695126713e-09
1884,3.300848483434038e-09
1885,5.156508553483263e-09
1886,9.034849313138693e-09
1887,5.876032105334161e-09
1888,7.60873763994141e-09
1889,2.5060546970934183e-09
1890,7.209825181320184e-09
1891,3.1871101313640793e-09
1892,6.268512375839919e-10
1893,5.542574843531156e-09
1894,7.561847148451761e-09
1895,1.8055843487019274e-09
1896,4.1279202278587945e-09
1897,4.661370844871726e-09
1898,6.7900258748920805e-09
1899,8.291367592505594e-09
1900,1.5573159428683425e-09
1901,8.38310842965484e-09
1902,1.9641135384773634e-09
1903,4.320176216765503e-09
1904,2.1498500757388683e-09
1905,4.1286072338664326e-09
1906,3.600929110447737e-09
1907,2.5714217422034835e-09
1908,3.437972351250096e-09
1909,1.1001967115120692e-09
1910,5.878565634276356e-09
1911,5.3203743632934675e-09
1912,5.730363294986773e-09
1913,7.954484182448596e-09
1914,8.705766774141921e-09
1915,4.712304768617059e-09
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
1918,2.2972752589112133e-09
1919,9.207848372660976e-10
1920,2.2716695191604686e-09
1921,1.741731914250977e-08
1922,1.3280283539529592e-08
1923,8.492758496458919e-09
1924,1.1602462102189293e-08
1925,3.299453377181294e-09
1926,7.802296586589819e-09
1927,1.1149224654616319e-08
1928,1.0283437212876834e-08
1929,1.2254447234738564e-08
1930,1.3654684494213143e-08
1931,5.7026783295555106e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,0.0
1935,5.98414207075848e-09
1936,4.849885826274658e-09
1937,6.295559185076627e-09
1938,5.186085783037697e-09
1939,1.5294050470515685e-09
1940,7.607348528892999e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,9.536696765621855e-09
1948,5.435944139264848e-09
1949,7.853606653895895e-09
1950,4.2541445921528975e-09
1951,8.529121409139861e-09
1952,1.0544803918932644e-09
1953,8.619061908632375e-09
1954,9.772536557761669e-09
1955,9.385607846468247e-09
1956,6.104799332717903e-09
1957,5.301022731885041e-09
1958,1.6544486891589827e-09
1959,6.200598257066758e-09
1960,1.038124963770315e-08
1961,9.72742331128984e-09
1962,5.7077609305622445e-09
1963,6.466053470433053e-09
1964,6.083968440151466e-09
1965,3.2832261354087677e-09
1966,9.416426749453422e-09
1967,3.451234853457663e-09
1968,4.940557296606585e-09
1969,9.083515273289322e-09
1970,3.6789800095249348e-09
1971,3.5968783507200897e-09
1972,3.5911027485013847e-09
1973,7.1671650836435674e-09
1974,2.812785782069227e-09
1975,5.140332159925265e-09
1976,1.7140580066410394e-09
1977,4.11374712072643e-09
1978,2.970295565063452e-09
1979,5.851973128301324e-09
1980,3.411090521154847e-09
1981,1.8976649140967083e-09
1982,3.7245013739806154e-09
1983,1.89459470334441e-09
1984,3.479405208395292e-09
1985,7.218669662023558e-09
1986,4.196139880008332e-09
1987,1.2221633705067347e-09
1988,4.797243047249822e-09
1989,4.939309850016116e-09
1990,4.358920779878872e-09
1991,7.033758464558559e-09
1992,2.2039776670368383e-09
1993,6.093128224193833e-09
1994,4.747434001473039e-09
1995,5.964695848348356e-09
1996,5.3380921904988554e-09
1997,4.794894259418925e-09
1998,5.2449422582867555e-09
1999,5.941261704833778e-09
2000,2.6508188977203417e-09
2001,6.133696661692056e-09
2002,5.257465574004527e-09
2003,6.250384210204629e-09
2004,4.404791198453495e-09
2005,5.404499514582994e-09
2006,4.529678854225949e-09
2007,4.393927444112933e-09
2008,4.6831836186811415e-09
2009,1.0013204487790972e-08
2010,1.4643758206034363e-08
2011,1.4913490886669933e-08
2012,1.327658516458996e-08
2013,1.4224537991935904e-08
2014,1.5807749775831326e-08
2015,1.0196246513771712e-08
2016,1.0149566520567532e-08
2017,1.1571811953103861e-08
2018,2.1684320117287825e-08
2019,1.2499840273960672e-08
