year,serions_VERB à_ADP,serions_VERB a_ADP,serions_VERB là_ADV
1800,1.2891074163690064e-07,0.0,0.0
1801,1.142967676059925e-07,0.0,2.3811825844433088e-09
1802,6.937304419807333e-08,2.2378401354217203e-09,0.0
1803,7.996391104825307e-08,0.0,0.0
1804,8.157108055684148e-08,0.0,0.0
1805,7.675770063997334e-08,0.0,0.0
1806,1.3543845511776453e-07,0.0,0.0
1807,9.964342950752325e-08,0.0,8.540865792383556e-09
1808,2.2660739062985158e-08,0.0,2.2660739951163578e-09
1809,5.6475762733043666e-08,0.0,4.518061036407062e-09
1810,1.4976811257838563e-07,2.3401267590372754e-09,0.0
1811,6.267691787797958e-08,2.5070767684098882e-09,0.0
1812,6.668020802180763e-08,0.0,0.0
1813,6.039057609541487e-08,0.0,0.0
1814,6.293354459785405e-08,0.0,0.0
1815,5.933891955578474e-08,0.0,2.697223555614414e-09
1816,4.8669683394564345e-08,0.0,0.0
1817,4.826307531402563e-08,0.0,0.0
1818,1.5259107044585107e-07,1.1921177378582115e-09,1.1921177378582115e-09
1819,7.556266723440785e-08,0.0,1.035105001712111e-09
1820,8.42520151422832e-08,1.1866481131050932e-09,0.0
1821,1.5975611233898235e-07,0.0,8.875339574387908e-09
1822,8.020492714422289e-08,0.0,1.5038423839541792e-08
1823,1.363810753218786e-07,8.894418535021487e-09,3.9530747564242574e-09
1824,1.2210612965191103e-07,0.0,0.0
1825,1.1270967092968931e-07,8.805443041381977e-10,1.937197424695114e-08
1826,7.839106075380187e-08,0.0,8.807984341885344e-10
1827,7.92685455053288e-08,0.0,2.7651818612639545e-09
1828,1.0364700386844561e-07,9.172301251858528e-10,5.503380862137419e-09
1829,1.4488666977285902e-07,0.0,8.57317605795771e-10
1830,9.914994336668315e-08,0.0,1.7742621594152297e-08
1831,5.3010101197514814e-08,1.5591206103948707e-09,2.182768810143898e-08
1832,8.523880978827947e-08,0.0,1.3529969367098715e-09
1833,1.6680425574122637e-07,0.0,4.6334514003376626e-09
1834,1.0454674281845655e-07,1.8669061851994684e-09,1.8669061851994684e-09
1835,1.376482003934143e-07,6.806779140333674e-09,1.3613558280667348e-08
1836,1.2836632379276125e-07,1.3441500135158435e-09,1.3441500135158435e-09
1837,1.3219992922586243e-07,3.478945576063097e-09,1.530736071231331e-08
1838,1.2434958307494526e-07,0.0,7.574594285131298e-09
