year,mêmes_ADJ yeux_NOUN,mêmes_ADJ lieux_NOUN
1800,1.8236154630812962e-07,1.71671376847371e-06
1801,4.309940493385511e-07,1.438234335182642e-06
1802,1.6783801015662903e-07,1.8753100903268205e-06
1803,2.2038832980797451e-07,2.845544941010303e-06
1804,3.163969211072981e-07,2.0195022898406023e-06
1805,2.8713066058116965e-07,1.6573976608924568e-06
1806,1.8442682403474464e-07,1.5445746157638496e-06
1807,1.8505208743135881e-07,1.3893140931031667e-06
1808,3.1498427688347874e-07,1.7494090798209072e-06
1809,1.5135503872443223e-07,1.6852367252795375e-06
1810,4.680253482547414e-07,1.5421435364260105e-06
1811,1.1031137603367824e-07,1.3663568552146899e-06
1812,1.2002436733382638e-07,1.9790684291365324e-06
1813,2.5594101771275746e-07,1.7513266357127577e-06
1814,1.8565394555025705e-07,1.0132300758414203e-06
1815,2.1577788800186681e-07,1.9527899439708563e-06
1816,2.503012126453541e-07,2.0626673631340964e-06
1817,3.409552675748273e-07,2.5050092062883778e-06
1818,2.2173389879753813e-07,2.090974476232077e-06
1819,2.0288058522055508e-07,1.7990124661082518e-06
1820,3.8922058820389793e-07,1.758612484081823e-06
1821,4.565869176076376e-07,1.920031763802399e-06
1822,3.408709403629473e-07,1.9630156202765647e-06
1823,1.8678278479455912e-07,1.6889512153284159e-06
1824,2.5347549126308877e-07,1.7709600115267676e-06
1825,2.835352574948047e-07,1.8429792589813587e-06
1826,2.3164999163327593e-07,1.8672926671570167e-06
1827,2.1937110261660564e-07,2.2066151359467767e-06
1828,2.2380415032330347e-07,1.7702541299513541e-06
1829,2.1775866798634524e-07,1.873238943517208e-06
1830,2.1812986972236104e-07,1.5039480558698415e-06
1831,2.2763160245631298e-07,1.328370785813604e-06
1832,2.0700852587651752e-07,1.31781905565731e-06
1833,2.0271349399081373e-07,1.4433201158681186e-06
1834,1.8202335638761724e-07,1.6568792489124462e-06
1835,2.2008586597621616e-07,1.4407683011086192e-06
1836,1.1828520030121581e-07,1.5195615787888528e-06
1837,1.349830824892706e-07,1.39018663958268e-06
1838,1.590664737705083e-07,1.3091423625155585e-06
1839,8.040196775027653e-08,1.2479782753871405e-06
1840,1.1019561441116821e-07,1.2032342056045309e-06
1841,1.1428576129901558e-07,1.2199042203064892e-06
1842,1.2276125005428185e-07,1.2370040849418729e-06
1843,1.6598420415903092e-07,1.138852439908078e-06
1844,1.108689389184292e-07,1.2590759297381737e-06
1845,8.202935219969731e-08,1.1378084536772803e-06
1846,9.718472426811786e-08,1.0491266948520206e-06
1847,5.55502026600152e-08,1.2248010534676723e-06
1848,8.849743693417622e-08,1.0724280627982807e-06
1849,6.703531596485846e-08,1.472263193136314e-06
1850,7.87523504186538e-08,1.21862478863477e-06
1851,8.90022562316517e-08,1.292467572966416e-06
1852,1.2955985084772692e-07,1.2747648270305945e-06
1853,1.43326360557694e-07,1.233801071975904e-06
1854,2.1354181001242978e-07,1.138889615504013e-06
1855,1.7088336790038738e-07,1.033791363624914e-06
1856,1.252879826552089e-07,1.0675364592316328e-06
1857,1.493741734748255e-07,1.2413677268341416e-06
1858,1.3163987944153632e-07,9.54756160354009e-07
1859,1.2934120263707882e-07,1.061208877217723e-06
1860,1.3685779265415476e-07,9.621240906199091e-07
1861,1.2733102039419464e-07,1.0502451459615258e-06
1862,2.1053816112726054e-07,9.266389611184422e-07
1863,1.5583216850245662e-07,8.985322779153648e-07
1864,1.9610436652328644e-07,9.95864979813632e-07
1865,1.6285682136185642e-07,8.444078503089258e-07
1866,1.4110277390955162e-07,8.626731755612127e-07
1867,1.5043715961837734e-07,8.846675427776063e-07
1868,1.2794274084626522e-07,7.725963087068521e-07
1869,1.4699392636430275e-07,8.453371833638812e-07
1870,1.399107958377499e-07,8.451987696389551e-07
1871,1.0408754036461687e-07,8.539426517018001e-07
1872,8.526748729309475e-08,7.38380151688034e-07
1873,8.85928628235888e-08,8.32054638522095e-07
1874,8.66318359271645e-08,7.617626920364273e-07
1875,1.3445588820104604e-07,7.008870852587279e-07
1876,1.614286020412692e-07,7.775175276947266e-07
1877,1.6760851906383323e-07,6.939363288438471e-07
1878,1.437303041029736e-07,7.246906648106233e-07
1879,1.6983923956104263e-07,6.280386628532142e-07
1880,1.4375976320479822e-07,6.392174896063807e-07
1881,1.4154190353110607e-07,6.693607019769843e-07
1882,1.3244216745533777e-07,5.923292860643414e-07
1883,1.0553296192483685e-07,6.407809678421472e-07
1884,1.241119065298335e-07,6.020747491675138e-07
1885,1.2568989404826425e-07,4.756879263823066e-07
1886,1.4326690234156558e-07,4.601319858466013e-07
1887,1.4037188122983935e-07,4.452726614090352e-07
1888,9.447516191585237e-08,6.283549396357557e-07
1889,1.2467621957057418e-07,4.830420152757142e-07
1890,1.3829755118877074e-07,4.6077337856331724e-07
1891,1.1154885015685068e-07,5.169492283130239e-07
1892,1.542054093306433e-07,5.503753754965146e-07
1893,1.4964952299578727e-07,4.0029706838140555e-07
1894,1.6068925390300137e-07,4.127508361762011e-07
1895,1.5227094252168172e-07,4.5500726741920516e-07
1896,1.4506690604321193e-07,3.927421232674533e-07
1897,1.363450934377397e-07,3.96216535136773e-07
1898,1.4259053671139554e-07,3.689247307647747e-07
1899,1.6803838320811337e-07,3.3718228564794117e-07
1900,1.775340194853925e-07,3.317082928333548e-07
1901,1.4307171625205228e-07,3.023507701982453e-07
1902,1.4730851205513318e-07,2.8430542897694977e-07
1903,1.6740682440286037e-07,3.450740848620626e-07
1904,1.3651548158577498e-07,3.6063735819880094e-07
1905,1.53790622903216e-07,3.7725149582001904e-07
1906,1.6307065209275606e-07,3.5957850741397124e-07
1907,1.2239966906690825e-07,3.800561216849019e-07
1908,1.5618216764323734e-07,3.5509341955730633e-07
1909,1.6337921238118724e-07,3.185069488154113e-07
1910,1.8170112525695004e-07,3.254587852552504e-07
1911,1.4843844553524832e-07,3.6338155950943474e-07
1912,1.521151062888748e-07,3.8497623222610855e-07
1913,1.5113521101284277e-07,3.070431091600767e-07
1914,1.406316130214691e-07,2.953264015559398e-07
1915,1.3547875710173685e-07,4.429566615726799e-07
1916,2.1645300307682191e-07,3.6368498967931373e-07
1917,1.5024001243091334e-07,3.0376995141523366e-07
1918,1.8263338574797672e-07,3.8134768942654773e-07
1919,2.2375071750957432e-07,4.1895711433426186e-07
1920,1.8400523060790874e-07,3.1500485420110635e-07
1921,2.0900782260468986e-07,2.9155077641007665e-07
1922,1.9477749901852803e-07,3.002819823905156e-07
1923,2.4947479460024624e-07,3.152936471906287e-07
1924,2.2560342927135935e-07,3.6612212284126144e-07
1925,2.3536101423360378e-07,3.442429772348987e-07
1926,2.0063049532836885e-07,3.3438413993280847e-07
