year,soyons_VERB également_ADV,soyons_VERB légalement_ADV
1800,1.8864986461863964e-08,0.0
1801,7.143547753329926e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,5.851017448321727e-09,0.0
1804,4.2021465418429216e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.7081730252499483e-08,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,1.6380887313260928e-08,0.0
1811,3.259199843341776e-08,0.0
1812,3.467370746079723e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,4.090680150170556e-08,0.0
1815,0.0,0.0
1816,1.1588019432906549e-08,0.0
1817,6.227493631882908e-09,0.0
1818,5.960588467246453e-09,0.0
1819,4.140420006848444e-09,0.0
1820,5.933240565525466e-09,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,8.421112696055388e-10,0.0
1825,4.4027217427355936e-09,0.0
1826,5.284790383086602e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,0.0
1829,1.6289034676653102e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,2.182768810143898e-08,0.0
1832,4.058990921151917e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,3.733812370398937e-09,0.0
1835,6.806779140333674e-09,0.0
1836,3.36037508930076e-09,0.0
1837,9.045257876039159e-09,1.3915781860163179e-09
1838,6.312161904276081e-09,0.0
1839,1.3982950353153e-09,0.0
1840,1.0828470564661075e-08,0.0
1841,4.494383976094696e-09,0.0
1842,1.0062397137744483e-08,0.0
1843,1.5357969118667825e-08,0.0
1844,3.841992946007622e-09,0.0
1845,6.696273757711424e-09,0.0
1846,5.269050973311096e-09,0.0
1847,2.2112216946368335e-08,0.0
1848,4.02261068899179e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,5.431196825611551e-09,0.0
1851,9.674158585326609e-09,0.0
1852,1.9531635864211694e-08,0.0
1853,8.360704795151719e-09,0.0
1854,2.390005615637847e-08,0.0
1855,1.326734277995456e-08,0.0
1856,3.572260709461261e-08,0.0
1857,1.9037885934380938e-08,0.0
1858,1.1255455178993401e-08,0.0
1859,1.323965115318515e-08,0.0
1860,1.0527522853465143e-08,0.0
1861,2.0278643653171002e-08,0.0
1862,1.1746764561060274e-08,0.0
1863,2.4973103585068657e-09,0.0
1864,5.753673759656408e-09,0.0
1865,1.2237795277147967e-08,0.0
1866,1.3623715766630795e-08,0.0
1867,1.649955905236311e-08,0.0
1868,5.433861582915256e-09,0.0
1869,1.0255390314739543e-08,0.0
1870,5.160643912205387e-09,0.0
1871,3.18635318130589e-09,0.0
1872,4.233137507192453e-09,0.0
1873,5.9860045809045914e-09,0.0
1874,1.0754296120296658e-08,0.0
1875,2.0597497041308088e-08,0.0
1876,1.2092029377797076e-08,0.0
1877,2.4739263970730008e-09,0.0
1878,1.2078177347163432e-09,0.0
1879,3.6655952717623563e-09,0.0
1880,2.5671385017744797e-09,0.0
1881,6.972507571312292e-10,0.0
1882,3.9932310791357395e-09,0.0
1883,1.2006744321002571e-08,0.0
1884,3.300848483434038e-09,0.0
1885,4.511945039809007e-09,0.0
1886,3.872078380151578e-09,0.0
1887,3.917354718385724e-09,0.0
1888,2.53624587998047e-09,0.0
1889,3.759082101151279e-09,0.0
1890,5.243509293428872e-09,0.0
1891,6.374220040683554e-10,0.0
1892,0.0,0.0
1893,9.23762488724833e-09,0.0
1894,7.561847148451761e-09,0.0
1895,3.611168697403855e-09,0.0
1896,1.7691086373616827e-09,0.0
1897,5.826713334045053e-09,0.0
1898,6.7900258748920805e-09,0.0
1899,3.3165470370022376e-09,0.0
1900,4.6719478286050276e-09,0.0
1901,5.029865079997364e-09,0.0
1902,2.9461704187383475e-09,0.0
1903,1.6200660812870638e-09,0.0
1904,3.2247751136083025e-09,5.374625189347171e-10
1905,4.644683138099737e-09,1.5482277682110634e-09
1906,5.144184522798412e-10,0.0
1907,1.5428529565042481e-09,0.0
1908,2.4556945366072114e-09,0.0
