year,vingt - six lieues
1800,1.7223841908275972e-08
1801,3.137979476264263e-08
1802,9.854017157806538e-09
1803,3.214283594843437e-08
1804,6.796013707344173e-08
1805,7.181140659895391e-08
1806,2.211952221387037e-08
1807,3.114948521343308e-09
1808,7.221429143555724e-08
1809,7.1657815681192e-08
1810,3.0771484915703695e-08
1811,2.4833731515627733e-08
1812,4.381375262596521e-08
1813,1.0070609590684398e-07
1814,1.719689457502227e-08
1815,1.0051819998579958e-07
1816,6.332852109380838e-08
1817,2.2179605707606243e-08
1818,2.3459811870907288e-08
1819,5.200801567184499e-08
1820,5.95641438394523e-08
1821,8.10024118891306e-08
1822,2.4122478237131872e-08
1823,3.454679031733576e-08
1824,5.3287724455231e-08
1825,4.3248171266441204e-08
1826,9.033955450377107e-08
1827,3.0181965371411934e-08
1828,6.114095896236904e-08
1829,3.0906129211416555e-08
1830,5.706960592988253e-08
1831,3.422896455163027e-08
1832,2.075678118274027e-08
1833,8.74490808655537e-08
1834,1.9434612141822072e-08
1835,6.224703952284472e-08
1836,3.524874969684788e-08
1837,5.617330955942634e-08
1838,4.060523295379426e-08
1839,3.515586399771564e-08
1840,6.193099721940598e-08
1841,3.0185098864876636e-08
1842,3.6676041759164946e-08
1843,4.453383084523921e-08
1844,2.273910126859846e-08
1845,1.7081132952512235e-08
1846,1.153188833313834e-08
1847,2.2973338786869135e-08
1848,9.689918201161163e-09
1849,2.29355290315425e-08
1850,1.411712613474947e-08
1851,4.023384292395349e-08
1852,1.070029842509257e-08
1853,1.6342605491104223e-08
1854,3.182583085958868e-08
1855,2.9670719214891506e-08
1856,3.1191270011277084e-08
1857,2.942333487965243e-08
1858,1.6082962517316446e-08
1859,3.2330710553196695e-08
1860,1.3548551613951076e-08
1861,1.0844072306781527e-08
1862,2.178477487291275e-08
1863,2.6864805491300103e-08
1864,1.522366588346813e-08
1865,2.5282066218323962e-08
1866,1.174647401569473e-08
1867,2.7681325676098822e-08
1868,1.1901804874980826e-08
1869,3.1608141881633856e-08
1870,2.136317966972001e-08
1871,1.1664925692045358e-09
1872,1.3930374187509642e-08
1873,1.0496679081484217e-08
1874,1.6387909695936287e-08
1875,1.4460032282670454e-08
1876,1.4609828902223398e-08
1877,1.4976631490526415e-08
1878,5.9821538833659815e-09
1879,1.2769005408586054e-08
1880,1.3427268186205765e-08
1881,1.5368785355462933e-08
1882,3.6638168054992093e-09
1883,5.573287609195177e-09
1884,1.0912263981310844e-08
1885,1.4204167841924686e-09
1886,2.986814351402245e-08
1887,8.643148419196223e-09
1888,5.591215490596824e-09
1889,8.296874298707735e-09
1890,1.301215402094158e-08
1891,1.4054414299025098e-09
1892,1.3834376977328589e-09
1893,1.2906589574868121e-08
1894,1.530938043003971e-08
1895,9.962936253771204e-09
1896,7.154789649632676e-09
1897,1.6748787246001484e-08
1898,3.745555421375002e-09
1899,4.270287234930947e-09
1900,5.736004560219499e-09
1901,9.251019505995828e-09
1902,1.6221457510567916e-09
1903,1.7882977321193039e-09
1904,7.1222721054198246e-09
1905,6.83747547469693e-09
1906,7.378354371923024e-09
1907,2.841844759515766e-09
1908,1.3562161171876141e-08
1909,5.4594586629264086e-09
1910,1.7695075404944305e-09
1911,4.110267237678045e-09
1912,6.897265869554303e-09
1913,1.1702200319874123e-09
1914,7.386593559033372e-10
