year,suis_VERB également_ADV,suis_VERB egalement_ADV,suis_VERB légalement_ADV
1800,2.138031902632065e-07,0.0,0.0
1801,2.1192525423430197e-07,0.0,0.0
1802,1.656001700212073e-07,2.2378401354217203e-09,0.0
1803,1.677291692203653e-07,0.0,0.0
1804,1.038177401824214e-07,0.0,0.0
1805,1.904728037516179e-07,2.842877711017877e-09,0.0
1806,3.976703339958476e-07,2.881669125542885e-09,0.0
1807,2.1067468480850948e-07,0.0,0.0
1808,2.1980918063491117e-07,0.0,0.0
1809,1.5587310997489112e-07,0.0,0.0
1810,1.9189039335287816e-07,0.0,0.0
1811,6.518399686683551e-08,2.5070767684098882e-09,0.0
1812,7.734903562095496e-08,0.0,0.0
1813,2.2718359105056152e-07,0.0,0.0
1814,2.0453401816666883e-07,0.0,0.0
1815,2.022917726662854e-07,2.697223555614414e-09,0.0
1816,2.943357060303242e-07,0.0,0.0
1817,1.6502858102285245e-07,0.0,3.113746815941454e-09
1818,1.7524131123991538e-07,0.0,0.0
1819,2.1633694302636286e-07,1.035105001712111e-09,0.0
1820,1.76810573293551e-07,0.0,0.0
1821,1.9328517453232053e-07,0.0,2.9584463767662328e-09
1822,2.2557635759312689e-07,2.0051231786055723e-09,3.0076847679083585e-09
1823,2.0555988555770455e-07,9.882686891060644e-10,0.0
1824,1.0105335235266466e-07,0.0,0.0
1825,1.7610885549856903e-07,0.0,8.805443041381977e-10
1826,1.2066938381849468e-07,0.0,0.0
1827,1.5577191447846417e-07,0.0,2.7651818612639545e-09
1828,1.8161156845053483e-07,9.172301251858528e-10,2.7516904310687096e-09
1829,1.6717693540613254e-07,8.57317605795771e-10,6.858540846366168e-09
1830,1.8577567573174747e-07,0.0,3.1310507520032616e-09
1831,1.512347012067039e-07,0.0,3.1182412207897414e-09
1832,1.9618455837644433e-07,0.0,0.0
1833,1.0077756940063409e-07,0.0,1.1583628500844156e-09
1834,1.4188486829880276e-07,9.334530925997342e-10,0.0
1835,1.4521128832711838e-07,0.0,3.025235173481633e-09
1836,8.938597773067158e-08,6.720750067579218e-10,2.688300027031687e-09
1837,1.5307360001770576e-07,6.957890930081589e-10,1.3915781860163179e-09
1838,1.3192418180096865e-07,0.0,7.574594285131298e-09
1839,1.4542268900186173e-07,0.0,1.3982950353153e-09
1840,1.350373963759921e-07,6.369688665408546e-10,3.821813088222825e-09
1841,1.3033714196808432e-07,6.420548537278137e-10,3.2102742686390684e-09
1842,1.1940711885927158e-07,0.0,4.024959032733477e-09
1843,1.4826346728114004e-07,0.0,5.906911071384968e-10
1844,9.00124064173724e-08,0.0,1.097712254427563e-09
1845,1.467600014848358e-07,1.1160455892778032e-09,1.674068439427856e-09
1846,1.645114906523304e-07,0.0,1.7563503984519002e-09
1847,1.2566211182729603e-07,0.0,1.0786447290911383e-09
1848,1.3918233321419393e-07,8.045221711050488e-10,4.02261068899179e-09
1849,1.2317740072376182e-07,8.379414939696517e-10,1.3407063903514427e-08
1850,1.6022030990825442e-07,0.0,1.3577992064028876e-09
1851,1.7929440332409285e-07,0.0,2.579775504329973e-09
1852,1.4844043505490845e-07,0.0,3.2552727180501506e-09
1853,1.0510599679491861e-07,0.0,4.180352064508952e-09
1854,1.7613302816243959e-07,1.558699391779328e-09,5.195664454227256e-10
1855,1.432873091289366e-07,5.306937111981824e-10,5.306937111981824e-10
1856,1.2942973626195453e-07,5.177189232874468e-10,1.5531567143511893e-09
1857,1.3619410310639068e-07,0.0,4.881509085841174e-10
1858,1.6149131454312737e-07,0.0,4.893676019968041e-10
1859,1.7415233344308945e-07,0.0,5.092173349652285e-10
1860,2.0231152575433953e-07,0.0,1.373155145145688e-09
1861,1.7873502144993836e-07,0.0,4.715963730639317e-10
1862,1.5858131519053131e-07,4.517986262886353e-10,4.066187830886747e-09
1863,1.6731979712858447e-07,4.994620828036034e-10,1.9978483312144135e-09
1864,1.2562186668674258e-07,1.9178911792039344e-09,0.0
1865,1.0590400023602342e-07,0.0,5.177528628053096e-09
1866,1.7710830491068918e-07,4.865612912574591e-10,6.811858188626729e-09
1867,1.5286356358501507e-07,0.0,9.7056229719783e-10
1868,1.047253306296625e-07,0.0,2.4699371437009177e-09
1869,1.1280928902124288e-07,0.0,1.4650557433881772e-09
1870,1.4449803131810768e-07,0.0,0.0
1871,1.2214353262152144e-07,0.0,0.0
1872,2.068190099180356e-07,0.0,1.2094678591978436e-09
1873,1.8257313172398426e-07,1.1972008939764578e-09,1.7958012854535355e-09
1874,1.8521288325246132e-07,0.0,3.5847653734322193e-09
1875,1.7279012354265433e-07,0.0,4.005069165202713e-09
1876,1.4631355327310303e-07,6.04601479992084e-10,4.836811839936672e-09
1877,1.1812998224058902e-07,0.0,6.184816214727107e-09
1878,1.3225604789113277e-07,0.0,5.435179861734696e-09
1879,1.0080386658728457e-07,6.10932526790009e-10,5.498392852132383e-09
1880,1.4375976320479822e-07,0.0,0.0
1881,1.2480788313951052e-07,6.972507571312292e-10,1.3945015142624584e-09
1882,1.5573601785945357e-07,0.0,6.655385131892899e-10
1883,1.7820535447299335e-07,0.0,0.0
1884,1.34014442210173e-07,0.0,1.3203393933736152e-09
1885,1.4953874938328227e-07,0.0,3.2228177904158883e-09
1886,1.7488886783212365e-07,6.453463874400711e-10,1.936039106809062e-09
1887,1.6518178824753704e-07,0.0,1.3057849246322917e-09
1888,1.6295379623443296e-07,0.0,6.340614699951175e-10
1889,1.9484575375372515e-07,0.0,0.0
1890,1.8417826197492104e-07,0.0,3.9326319978272295e-09
1891,1.4214511168120225e-07,0.0,3.1871101313640793e-09
1892,1.761451926540758e-07,0.0,2.5074049503359674e-09
1893,1.5457625579529122e-07,6.158416554491453e-10,6.158416554491453e-10
1894,1.5753848003896564e-07,0.0,0.0
1895,1.4384488622454228e-07,0.0,2.4074457982692365e-09
1896,1.8752551511624915e-07,1.179405795248556e-09,0.0
1897,1.689746937927339e-07,0.0,1.1653427112179315e-09
