year,pouvons_VERB imiter_VERB,pouvons_VERB limiter_VERB
1800,4.4018303668735825e-08,0.0
1801,5.476719877606229e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,6.826187615160961e-08,0.0
1804,0.0,0.0
1805,5.1171799242411e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,4.078933102391602e-08,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,3.978215445954447e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,3.163315653864629e-08,0.0
1814,4.090680150170556e-08,0.0
1815,5.394447111228828e-09,0.0
1816,3.244645441213834e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,7.152706160695743e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,2.7292905713238724e-08,0.0
1821,2.7612166775270452e-08,0.0
1822,1.804610860745015e-08,0.0
1823,2.668325471688604e-08,0.0
1824,2.863178316658832e-08,8.421112696055388e-10
1825,4.226612659863349e-08,0.0
1826,1.145037931138404e-08,0.0
1827,3.594736597278825e-08,0.0
1828,2.5682442839070063e-08,0.0
1829,3.086343269842473e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,2.570694235259907e-08,0.0
1833,8.108539617524002e-09,0.0
1834,1.7735608537350345e-08,0.0
1835,3.100866052818674e-08,2.2689263801112247e-09
1836,2.083432448785061e-08,6.720750067579218e-10
1837,3.339787468803479e-08,0.0
1838,1.8936486156917454e-08,0.0
1839,1.3283802502428443e-08,6.9914751765765e-10
1840,3.9492068282243054e-08,6.369688665408546e-10
1841,2.6966304744746594e-08,2.5682194149112547e-09
1842,2.817471411731276e-08,6.708265054555795e-10
1843,2.1855571574747046e-08,5.906911071384968e-10
1844,4.610391357573462e-08,5.488561272137815e-10
1845,2.287893430263921e-08,1.0044410636567136e-08
1846,1.6392604607062822e-08,1.7563503984519002e-09
1847,1.1865092020002521e-08,0.0
1848,1.609044275596716e-08,1.6090443422100975e-09
1849,5.865590679832167e-09,9.217356655710773e-09
1850,1.5614691761811628e-08,6.788996032014438e-10
1851,8.384270167027807e-09,5.8044946626978344e-09
1852,1.8880582430824688e-08,1.3021090872200602e-09
1853,2.9262466227919504e-08,5.971931837933653e-10
1854,3.16935526711859e-08,1.0391328908454511e-09
1855,1.751289246954002e-08,0.0
1856,1.2942972915652717e-08,1.0354378465748937e-09
1857,1.513267733344037e-08,0.0
1858,1.3702292633865909e-08,3.4255731584664773e-09
1859,1.323965115318515e-08,5.092173349652285e-10
1860,1.5104706818647173e-08,9.154367819341758e-10
1861,1.6034276129062164e-08,0.0
1862,9.035972858839614e-09,4.517986262886353e-10
1863,2.0477944673302773e-08,0.0
1864,2.4932585773740357e-08,2.8768367688059016e-09
1865,1.6003271596787272e-08,1.4120533631256649e-09
1866,2.8220554781910323e-08,6.3252967308358166e-09
1867,2.3778776281346836e-08,0.0
1868,3.062721987134864e-08,6.421836395986702e-09
1869,2.24641887314192e-08,4.395167341186834e-09
1870,2.0069171213776826e-08,4.013834153937523e-09
1871,3.186353225714811e-08,1.1683295220166201e-08
1872,1.5723081503438152e-08,6.652073114565837e-09
1873,1.0176207432266438e-08,1.7958012854535355e-09
1874,8.961913877669758e-09,9.559374625212058e-09
1875,9.154443425529735e-09,4.005069165202713e-09
1876,7.255217759905008e-09,1.209202959984168e-09
1877,9.895705588292003e-09,0.0
1878,1.3889904337816006e-08,4.831270938865373e-09
1879,1.0996785704264767e-08,4.27652757650776e-09
1880,5.134277003548959e-09,6.417846254436199e-09
1881,1.5339516323820135e-08,1.3945015142624584e-09
1882,1.1314154946262533e-08,0.0
1883,6.319338829996468e-09,1.8958017378167824e-09
1884,1.2543224237049344e-08,6.601696966868076e-10
1885,8.379326565943757e-09,7.7347630522695e-09
1886,1.2906927970846027e-08,7.098810428374236e-09
1887,5.876032105334161e-09,6.528924623161458e-10
1888,9.510921827882157e-09,5.706553452000662e-09
1889,8.771191772893872e-09,5.012109394186837e-09
1890,1.7696843102044113e-08,1.9663159989136147e-09
1891,1.2748440525456317e-08,6.374220040683554e-10
1892,1.1283322720601063e-08,5.014809900671935e-09
1893,8.005941687372342e-09,4.310891643655168e-09
1894,5.041231432301174e-09,3.150769645188234e-09
1895,3.0093072478365457e-09,9.027921521465032e-09
1896,8.255840455717589e-09,5.307326134129653e-09
1897,8.157399200570126e-09,5.826713556089658e-10
1898,1.4711722506888236e-08,5.092519295146758e-09
1899,2.7637891975018647e-09,5.527578395003729e-09
1900,1.142031713641245e-08,5.19105292084987e-09
1901,5.029864968975062e-09,7.824234593556412e-09
1902,8.347482705062248e-09,4.910283735171106e-09
1903,5.400220270956879e-09,3.7801539676252105e-09
1904,4.299700151477737e-09,3.7622376325430196e-09
1905,7.2250627702885595e-09,4.1286072338664326e-09
1906,3.0865106026567446e-09,4.115347618238729e-09
1907,5.65712765521198e-09,4.114274698707732e-09
1908,8.840499887696751e-09,6.384805573134145e-09
1909,7.151278680339601e-09,2.2003934230241384e-09
1910,8.01622590529405e-09,4.275320542035388e-09
1911,1.4365010514438836e-08,6.384448969498635e-09
1912,1.0418842677495377e-08,4.688478938419394e-09
1913,1.0075680734189518e-08,8.484783542428431e-09
1914,8.036092680185902e-09,4.68772043404897e-09
1915,9.424609537234119e-09,1.1780761921542648e-09
1916,6.592477230782379e-09,1.0987461607214755e-08
1917,4.386569774084137e-09,5.483212106582869e-09
1918,2.756730310693456e-08,3.44591288836682e-09
1919,5.524709134618888e-09,1.8415696745321952e-09
1920,6.815008557481406e-09,1.2115570768855832e-08
1921,1.060184651180407e-08,8.330022005509363e-09
1922,1.770704471937279e-08,3.6889677978990676e-09
1923,4.246379248229459e-09,3.1847844361720945e-09
1924,2.0626599095407983e-08,1.2891624656674594e-08
1925,5.499089184013428e-09,1.0998177923937646e-09
1926,3.343841648018042e-09,2.0063049888108253e-08
1927,3.3447675740205796e-09,4.4596899506643695e-09
1928,6.8556245125250825e-09,2.2852082448565625e-09
1929,1.0026365515614089e-08,7.798284684668033e-09
1930,1.995684684175103e-08,8.402882833991043e-09
1931,1.0264820993199919e-08,5.7026783295555106e-09
1932,3.287861094491973e-09,2.1919073223131136e-09
1933,5.735331320977366e-09,6.882397318719313e-09
1934,2.3963160344919743e-09,5.990790086229936e-09
1935,8.377798899061872e-09,1.196828414151696e-08
1936,3.6374143697059935e-09,2.424942913137329e-09
1937,1.1332006444320086e-08,3.777335333410292e-09
1938,5.186085783037697e-09,7.779128452511941e-09
1939,1.5294050470515685e-08,4.588215141154706e-09
1940,0.0,0.0
1941,2.9515025978810172e-09,0.0
1942,0.0,0.0
1943,8.709705845433291e-09,5.806470415592457e-09
1944,0.0,9.639558484764166e-09
1945,6.535512131478072e-09,1.742803235060819e-08
1946,9.744772988540262e-09,6.960552134671616e-09
1947,9.536696765621855e-09,1.549713246618012e-08
1948,7.610321262063735e-09,1.195907639583993e-08
1949,5.890204768377316e-09,1.0798709482173763e-08
1950,8.508289184305795e-09,6.381216888229346e-09
1951,4.264560704569931e-09,5.330700769690111e-09
1952,8.435843135146115e-09,7.381362632230548e-09
1953,3.232148326759443e-09,4.3095309543161875e-09
1954,7.818028890937967e-09,1.07497895029951e-08
1955,2.815682353940474e-09,7.508486277174597e-09
1956,4.360570571293465e-09,4.360570571293465e-09
1957,8.835037590415595e-09,9.718541527092839e-09
1958,2.4816730892496253e-09,3.3088973783179654e-09
1959,2.325224457422337e-09,7.750747599288843e-09
1960,2.7683333403416555e-09,1.1765417085030094e-08
1961,3.47407969059077e-09,9.03260666262895e-09
1962,1.7123282347597524e-08,7.610347907416326e-09
1963,7.1126584622049904e-09,1.0345685197421517e-08
1964,6.083968440151466e-09,1.1559539991878864e-08
1965,8.755269398363907e-09,6.0192477668863376e-09
1966,3.3234448526542337e-09,6.6468897053084675e-09
1967,5.423369309198733e-09,5.423369309198733e-09
1968,3.5931326802796093e-09,6.737123747768692e-09
1969,6.358460868938209e-09,5.904285060864822e-09
1970,1.3796175313274261e-09,1.1956685419534097e-08
1971,3.5968783507200897e-09,8.221435976452085e-09
1972,3.5911027485013847e-09,9.747279428040656e-09
1973,2.7566018356850464e-09,1.1577728109557484e-08
