year,cérémonies_NOUN légales_ADJ
1800,1.2576657937302116e-08
1801,7.381665767525192e-08
1802,3.5805442166747525e-08
1803,1.1116933507082649e-07
1804,1.878606781247072e-07
1805,3.4114531644036106e-08
1806,5.4751712497136396e-08
1807,4.555128185756985e-08
1808,7.478044494746428e-08
1809,1.0165637576164954e-07
1810,5.616304221689461e-08
1811,1.6295999216708879e-07
1812,6.668020802180763e-08
1813,4.026038169513413e-08
1814,1.8880061958270744e-08
1815,2.697223555614414e-09
1816,4.6352077731626196e-08
1817,4.203558034987509e-08
1818,7.987188865854478e-08
1819,6.728182455617571e-08
1820,7.238553223487543e-08
1821,6.508582117703554e-08
1822,8.822541985864518e-08
1823,1.2649839220557624e-07
1824,3.2842340402794434e-08
1825,4.3146670236637874e-08
1826,7.310627125889368e-08
1827,3.7790819362726324e-08
1828,1.2382606939809193e-07
1829,8.058785283537873e-08
1830,1.0958677876260481e-07
1831,5.76874619184764e-08
1832,8.117981842303834e-09
1833,5.3284690437749305e-08
1834,5.507373401769655e-08
1835,5.899208588289184e-08
1836,7.661655132551459e-08
1837,2.5048407792382932e-08
1838,2.3354999711955315e-08
1839,6.362242288560083e-08
1840,6.497082694068013e-08
1841,7.062603657459476e-08
1842,4.628702754416736e-08
1843,1.2050098519011954e-07
1844,8.617040947456189e-08
1845,9.486387853030465e-08
1846,1.399225766363088e-07
1847,6.741529290366088e-08
1848,5.873011943435813e-08
1849,1.005529792763582e-08
1850,9.233034603539636e-08
1851,9.867641637129054e-08
1852,8.854341615460726e-08
1853,8.241266158393046e-08
1854,9.040456205866576e-08
1855,1.1940608146687737e-07
1856,4.504154560436291e-08
1857,5.9554409403972386e-08
1858,5.8234743249840903e-08
1859,6.517981887554924e-08
1860,3.295572525985335e-08
1861,5.94211435611669e-08
1862,4.111367601922211e-08
1863,8.341017121438199e-08
1864,4.890622662401256e-08
1865,5.17752880568878e-08
1866,5.303517980337347e-08
1867,3.542552207136396e-08
1868,3.754304245262574e-08
1869,2.7347706321734222e-08
1870,3.2110673231500186e-08
1871,2.1242353653860846e-08
1872,3.205089882385437e-08
1873,2.2746817762708815e-08
1874,3.943242177228967e-08
1875,2.4030413214859436e-08
1876,4.17175023414984e-08
1877,2.040989244278535e-08
1878,3.8650167510922984e-08
1879,2.077170613290491e-08
1880,1.6044616302224313e-08
1881,2.3009274485730202e-08
1882,6.788492612486152e-08
1883,1.64302811356265e-08
1884,2.0465261485469455e-08
1885,1.0313017106966527e-08
1886,4.5174246565693466e-09
1887,2.6115698492645834e-09
1888,3.6775563927449184e-08
1889,1.1903759755682586e-08
1890,1.5075089621063853e-08
1891,1.2748440525456317e-08
1892,9.402768341715273e-09
1893,1.539604177480669e-08
1894,3.780923574225881e-09
1895,4.814891596538473e-09
1896,3.5382172747233653e-09
1897,5.826713334045053e-09
1898,1.4145887128336199e-08
1899,1.492446166651007e-08
1900,1.557315876254961e-08
1901,6.147612641171918e-09
1902,1.178468167495339e-08
1903,3.2401321625741275e-09
1904,3.7622376325430196e-09
1905,6.192911072844254e-09
1906,6.6874399351490865e-09
1907,1.5428529565042481e-09
1908,8.349361202419914e-09
1909,2.7504918342913243e-09
1910,1.068830179917768e-08
1911,6.916486494645824e-09
1912,4.688478938419394e-09
1913,3.71209285532359e-09
1914,1.2054139020278853e-08
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,1.0966424435210342e-09
1918,2.2972752589112133e-09
1919,4.603924352863942e-09
1920,2.2716695191604686e-09
1921,7.572747429129834e-10
1922,6.640141769764796e-09
1923,1.1677542488541803e-08
1924,0.0
1925,1.0998177923937646e-09
1926,3.343841648018042e-09
1927,3.3447675740205796e-09
1928,7.998228745975666e-09
1929,1.1140406375176326e-09
1930,8.402882833991043e-09
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,6.882397318719313e-09
1934,2.3963160344919743e-09
1935,0.0
1936,3.6374143697059935e-09
1937,0.0
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,1.0143131667916805e-08
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,2.7842208538686464e-09
1947,7.152522574216391e-09
1948,4.348755133776194e-09
1949,1.0798709482173763e-08
1950,1.0635361480382244e-09
1951,2.1322803522849654e-09
1952,9.490323193972472e-09
1953,0.0
1954,6.840775057526116e-09
1955,9.385607846468247e-10
1956,2.616342476002842e-09
1957,2.6505113659425206e-09
1958,5.790570245522986e-09
1959,0.0
1960,2.7683333403416555e-09
1961,4.16889545107324e-09
1962,6.341956404476434e-10
1963,1.939815863494232e-09
1964,9.125952438182594e-09
1965,5.47204326295514e-09
1966,4.431259803538978e-09
1967,1.232583901611406e-08
1968,2.245707841908029e-09
1969,1.8167031212712459e-09
1970,1.8394900047624674e-09
1971,5.652237344833111e-09
1972,4.104117490300041e-09
1973,4.410563025913916e-09
1974,2.812785782069227e-09
1975,0.0
1976,5.713526873840635e-10
1977,1.7630346071939584e-09
1978,1.1881182704343018e-09
1979,4.681578680276743e-09
1980,1.1370301367108482e-09
1981,6.325549528618524e-10
1982,6.207502289967692e-10
1983,1.2630632095778083e-09
1984,2.8995041922996734e-09
1985,0.0
1986,1.7983456945813714e-09
1987,1.2221633705067347e-09
1988,1.1993107618124554e-09
1989,5.488122178931576e-10
1990,1.6345953479657283e-09
1991,1.1722930404189924e-09
1992,1.1019888335184191e-09
1993,5.539207426075166e-10
1994,2.637463358823311e-09
1995,4.880205572987961e-09
1996,0.0
1997,4.794894259418925e-09
1998,1.9072516899143466e-09
1999,1.3710603763428253e-09
2000,4.4180314962005696e-10
2001,8.762423564512289e-10
2002,8.76244299341522e-10
2003,8.333845835650777e-10
2004,4.404791253964646e-10
2005,1.8014998381943315e-09
2006,1.2353669198716943e-09
2007,1.997239706952314e-09
2008,1.7029758714315335e-09
2009,2.384096253749135e-09
2010,4.723793023408973e-10
2011,3.82397197240536e-10
2012,2.0425516833455504e-09
2013,2.789125042035323e-10
2014,1.5158115873603606e-09
2015,1.329945265027277e-09
2016,3.935546111222266e-09
2017,2.0124890642847504e-09
2018,2.323319980845895e-09
2019,1.53059265262101e-09
