year,lots_NOUN égaux_ADJ,lots_NOUN egaux_ADJ
1800,1.5720821977538435e-08,0.0
1801,4.524246932646747e-08,0.0
1802,6.713520406265161e-08,2.2378401354217203e-09
1803,9.361627917314763e-08,0.0
1804,6.921182915675672e-08,0.0
1805,1.02343598484822e-07,0.0
1806,1.0950342499427279e-07,0.0
1807,2.6761378535411495e-07,0.0
1808,2.01680592226694e-07,0.0
1809,7.228897658251299e-08,0.0
1810,1.3806747745093162e-07,0.0
1811,9.27618373225414e-08,0.0
1812,1.2802598803318688e-07,0.0
1813,9.489947672136623e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,3.244645441213834e-08,0.0
1817,3.269434145636296e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,3.9333990287104825e-08,0.0
1820,4.746592452420373e-08,0.0
1821,1.8736827200882544e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,2.569498569471307e-08,0.0
1824,3.536867154707579e-08,0.0
1825,6.868245350233337e-08,8.805443041381977e-10
1826,8.103345550125596e-08,7.927186018719112e-09
1827,8.756409641819118e-08,0.0
1828,6.420610532131832e-08,0.0
1829,9.087566610332942e-08,1.714635211591542e-09
1830,1.5133412034629146e-07,1.0436835840010872e-09
1831,1.0602020239502963e-07,0.0
1832,9.470978312720035e-08,0.0
1833,8.68772147555319e-08,0.0
1834,9.894602470694736e-08,0.0
1835,4.764745398233572e-08,0.0
1836,5.712637474175608e-08,6.720750067579218e-10
1837,6.262101948095733e-08,0.0
1838,8.77390533560174e-08,0.0
1839,8.249940464111205e-08,0.0
1840,7.261444778805526e-08,0.0
1841,7.255219713897532e-08,0.0
1842,7.647422251011449e-08,0.0
1843,6.025049259505977e-08,5.906911071384968e-10
1844,6.970472554712615e-08,5.488561272137815e-10
1845,6.41726245476093e-08,2.2320911785556063e-09
1846,2.2832555401919308e-08,1.7563503984519002e-09
1847,8.035902965275454e-08,1.0786447290911383e-09
1848,1.0941501216166216e-07,0.0
