year,pas_ADV eu_VERB,pas_ADV lu_VERB
1800,2.0210689399391413e-05,1.1822058922916767e-06
1801,2.2166428607306443e-05,7.810278930264758e-07
1802,2.083876825054176e-05,1.0607361673464766e-06
1803,1.9162082026014104e-05,7.001717676757835e-07
1804,2.4147511794581078e-05,9.491907349001849e-07
1805,2.196407331211958e-05,8.756063607506803e-07
1806,2.296978527738247e-05,7.895773137533979e-07
1807,2.6012628950411454e-05,5.380745164984546e-07
1808,2.215087260992732e-05,7.931258778626216e-07
1809,2.2766509573557414e-05,8.38100334021874e-07
1810,2.537633372412529e-05,8.915882858673285e-07
1811,2.044521170319058e-05,8.524061172465736e-07
1812,2.512510218366515e-05,1.0268752248521196e-06
1813,2.4501317966496572e-05,1.199184225697536e-06
1814,2.291724922542926e-05,9.754699021868873e-07
1815,2.3665439584874548e-05,1.3054561804892728e-06
1816,2.2508569600176997e-05,1.3140813734935364e-06
1817,2.2201014871825464e-05,1.3934017033534474e-06
1818,2.2368896679836325e-05,1.1599305480558542e-06
1819,2.2470059775514528e-05,1.0765091928988113e-06
1820,2.3604803573107347e-05,9.338920676782436e-07
1821,2.441605829517357e-05,1.4959878171794116e-06
1822,2.275012775498908e-05,1.1780098247982096e-06
1823,2.273709833389148e-05,1.015940256365866e-06
1824,2.192099782405421e-05,9.515857186670473e-07
1825,2.2650241589872167e-05,1.2265982149983756e-06
1826,2.1821781047037803e-05,1.088666863324761e-06
1827,2.4740082153584808e-05,9.715005262478371e-07
1828,2.553660306148231e-05,1.0584835763438605e-06
1829,2.551805846451316e-05,1.2971215710422257e-06
1830,2.533228871470783e-05,1.0854308811758528e-06
1831,2.6118388632312417e-05,1.1849316479128902e-06
1832,2.672980735951569e-05,1.2028142464259872e-06
1833,2.3818256522645243e-05,1.1131867267977213e-06
1834,2.4819584723445587e-05,1.209755168929405e-06
1835,2.3432714442606084e-05,1.0111848496308085e-06
1836,2.2404292394639924e-05,1.0054242238766165e-06
1837,2.3403561499435455e-05,9.539268148728297e-07
1838,2.2798265490564518e-05,7.902826837380417e-07
1839,2.3339642211794853e-05,8.991037248051725e-07
1840,2.4296539777424186e-05,1.0924015896307537e-06
1841,2.450209649396129e-05,1.3547357866627863e-06
1842,2.4369785023736767e-05,9.223864481100463e-07
1843,2.3371874704025686e-05,1.138852439908078e-06
1844,2.384340768912807e-05,9.045148772202083e-07
1845,2.402567224635277e-05,9.93838625618082e-07
1846,2.443903031235095e-05,1.147482294072688e-06
1847,2.4589324311818928e-05,1.0764874787128065e-06
1848,2.550013414293062e-05,1.2035651479891385e-06
1849,2.829728509823326e-05,1.401876147610892e-06
1850,2.563253292464651e-05,1.0842027222679462e-06
1851,2.5477862436673604e-05,1.080925926544296e-06
1852,2.4818849851726554e-05,1.0351767514293897e-06
1853,2.3702597900410183e-05,1.0916691053353134e-06
1854,2.4187896997318603e-05,1.0484850463399198e-06
1855,2.4087656129267998e-05,1.1160489066242008e-06
1856,2.4798737285891548e-05,1.0592528951747227e-06
1857,2.434701491438318e-05,1.1774200174841098e-06
1858,2.5688374080345966e-05,1.2723558029392734e-06
1859,2.5129875211860053e-05,1.152358777289919e-06
1860,2.4018314434215426e-05,1.2321779649937525e-06
1861,2.4906890757847577e-05,1.1596554259085678e-06
1862,2.463386772433296e-05,1.1182015668964596e-06
1863,2.477481757523492e-05,1.1832256632260396e-06
1864,2.532575308578089e-05,1.245670318894554e-06
1865,2.5237157387891784e-05,1.1814179288194282e-06
1866,2.4979570298455656e-05,1.1872095910803182e-06
1867,2.5342351364088245e-05,1.1287639836154995e-06
1868,2.45813080255175e-05,1.0902301710302709e-06
1869,2.582746856205631e-05,1.247739191967412e-06
1870,2.4851367925293744e-05,1.1313278491797973e-06
1871,2.818754182953853e-05,9.367878419652698e-07
1872,2.734183544816915e-05,1.1121056786578265e-06
1873,2.6412048100610264e-05,1.037973220263666e-06
1874,2.6748923119157553e-05,1.0515311714698328e-06
1875,2.5674780772533268e-05,1.3434146239887923e-06
1876,2.497850618965458e-05,1.259384930563101e-06
1877,2.4468368792440742e-05,1.1850107739519444e-06
1878,2.4206479793065228e-05,1.11964709503809e-06
1879,2.5364695829921402e-05,1.0831834060809342e-06
1880,2.4315293558174744e-05,1.0634371392370667e-06
1881,2.434241832816042e-05,1.0549404123594286e-06
1882,2.5305771487182938e-05,1.1540437299117912e-06
1883,2.4984770789160393e-05,1.0704960686780396e-06
1884,2.4729957658564672e-05,1.160578335657192e-06
1885,2.518438850529492e-05,1.0358136250943062e-06
1886,2.3946868168422952e-05,1.0899900644290028e-06
1887,2.5392946554347873e-05,1.062908950189012e-06
1888,2.525276613596361e-05,1.0328861890229746e-06
1889,2.504175245121587e-05,1.0544225688136066e-06
1890,2.6125129807041958e-05,1.09392715330614e-06
1891,2.4647833924973384e-05,9.988402780436445e-07
1892,2.4835846488713287e-05,9.058000500772323e-07
1893,2.5230416213162243e-05,9.323842391495418e-07
1894,2.5523755539325066e-05,9.817798627409502e-07
1895,2.457400296407286e-05,9.178386903840874e-07
1896,2.4874258087947965e-05,1.0585166592136375e-06
1897,2.4384213247685693e-05,9.777224931895034e-07
1898,2.5205141355399974e-05,8.86664224708511e-07
1899,2.5254952561226673e-05,9.55718292061647e-07
1900,2.3609429263160564e-05,8.918229355003859e-07
1901,2.4198121536755934e-05,1.0193859907303704e-06
1902,2.1113239199621603e-05,8.946537377596542e-07
1903,2.3992639398784377e-05,1.0379222885603667e-06
1904,2.376928023295477e-05,9.943056511474424e-07
1905,2.4114162442856468e-05,1.069825316335482e-06
1906,2.3862328816903755e-05,9.881978257908486e-07
1907,2.3410737412632443e-05,1.0686828773032175e-06
1908,2.4200870029744692e-05,1.224900415763841e-06
1909,2.4386410586885177e-05,1.0913951200564043e-06
1910,2.4151286197593436e-05,1.1634216434686095e-06
1911,2.340858191018924e-05,1.0826961442944594e-06
1912,2.350334580114577e-05,1.1340910077706212e-06
1913,2.2921642084838822e-05,1.100900703931984e-06
1914,2.4128366931108758e-05,1.1364373904143577e-06
1915,2.7030957426177338e-05,1.1992815416306257e-06
1916,2.694015893212054e-05,1.1448935310909292e-06
1917,2.6286519641871564e-05,1.1416047982493183e-06
1918,2.4879491320461966e-05,1.0866111779250787e-06
1919,2.4569302695454098e-05,9.106561833505111e-07
1920,2.3614004021510482e-05,1.2229154435772216e-06
1921,2.3516409783042036e-05,1.048825538418896e-06
1922,2.3708995286142454e-05,1.1192328202014323e-06
1923,2.3796708774170838e-05,1.1199824712093687e-06
1924,2.4705508621991612e-05,1.379403784085298e-06
1925,2.3816553948563524e-05,1.3263802429719362e-06
1926,2.268685057060793e-05,1.2383359262457816e-06
1927,2.4869461412890814e-05,1.5174094869507826e-06
1928,2.3196005713543855e-05,1.2580071597767528e-06
1929,2.3902855900814757e-05,1.3658137731908937e-06
1930,2.3310647520702332e-05,1.2383748071442824e-06
1931,2.3117518139770254e-05,1.1108817261629156e-06
1932,2.271363882755395e-05,1.0126611869054614e-06
1933,2.2199172235559672e-05,1.0358007784816436e-06
1934,2.14949541259557e-05,1.0088490398629801e-06
1935,2.1290381482685916e-05,1.041240693666623e-06
1936,2.128736196027603e-05,9.032912089423917e-07
1937,2.184936784033198e-05,9.216698231284681e-07
1938,2.0969937395420857e-05,9.16640658488177e-07
1939,2.1348965674405918e-05,7.754083526378963e-07
1940,1.9761357179959305e-05,9.128818305725872e-07
1941,2.0935007341904566e-05,8.529842716598068e-07
1942,2.124251659552101e-05,9.345372404823138e-07
1943,2.1359101083362475e-05,1.1845199878735002e-06
1944,2.2498728867503814e-05,1.0442854545544833e-06
1945,2.395918818365317e-05,1.0282539051331696e-06
1946,2.3086759028956294e-05,1.1986070376224234e-06
1947,2.409446460660547e-05,1.1956633443332976e-06
1948,2.156873779313173e-05,1.1491584928080556e-06
1949,2.0943605704815127e-05,9.767923074832652e-07
1950,2.17429333133623e-05,1.1252212743784185e-06
