year,vingt - six eaux,vingt - six lots
1800,0.0,3.4447684704730364e-09
1801,0.0,5.229965793773772e-09
1802,0.0,2.4635042894516346e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,3.114948521343308e-09,0.0
1808,1.2450740882741229e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,3.1470654970888745e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,2.965254486397839e-09
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,2.807916121838616e-09
1842,0.0,2.2005623989684864e-09
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,2.9452997818424365e-09
1848,0.0,0.0
1849,0.0,4.5871058063085e-09
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,5.683183923466117e-10
1855,0.0,0.0
1856,0.0,0.0
1857,1.0699394703550524e-09,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,1.0035964281840393e-09,0.0
1861,0.0,3.6146907689271757e-09
1862,1.1882604233903749e-08,3.960868077967916e-09
1863,0.0,5.482613252283386e-10
1864,5.249539691831728e-10,3.149723815099037e-09
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,1.3120848851855271e-09
1874,6.555164189236962e-10,0.0
1875,5.029576310988659e-09,0.0
1876,0.0,0.0
1877,4.765292160868739e-09,0.0
1878,2.658735009930524e-09,0.0
1879,2.688211653278927e-09,0.0
1880,7.066983109815794e-10,0.0
1881,0.0,0.0
1882,0.0,1.4655266999952232e-09
1883,0.0,0.0
1884,1.454968479031038e-09,0.0
1885,1.4204167841924686e-09,0.0
1886,1.4222925059925728e-09,2.8445850119851457e-09
1887,0.0,0.0
1888,2.795607745298412e-09,0.0
1889,0.0,2.0742185746769337e-09
