year,paquets_NOUN égaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,2.3404069793286908e-08
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,0.0
1808,0.0
1809,3.162642769893864e-08
1810,0.0
1811,1.2535384286138651e-08
1812,1.0668832928217853e-08
1813,1.1502966579257645e-08
1814,2.5173417128598885e-08
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,0.0
1819,1.3456364911235141e-08
1820,0.0
1821,0.0
1822,0.0
1823,1.9765373782121287e-09
1824,0.0
1825,0.0
1826,2.7304752237000685e-08
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,3.1720752247110795e-08
1830,0.0
1831,3.4300654760954785e-08
1832,2.705993873419743e-09
1833,4.6334514003376626e-09
1834,0.0
1835,1.2100940693926532e-08
1836,1.3441500135158435e-09
1837,9.045257876039159e-09
1838,6.312161904276081e-09
1839,1.11863602825224e-08
1840,3.821813088222825e-09
1841,7.0626033910059505e-09
1842,1.609983613093391e-08
1843,2.7171790151214736e-08
1844,1.4819115712327857e-08
1845,1.9530798311961917e-08
1846,8.196302303531411e-09
1847,1.294373674909366e-08
1848,1.367687652020777e-08
1849,1.0893239199560867e-08
1850,4.752297400045791e-08
1851,1.2898877521649865e-08
1852,6.510545436100301e-09
1853,2.09017620989016e-08
1854,2.1302223984775992e-08
1855,1.4859423913549108e-08
1856,4.659470143053568e-09
1857,1.5620829074691756e-08
1858,9.787352261980686e-09
1859,4.582956236731661e-09
1860,1.1442959468865865e-08
1861,7.073945429425521e-09
1862,1.0391368654438793e-08
1863,1.1987090431375691e-08
1864,5.274200631788517e-09
1865,1.4591217123438582e-08
1866,8.271541673821048e-09
1867,9.7056229719783e-10
1868,2.1241458370013788e-08
1869,7.325278605918584e-09
1870,1.7202146374017957e-09
1871,3.18635318130589e-09
1872,1.2094678591978436e-09
1873,3.591602570907071e-09
1874,4.182226565063729e-09
1875,4.005069165202713e-09
1876,2.418405919968336e-09
1877,5.566334504436554e-09
1878,1.2078177347163432e-09
1879,5.498392852132383e-09
1880,5.134277003548959e-09
1881,3.4862537301449947e-09
1882,7.986462158271479e-09
1883,1.8958017378167824e-09
1884,3.300848483434038e-09
1885,4.511945039809007e-09
1886,6.4534639854230136e-09
1887,6.528924623161458e-10
1888,6.340614699951175e-10
1889,1.8795409673089125e-09
1890,3.2771931834929546e-09
1891,0.0
1892,1.2537024751679837e-09
1893,3.695050043717174e-09
1894,9.452309157609307e-09
1895,1.8055843487019274e-09
1896,1.1794058174530164e-08
1897,5.826713556089658e-10
1898,8.487532454637403e-09
1899,4.4220627160029835e-09
1900,3.114631885736685e-09
1901,1.676621730339889e-09
1902,1.9641135384773634e-09
1903,5.400220270956879e-10
1904,2.1498500757388683e-09
1905,0.0
1906,4.629765903985117e-09
1907,5.142843373384665e-10
1908,5.40252820258047e-09
1909,3.300590023513905e-09
