year,ces_DET eaux_NOUN,ces_DET lots_NOUN
1800,5.684649579507095e-06,6.917161954334006e-08
1801,5.643402516852802e-06,6.905429472681135e-08
1802,6.4516930251556914e-06,1.4098392853156838e-07
1803,6.761826284673589e-06,1.2092103141014832e-07
1804,5.571551923821971e-06,6.921182338359699e-08
1805,5.142765701293683e-06,3.695740935505398e-08
1806,5.339733093023824e-06,8.35684019762084e-08
1807,6.146575913135166e-06,1.3380689622977116e-07
1808,5.429513464605407e-06,7.251436962008029e-08
1809,5.292908269893815e-06,9.036121717542756e-08
1810,5.354210145469551e-06,9.126494671107821e-08
1811,7.263001293722482e-06,3.760615285841595e-08
1812,6.075900216728769e-06,8.001624607345548e-08
1813,5.115944532008143e-06,5.1763348274391774e-08
1814,6.104553847308125e-06,5.034683248084093e-08
1815,9.742371503307368e-06,5.39444717784221e-08
1816,5.126539804223285e-06,8.1116134253989e-08
1817,4.107031941202877e-06,2.335310189671702e-08
1818,4.881721963556629e-06,5.126106117359086e-08
1819,4.499601629959216e-06,6.210630232317271e-08
1820,3.7462481827787997e-06,5.6959111205401314e-08
1821,3.828229665714389e-06,5.325203478179219e-08
1822,5.578252512350446e-06,9.323822780515911e-08
1823,3.3670313541733776e-06,5.0401703255431585e-08
1824,3.2926551227774326e-06,1.0947446682507689e-07
1825,3.863828311523321e-06,6.339919167430708e-08
1826,5.975336648589291e-06,6.605988289720699e-08
1827,4.558863054171525e-06,9.217273166939322e-08
1828,3.9239105262822704e-06,5.961995697134626e-08
1829,4.626085683412384e-06,1.1402323885079113e-07
1830,4.214394380142039e-06,1.0645572867673536e-07
1831,5.174721195544407e-06,9.042899762334855e-08
1832,3.6436207437873236e-06,8.117981864508295e-08
1833,6.72777133559066e-06,8.803557438596954e-08
1834,3.985844699627705e-06,1.2321581088770017e-07
1835,4.484911244162504e-06,8.546289365085613e-08
1836,3.472611638244416e-06,1.1559690094031794e-07
1837,4.68266074449275e-06,1.1410941080924886e-07
1838,4.6318646127474494e-06,8.837026665986514e-08
1839,3.5265000803974544e-06,1.230499631077464e-07
1840,4.054306941725372e-06,1.2293499285220832e-07
1841,3.982024338711199e-06,1.1685398604299735e-07
1842,3.382978036370332e-06,1.1672380928473558e-07
1843,3.3887948802657775e-06,1.3881240779056725e-07
1844,3.5006043503926776e-06,8.836583909044293e-08
1845,3.841986853103663e-06,9.709596504592355e-08
1846,4.366872587979742e-06,9.015932178613184e-08
1847,3.4074387258442584e-06,1.4993161556731138e-07
1848,4.2366138472971215e-06,1.375732967545673e-07
1849,4.424331052632624e-06,1.9440242482460235e-07
1850,3.560828531590232e-06,1.5750470794273497e-07
1851,4.572652017031942e-06,2.2831013879454076e-07
1852,4.258547846802685e-06,1.953163568657601e-07
1853,4.6945356189098675e-06,1.4631233113959752e-07
1854,4.657913279970671e-06,1.4184164065511595e-07
1855,4.0794425331114326e-06,1.3426550893314015e-07
1856,4.2546141116872604e-06,1.7291811715836047e-07
1857,4.6891776719348854e-06,1.0592874843950995e-07
1858,3.8738339753763285e-06,1.7715107869520352e-07
1859,4.827889483749459e-06,1.2577667973801e-07
1860,4.979060690857295e-06,1.1031013080753382e-07
1861,4.061859499415732e-06,1.1035355029775928e-07
1862,4.4687403146781435e-06,1.2514822067544173e-07
1863,4.13854286307469e-06,1.2336713339777816e-07
1864,4.623076790721825e-06,1.0931979410599979e-07
1865,4.041296563173091e-06,1.779187108752467e-07
1866,4.033106449696788e-06,1.1920751319394185e-07
1867,3.77936947870694e-06,1.0433544517240989e-07
1868,4.232484059230046e-06,1.3288261158095338e-07
1869,3.72856680996847e-06,9.864708339080153e-08
1870,4.470837893677526e-06,1.525256934087338e-07
1871,3.6621818253479432e-06,1.6993882923088677e-07
1872,3.91928051612922e-06,1.8867698869939886e-07
1873,4.588870922361821e-06,1.5324171087627292e-07
1874,4.160717878676223e-06,2.0253925114843696e-07
1875,3.6360304989102588e-06,1.58486306744976e-07
1876,4.221932044856658e-06,1.2273410376906213e-07
1877,3.7238776258163853e-06,1.7317484690693163e-07
1878,3.415708647480642e-06,1.3285994615586105e-07
1879,3.5617366052065336e-06,1.0874599176702304e-07
1880,3.207639565516729e-06,1.328494168006955e-07
1881,3.521116354932019e-06,1.1713812941849255e-07
1882,3.758961440780695e-06,1.2112800718000472e-07
1883,3.7631662621606665e-06,2.20544922768795e-07
1884,3.479094345948397e-06,1.789059851375896e-07
1885,4.2618543147909804e-06,1.9272451012852798e-07
1886,3.419045071950677e-06,2.3232469636980113e-07
1887,3.862511846364214e-06,2.1741318789736397e-07
1888,3.7301836641745467e-06,1.9972937082002318e-07
1889,3.4614880064509634e-06,2.844372097854375e-07
1890,3.2221363426288008e-06,2.0711860670985516e-07
1891,2.9417025189104606e-06,2.199105999522999e-07
1892,3.253357959920322e-06,2.2754699813276602e-07
1893,3.053343021974797e-06,2.4325744973907604e-07
1894,3.5269714544483577e-06,2.0732064598405486e-07
1895,2.967176840229513e-06,2.876897688963709e-07
1896,2.8229078736785596e-06,2.5003402370771255e-07
