year,leurs_DET égales_ADJ
1800,3.458580977167003e-08
1801,9.28661236798689e-08
1802,5.147032311469957e-08
1803,3.90067853572873e-08
1804,1.730295728918918e-08
1805,0.0
1806,5.76333825108577e-09
1807,1.1387820464392462e-08
1808,2.2660739062985158e-08
1809,3.388545621874073e-08
1810,2.3401266702194334e-08
1811,5.515568801683912e-08
1812,2.6672083208723052e-08
1813,1.2653262615458516e-07
1814,3.776012391654149e-08
1815,1.6183340889597275e-08
1816,1.1588019432906549e-08
1817,4.670620334934483e-09
1818,4.530047448270125e-08
1819,1.6561680027393777e-08
1820,2.610625848831205e-08
1821,1.3806083387635226e-08
1822,3.5089655625597516e-08
1823,1.4824030003524058e-08
1824,1.3473780313688621e-08
1825,2.289415235168235e-08
1826,1.76159691278599e-08
1827,8.295545583791863e-09
1828,4.494427585655103e-08
1829,2.4004892296147773e-08
1830,1.3567886369969528e-08
1831,1.4032085715598441e-08
1832,5.276687886635045e-08
1833,8.108539617524002e-09
1834,2.6136685704614138e-08
1835,9.075705520444899e-09
1836,8.736974699274924e-09
1837,2.2961039292113128e-08
1838,6.943378316748294e-09
1839,1.677954131196202e-08
1840,3.758116307039927e-08
1841,2.5682194149112547e-08
1842,1.475818312002275e-08
1843,3.36693943836508e-08
1844,1.6465683927435748e-08
1845,1.5066614622583074e-08
1846,1.6392604607062822e-08
1847,1.7258315665458213e-08
1848,3.378993085334514e-08
1849,1.3407063903514427e-08
1850,1.1541293254424545e-08
1851,1.9348316726564008e-08
1852,1.8880582430824688e-08
1853,1.851298847554972e-08
1854,2.961528799971802e-08
1855,1.1144567935161831e-08
1856,2.2779632402603056e-08
1857,1.6597130780837688e-08
1858,2.8872689128434104e-08
1859,2.5460867192350634e-08
1860,1.6020143434047895e-08
1861,2.9238975685075275e-08
1862,3.4788495639759276e-08
1863,1.748117206545885e-08
1864,1.102787461348953e-08
1865,1.4591217123438582e-08
1866,6.3252967308358166e-09
1867,3.0572714138088486e-08
1868,3.655506830568811e-08
1869,2.7347706321734222e-08
1870,1.3188312664169644e-08
1871,2.0180236148803488e-08
1872,1.3304146229131675e-08
1873,1.0774807712721213e-08
1874,1.0754296120296658e-08
1875,6.865832347102696e-09
1876,1.3905833817773328e-08
1877,1.6699003069220453e-08
1878,9.662541877730746e-09
1879,1.649517855639715e-08
1880,1.4761046607247863e-08
1881,1.4642266066289267e-08
1882,1.2645231528551903e-08
1883,1.1374810426900694e-08
1884,2.1125430293977843e-08
1885,1.2891271161663553e-08
1886,7.098810428374236e-09
1887,7.1818169189441505e-09
1888,1.521747527988282e-08
1889,1.6915869593958632e-08
1890,4.5880703680722945e-09
1891,1.4023283867459213e-08
1892,1.6298132621272998e-08
1893,3.079208354961338e-08
1894,5.671385139294216e-09
1895,6.018614495673091e-09
1896,1.2973464080801023e-08
1897,4.078699600285063e-09
1898,1.640922953072277e-08
1899,4.9748205555033564e-09
1900,6.748368974740515e-09
1901,9.500856101851696e-09
1902,1.0802624572647801e-08
1903,2.376096830403185e-08
1904,1.7198800605910947e-08
1905,9.805441791854719e-09
1906,1.18316245689698e-08
1907,1.5942815068115124e-08
1908,2.3083527977973972e-08
1909,7.151278680339601e-09
1910,1.0153886620400954e-08
1911,8.51259862599818e-09
1912,4.688478938419394e-09
1913,1.1666577037772186e-08
1914,1.2723813114234872e-08
1915,8.246533234057551e-09
1916,9.888715624128963e-09
1917,2.1932848426331475e-08
1918,2.412139110674616e-08
1919,2.025726608678724e-08
1920,1.817335615328375e-08
1921,1.2116395886607734e-08
1922,7.377935595798135e-09
1923,1.0615948120573648e-08
1924,2.1915761649893284e-08
1925,9.898360353588487e-09
1926,8.916910765321973e-09
1927,4.4596899506643695e-09
1928,2.0566874425753667e-08
1929,6.684243825105796e-09
1930,7.352522590764465e-09
1931,1.3686427990933225e-08
1932,1.2055489939655217e-08
1933,1.1470662641954732e-08
1934,1.3179738189705859e-08
1935,5.98414207075848e-09
1936,7.274828739411987e-09
1937,1.1332006444320086e-08
1938,2.5930428915188486e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,0.0
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,0.0
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,2.3841741914054637e-09
1948,6.523132700664291e-09
1949,9.817008539414473e-09
1950,1.914365022059883e-08
1951,1.0661401539380222e-08
1952,7.381362632230548e-09
1953,8.619061908632375e-09
1954,2.9317608341017376e-09
1955,6.569925492527773e-09
1956,9.593255967388359e-09
1957,3.534015080575159e-09
1958,1.0753916868111446e-08
1959,8.525822714489095e-09
1960,1.038124963770315e-08
1961,1.320150300188061e-08
1962,1.1415521861124489e-08
1963,1.8104948651398445e-08
1964,7.909158661334459e-09
1965,1.094408652591028e-08
1966,9.416426749453422e-09
1967,1.1832804958089582e-08
1968,1.3474247495537384e-08
1969,5.904285060864822e-09
1970,6.898087434592526e-09
1971,5.652237344833111e-09
1972,6.156176013405457e-09
1973,9.923766697284009e-09
1974,1.6314157136321228e-08
1975,8.567219822452898e-09
1976,1.199840671262109e-08
1977,9.990529292736028e-09
1978,1.6633656230169436e-08
1979,1.6385525825057812e-08
1980,1.4212877097463661e-08
1981,1.3283654176632353e-08
1982,8.690503427999374e-09
1983,1.705135410645653e-08
1984,1.333771937339634e-08
1985,1.564045071233977e-08
1986,8.991728250862252e-09
1987,1.0388388815840699e-08
1988,1.3192418713003917e-08
1989,1.0427432250992297e-08
1990,7.628111475810329e-09
1991,9.96449056600568e-09
1992,2.0386792698445788e-08
1993,1.1632335983335906e-08
1994,1.0549853435293244e-08
1995,1.1929391696696712e-08
1996,1.2811421257197253e-08
1997,1.4384683666435194e-08
1998,2.5747898035888284e-08
1999,1.0511462811280126e-08
2000,4.418031274155965e-09
2001,1.270551397425379e-08
2002,9.200564754507923e-09
2003,1.12506919336397e-08
2004,9.250062049659391e-09
2005,1.8465373230469595e-08
2006,8.64756888319107e-09
2007,8.38840730210677e-09
2008,1.6604014163590364e-08
2009,1.7165493915172192e-08
2010,1.0864724231396394e-08
2011,1.3001504761689375e-08
2012,1.0893608681783462e-08
2013,1.310888730898796e-08
2014,1.7107016248019136e-08
2015,1.684597350504191e-08
2016,1.8849194205472486e-08
2017,1.8112402244696568e-08
2018,1.4456214003644163e-08
2019,1.4795729086358733e-08
