year,pressions_NOUN égales_ADJ,pressions_NOUN légales_ADJ
1800,2.829747991484055e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,5.594600338554301e-08,0.0
1803,0.0,0.0
1804,2.4718509905596875e-08,0.0
1805,4.264316544322355e-08,0.0
1806,4.610670600868616e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,4.985362878073829e-08,0.0
1809,8.358412628695078e-08,0.0
1810,6.31834211617388e-08,0.0
1811,1.42903374467096e-07,0.0
1812,4.800974906515876e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,9.440030979135372e-09,0.0
1815,4.5852800667489646e-08,0.0
1816,6.952811304472561e-08,0.0
1817,4.203558034987509e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,9.419455437864599e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,7.100271659510327e-08,0.0
1822,0.0,0.0
1823,3.261286707356703e-08,0.0
1824,2.189489300974401e-08,0.0
1825,1.584979791857677e-08,0.0
1826,5.725189922145546e-08,0.0
1827,9.8624823863247e-08,0.0
1828,2.659967357487858e-08,0.0
1829,2.3147574523818548e-08,0.0
1830,4.696576283436116e-08,0.0
1831,3.274153215215847e-08,0.0
1832,5.276687886635045e-08,0.0
1833,9.266902623039641e-08,0.0
1834,2.333632664885954e-08,0.0
1835,5.294161553592858e-09,0.0
1836,8.064900214321824e-08,0.0
1837,3.061472142462662e-08,0.0
1838,6.122797202579022e-08,0.0
1839,2.586845759822154e-08,6.9914751765765e-10
1840,8.981260890550402e-08,0.0
1841,2.5682194149112547e-08,0.0
1842,4.360372329870188e-08,0.0
1843,1.8902115428431898e-08,5.906911071384968e-10
1844,4.7750482679020934e-08,0.0
1845,3.124927516751086e-08,0.0
1846,3.6297908678761814e-08,0.0
1847,3.3977308078192436e-08,0.0
1848,2.011305433313737e-08,0.0
1849,4.776266493422554e-08,0.0
1850,4.1412874907109654e-08,0.0
1851,5.546517201082679e-08,0.0
1852,1.6276363368206148e-08,0.0
1853,4.717826129763125e-08,0.0
1854,3.792835201466005e-08,0.0
1855,3.237231638308913e-08,0.0
1856,7.921099864915959e-08,0.0
1857,5.369659916709679e-08,0.0
1858,5.774537825686821e-08,4.893676019968041e-10
1859,3.6154432336843456e-08,0.0
1860,5.950339243554481e-08,0.0
1861,4.95176202264247e-08,0.0
1862,4.653525920161883e-08,0.0
1863,3.096664968893492e-08,0.0
1864,2.6371003158942585e-08,0.0
