year,aux_ADP égaux_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,1.5602713787643552e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.4613449884091096e-08
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,0.0
1818,1.1921177378582115e-09
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,0.0
1822,1.0025615893027862e-08
1823,1.087095569118901e-08
1824,5.052667617633233e-09
1825,3.522177216552791e-09
1826,6.1655889282974385e-09
1827,4.608636583469661e-09
1828,4.586150570418113e-09
1829,6.858540846366168e-09
1830,1.0436835840010872e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,0.0
1834,2.8003592777992026e-09
1835,7.563087933704082e-10
1836,0.0
1837,6.957891152126194e-09
1838,2.5248647617104325e-09
1839,4.894032734625853e-09
1840,5.7327197988676915e-09
1841,8.346713542550788e-09
1842,1.2074877098200432e-08
1843,1.1813822142769936e-09
1844,7.1351298203126134e-09
1845,1.1160455892778032e-09
1846,2.9272506640865004e-09
1847,6.47186837454683e-09
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,6.1100964288129944e-09
1851,5.159551008659946e-09
1852,1.3021090872200602e-08
1853,2.9859659189668264e-09
1854,8.832629572186335e-09
1855,1.2736649068756378e-08
1856,1.5531567143511893e-09
1857,1.3180074809326925e-08
1858,4.893676075479192e-09
1859,1.0693564256314403e-08
1860,8.696649622663699e-09
1861,1.3204698223745481e-08
1862,4.066187830886747e-09
1863,5.494082966350788e-09
1864,6.233146332412787e-09
1865,6.589582213223366e-09
1866,4.865612912574591e-10
1867,4.85281148598915e-09
1868,9.87974813071446e-10
1869,1.1720445947105418e-08
1870,5.734048791339319e-09
1871,1.0621177271019633e-09
1872,2.4189357183956872e-09
1873,1.1972008939764578e-09
1874,2.3898436563030145e-09
1875,6.293679799540541e-09
1876,3.627608879952504e-09
1877,6.184815992682502e-10
1878,5.435179861734696e-09
1879,6.720257683667796e-09
1880,3.2089231272180996e-09
1881,0.0
1882,2.6621540527571597e-09
1883,5.68740488038344e-09
1884,1.3203393933736152e-09
1885,1.2891271383708158e-09
1886,5.808117542471791e-09
1887,6.528924734183761e-09
1888,1.0779045211961602e-08
1889,1.8795409673089125e-09
1890,8.520702365899524e-09
1891,3.824531802365527e-09
1892,6.8953633913793055e-09
1893,4.926733243593162e-09
1894,1.1972924873759894e-08
1895,1.0833506536300774e-08
1896,2.358811590497112e-09
1897,4.661370733849424e-09
1898,4.52668391659472e-09
1899,1.0502398950507086e-08
1900,7.786579492297108e-09
1901,1.1177477832191585e-09
1902,1.4730851538580225e-09
1903,7.020286574288548e-09
1904,6.449550227216605e-09
1905,1.5482277682110634e-09
1906,4.115347507216427e-09
1907,6.68569621886661e-09
