year,dix_DET yeux_NOUN,dix_DET lieues_NOUN
1800,6.288328968651058e-09,1.8456245243214653e-06
1801,3.5717739876872656e-08,2.2692670427204575e-06
1802,4.475680270843441e-09,2.3295915525523014e-06
1803,0.0,1.911332446979941e-06
1804,0.0,1.9700651137100067e-06
1805,0.0,2.3283168957277667e-06
1806,0.0,2.30245359489345e-06
1807,1.9928686256776018e-08,3.07186451209418e-06
1808,0.0,2.3771115138515597e-06
1809,3.840351858741542e-08,2.7695714379660785e-06
1810,9.360507036149102e-09,1.7340339582005981e-06
1811,1.2535384286138651e-08,2.2087347133492585e-06
1812,2.6672082320544632e-09,1.683008349573356e-06
1813,2.8757416448144113e-09,2.0820368717977544e-06
1814,2.8320094713762956e-08,1.910033006424783e-06
1815,0.0,1.9797621462203097e-06
1816,0.0,1.995456841541454e-06
1817,1.556873407970727e-09,1.745255076457397e-06
1818,3.5763532135746345e-09,2.2495262328448007e-06
1819,1.035105001712111e-09,1.7182743476951146e-06
1820,2.1359666035891678e-08,2.6379186692793155e-06
1821,7.88919063410276e-09,2.04625871447206e-06
1822,4.010246357211145e-09,2.1093896975799e-06
1823,7.906149512848515e-09,2.5853109946183395e-06
1824,1.2631669044083083e-08,2.008435330935754e-06
1825,5.283265824829186e-09,2.1036203179392032e-06
1826,1.761596823968148e-08,3.3391067972843302e-06
1827,5.530363722527909e-09,2.7661035346682183e-06
1828,2.109629271274116e-08,2.2802341845817864e-06
1829,8.573175946935407e-09,2.316472091479227e-06
1830,2.0873671680021744e-09,2.494403815944679e-06
1831,1.091384405071949e-08,1.799225174181629e-06
1832,1.488296597074168e-08,1.933432713485672e-06
1833,0.0,3.2179320896830177e-06
1834,1.4001796166951408e-08,2.404575070613646e-06
1835,4.5378527602224494e-09,2.1222024315648014e-06
1836,2.688300027031687e-09,2.0578936528181657e-06
1837,1.1132625488130543e-08,2.1430303149827523e-06
1838,1.5780405204779413e-08,2.3897844130260637e-06
1839,4.194885327990505e-09,1.8883974917116575e-06
1840,9.554533164646273e-09,1.852942432378768e-06
1841,2.0545755319290038e-08,1.9531307771103457e-06
1842,4.695785538189057e-09,2.166098738598521e-06
1843,2.008349753168659e-08,1.6238099078691448e-06
1844,1.7563396292885614e-08,1.4654458482254995e-06
1845,1.4508592549589139e-08,1.400637188453402e-06
1846,1.5807152919933287e-08,1.713612505227502e-06
1847,8.629157832729106e-09,1.670820665822248e-06
1848,5.63165514222419e-09,1.3620560821436811e-06
1849,2.513824481908955e-09,1.2619399285540567e-06
1850,0.0,1.5770838217576966e-06
1851,8.384270167027807e-09,1.571083316775912e-06
1852,1.3021090872200602e-08,1.408231014465855e-06
1853,2.9859659189668264e-09,1.431472014701285e-06
1854,2.0782657816909023e-09,1.472970893701131e-06
1855,4.2455496895854594e-09,1.5681998775107786e-06
1856,4.141751386299575e-09,1.2083559113307274e-06
1857,8.298565390418844e-09,1.525471589047811e-06
1858,5.3830437884982985e-09,1.4822944649495184e-06
1859,1.2221216039165483e-08,1.3081793213132187e-06
1860,1.5562426014525954e-08,1.5296948276954936e-06
1861,6.13075279431996e-09,1.4699659232064732e-06
1862,1.3102160245637151e-08,1.445303837499523e-06
1863,2.3474717281146695e-08,1.3994927030580584e-06
1864,1.8699438442126848e-08,1.256218752132554e-06
1865,1.2237795665726026e-08,1.1418804888307932e-06
1866,1.0704348518686402e-08,1.1224968829992577e-06
1867,4.85281148598915e-10,1.1127497145935195e-06
1868,2.9639244392143382e-09,1.204341288030264e-06
1869,4.883519366671862e-09,1.2140428680140758e-06
1870,2.2936195165357276e-09,1.2242194316058885e-06
1871,3.18635318130589e-09,9.367878419652698e-07
1872,1.2094678591978436e-09,8.720263053874078e-07
1873,7.781805422268917e-09,1.001458599603211e-06
1874,3.5847653734322193e-09,1.0288276826031506e-06
1875,1.1443054281912168e-09,1.0281584081894835e-06
1876,6.831997012568536e-08,9.256448834094044e-07
1877,4.329371083855449e-09,1.1707857083820272e-06
1878,6.039088673581716e-10,8.3943331219416e-07
1879,3.0546627449723474e-09,1.16138278372091e-06
1880,3.2089231272180996e-09,9.780798109204625e-07
1881,7.669758161910067e-09,1.0389036333435797e-06
1882,8.652000671460769e-09,8.931526735977968e-07
1883,6.319338941018771e-10,9.371579494654725e-07
1884,8.582206056928499e-09,9.031121521729801e-07
