year,les_DET êtres_NOUN,les_DET etres_NOUN,les_DET lettres_NOUN
1800,1.4126731457508868e-05,4.307505259149025e-07,3.63654059469809e-05
1801,1.327033018583279e-05,3.809892135109294e-08,3.694166727541415e-05
1802,1.2243223096675138e-05,5.370816325012129e-08,3.899883918734304e-05
1803,1.451052389711549e-05,4.680814025270763e-08,3.3775975140315495e-05
1804,1.1973645797525023e-05,7.909923160909216e-08,3.279404569411781e-05
1805,1.0396403951062894e-05,1.2792949255491237e-07,4.278815160319027e-05
1806,8.852487951571675e-06,1.0229925599958278e-06,5.1420502643395594e-05
1807,8.873958989852326e-06,1.9843277669906456e-06,4.44324284387676e-05
1808,9.592290780346957e-06,4.192236753297607e-07,5.3576786910980445e-05
1809,7.411879053620396e-06,5.647576206690985e-08,4.147128305476144e-05
1810,7.476705164322084e-06,6.552354925304371e-08,4.7371185814881756e-05
1811,5.515569000635878e-06,1.8301659832076211e-07,5.2315171956252016e-05
1812,7.148118100985812e-06,4.5342539056747455e-08,4.99274699450325e-05
1813,7.474052409861542e-06,1.207811497483391e-07,4.666753687843084e-05
1814,5.236070578007457e-06,1.510405018834149e-07,4.570233784306765e-05
1815,9.869140995988346e-06,1.672278608921829e-07,3.9972854040115635e-05
1816,1.448038904072746e-05,1.946787211437595e-07,3.263881558268622e-05
1817,1.3753419580098125e-05,8.251429184369385e-08,3.7371189932855486e-05
1818,1.2320537280174904e-05,3.337929688207453e-08,4.1312841801754985e-05
1819,1.0180257987713048e-05,4.0369095288816936e-08,4.315042076541431e-05
1820,1.0625246872564276e-05,8.06920743556816e-08,4.563255362199925e-05
1821,1.0406828579334615e-05,3.155676209232183e-08,4.7188208895931893e-05
1822,1.0692318937799428e-05,2.8071724500478012e-08,4.318834885452816e-05
1823,7.888360642027692e-06,2.174191093828881e-08,3.861067088450909e-05
1824,8.536481743703916e-06,2.0547515333646516e-07,4.297799029018279e-05
1825,8.948971640165837e-06,6.163810128967384e-08,4.285345127641449e-05
