year,des_DET âmes_NOUN,des_DET ames_NOUN,des_DET lames_NOUN
1800,5.062105046249599e-07,2.694548958181997e-06,3.0812812354952257e-06
1801,2.0478170359439218e-07,3.4598583171785435e-06,3.019339594345638e-06
1802,5.370816040795034e-07,2.844294840542716e-06,2.0051048181812803e-06
1803,5.538963385731677e-07,2.705120515145154e-06,3.0971387730005517e-06
1804,3.510028276920707e-07,3.0255454523953063e-06,2.046692507917669e-06
1805,5.742612811943104e-07,2.2458734694197346e-06,2.2686163845264673e-06
1806,6.541388799519154e-07,2.0603935340091084e-06,1.985469941345741e-06
1807,2.903894085193315e-07,3.211365394051313e-06,2.3857483122391443e-06
1808,5.393256277130831e-07,2.3408543601277643e-06,1.570389325245003e-06
1809,3.930712990651841e-07,2.5549634390387155e-06,1.8772543626255356e-06
1810,7.418201768416566e-07,4.015657326661426e-06,1.3806747998224012e-06
1811,6.317833367575076e-07,1.6596848393390928e-06,1.4089771198655399e-06
1812,1.1549011684763855e-06,2.1924451107935283e-06,3.6700784242782447e-06
1813,8.655982277616658e-07,1.6477999456032677e-06,2.248829986228884e-06
1814,9.88056630291112e-07,1.6614455624619495e-06,3.420437998613579e-06
1815,9.952755202213837e-07,1.3647951522255397e-06,1.850295351379927e-06
1816,1.1889307796053572e-06,3.2886799630205132e-06,5.258643263061913e-06
1817,1.3560367371212578e-06,2.4240518634588426e-06,2.4567462943991814e-06
1818,1.2910634872298488e-06,2.4390728130541106e-06,1.7989056697587102e-06
1819,2.320705512204313e-06,1.5547276968064239e-06,1.7203445494828884e-06
1820,1.9461028628597887e-06,2.1003672392438943e-06,1.4690704048803127e-06
1821,2.576806906517959e-06,2.095566365323265e-06,1.7070236459915122e-06
1822,1.9820642478407535e-06,2.1615228007476617e-06,1.558983242944123e-06
1823,1.3756699903666458e-06,2.2265693919720775e-06,1.677091912455353e-06
1824,1.33643063549016e-06,1.818960369881495e-06,1.9932773138719995e-06
1825,1.595546255117597e-06,1.9451223691735464e-06,1.6809590359656568e-06
1826,1.359071966078318e-06,1.8884318515599574e-06,1.2753960980660395e-06
1827,1.1475504564373296e-06,1.5226935096701588e-06,1.5881361816738604e-06
1828,1.385017434074598e-06,1.574884173294322e-06,1.728978810788817e-06
1829,9.7219814065852e-07,1.9581133954282848e-06,1.989834203186547e-06
1830,1.425671769084147e-06,1.923508895718129e-06,2.125983371570328e-06
1831,1.1100939225627826e-06,2.248251903758103e-06,2.1671777190590547e-06
1832,1.2704640823812952e-06,2.306859874678935e-06,1.9293736279735185e-06
1833,1.16067954181176e-06,2.4325620581189256e-06,2.236798646748639e-06
1834,1.5215285849023985e-06,2.256156192537162e-06,1.7184871907716115e-06
1835,1.6018619959368152e-06,2.227329368054143e-06,2.3438008440734848e-06
1836,1.6412071168758757e-06,2.209110550932536e-06,1.7440346304908871e-06
1837,1.626059081161202e-06,1.3609635214351101e-06,2.3225439740315323e-06
1838,1.6165446155014251e-06,1.171537195254757e-06,1.9510891959839682e-06
1839,1.6863437650727064e-06,1.2060294576343722e-06,1.9436300640052195e-06
1840,2.4708022614561287e-06,7.649995952263566e-07,1.832559469505668e-06
1841,2.227288298684016e-06,9.983953210834784e-07,1.7020873990247765e-06
1842,2.2989224248703977e-06,9.103115594655264e-07,1.6428541247393014e-06
1843,2.789834166350147e-06,6.456253793807321e-07,1.6037263748103214e-06
1844,2.941868856964902e-06,7.409557789550547e-07,1.496730654082512e-06
1845,3.290102434050368e-06,4.146109482405791e-07,1.2907067805656425e-06
1846,2.8605093156386374e-06,5.064143877575589e-07,1.5315375314628454e-06
1847,2.254906753762498e-06,3.7105378769553e-07,1.5084846261004259e-06
1848,2.1834731107617245e-06,6.299408575882737e-07,1.3805600183047773e-06
1849,2.271659361952061e-06,4.1394308625264387e-07,1.8208469025893237e-06
1850,2.6741855414513793e-06,4.813398160052884e-07,1.7766802535845727e-06
