year,sois_VERB à_ADP,sois_VERB a_ADP,sois_VERB là_ADV
1800,1.9493819269911228e-07,3.144164484325529e-09,3.144164484325529e-09
1801,2.619300776274258e-07,0.0,0.0
1802,2.0364345232337655e-07,4.475680270843441e-09,1.1189200677108602e-08
1803,2.106366379095448e-07,0.0,3.900678446910888e-09
1804,1.9527622963089186e-07,0.0,0.0
1805,1.7625842096968825e-07,2.842877711017877e-09,2.842877711017877e-09
1806,3.2851027409463995e-07,0.0,5.76333825108577e-09
1807,1.3095994200185146e-07,0.0,2.8469550272802735e-08
1808,1.3823051547845466e-07,0.0,6.798221985349073e-09
1809,2.1686692885936054e-07,0.0,1.129515236897305e-08
1810,3.0421647556622133e-07,4.680253518074551e-09,7.020380277111826e-09
1811,2.1560860830049933e-07,2.5070767684098882e-09,2.0056614147279106e-08
1812,1.7870294888311378e-07,0.0,2.6672082320544632e-09
1813,1.1215392170527139e-07,0.0,1.4378708002027452e-08
1814,1.2586708519890522e-07,0.0,0.0
1815,2.454473486679376e-07,0.0,2.697223555614414e-09
1816,1.0660977878274025e-07,0.0,4.6352077731626196e-09
1817,2.1484852741338045e-07,1.556873407970727e-09,9.341240669868967e-09
1818,3.07566368817902e-07,0.0,3.5763532135746345e-09
1819,2.0184547055990265e-07,5.175524897538253e-09,8.280840013696888e-09
1820,2.7174241257199583e-07,2.3732962262101864e-09,1.6613073583471305e-08
1821,3.55999737244872e-07,9.86148829262845e-10,4.2404398215012407e-08
1822,3.127992158624693e-07,4.010246357211145e-09,8.02049271442229e-09
1823,2.9549233282466503e-07,9.882686891060644e-10,5.929612356680991e-09
1824,2.4421226374471416e-07,2.5263338088166165e-09,6.736890156844311e-09
1825,3.3108466368503287e-07,4.402721520690989e-09,2.8177417288333118e-08
1826,1.7263649887411248e-07,1.7615968683770689e-09,1.145037975547325e-08
1827,2.5900537536927004e-07,0.0,4.608636583469661e-09
1828,1.8803216983442894e-07,9.172301251858528e-10,6.420610709767516e-09
1829,1.5688912657907395e-07,0.0,3.086343269842473e-08
1830,1.9516882487913279e-07,1.0436835840010872e-09,2.5048405127847673e-08
1831,2.712869804355478e-07,1.5591206103948707e-09,3.1182413096075834e-08
1832,3.138952884285118e-07,0.0,1.2176972319366541e-08
1833,2.652650792356326e-07,1.1583628500844156e-09,1.50587169400751e-08
1834,1.5495321648018034e-07,0.0,2.14694217959277e-08
1835,2.442877473640692e-07,7.563087933704082e-10,1.9664028627630614e-08
1836,2.2178474945455662e-07,0.0,2.6210924541913982e-08
1837,2.031704191551853e-07,0.0,2.99189295560609e-08
1838,1.622225660469212e-07,0.0,1.3886756633496589e-08
1839,1.831766445192784e-07,0.0,1.11863602825224e-08
1840,1.866318797283384e-07,0.0,2.356784811752277e-08
1841,2.0096317321360857e-07,0.0,2.8250413564023802e-08
1842,2.3344762567489852e-07,6.708265054555795e-10,2.95163662400455e-08
1843,2.3036952789823317e-07,1.1813822142769936e-09,3.898561473647533e-08
1844,1.547774239885058e-07,5.488561272137815e-10,1.811225219805479e-08
1845,1.7187101564175578e-07,5.580227946389016e-10,4.017764060337825e-08
1846,1.9319855049104717e-07,1.7563503984519002e-09,1.2879902477891392e-08
1847,1.4507772139182862e-07,1.6179670936367074e-09,1.6718992412734224e-08
1848,1.456185094728113e-07,0.0,2.896279838182636e-08
1849,1.0977033859660423e-07,8.379414495607307e-09,1.6758828991214614e-08
1850,1.8873408524910928e-07,2.7155984128057753e-09,3.394497838371535e-08
1851,1.418876522940593e-07,1.2898877521649865e-09,2.7087642351375507e-08
1852,1.6862312079979347e-07,6.510545436100301e-10,1.0416872697760482e-08
1853,1.2779934488449385e-07,0.0,3.224843303506475e-08
1854,1.9327872413654745e-07,1.558699391779328e-09,2.909572094367263e-08
1855,2.2766759855130658e-07,0.0,2.7596072982305486e-08
1856,1.6204601660518847e-07,2.5885946164372342e-09,2.1226476576430287e-08
1857,1.7671062657598213e-07,9.763018171682347e-10,2.7824602177872748e-08
1858,2.0015134793993639e-07,1.9574704079872163e-09,2.3489644007668176e-08
1859,1.812813739121566e-07,5.092173349652285e-10,2.49516496353408e-08
1860,2.0322696236974025e-07,1.373155145145688e-09,3.707518914097818e-08
1861,2.711679130129596e-07,9.431927461278633e-10,2.2636625574001812e-08
1862,1.9427340536282145e-07,1.3553959066214816e-09,2.1234536351499855e-08
1863,2.0577837167579105e-07,4.994620828036034e-10,2.8469338886338846e-08
1864,2.4932585596104673e-07,3.835782358407869e-09,4.746780701836428e-08
1865,2.071011513393728e-07,9.41368871743009e-10,1.4120533187167439e-08
1866,2.0824822666298815e-07,1.4596838737723772e-09,3.989802621617855e-08
1867,2.135237053835226e-07,0.0,3.396968040192405e-08
1868,1.5560602761865994e-07,4.93987406535723e-10,2.7169306804353255e-08
1869,2.3538562032854315e-07,1.953407657850903e-09,4.0533209677562354e-08
1870,2.78674775699983e-07,5.734048791339319e-10,2.5803219116937726e-08
1871,1.7312518552081713e-07,0.0,1.805600113868877e-08
1872,2.2677522526493021e-07,0.0,3.930770375859538e-08
1873,1.424669071603546e-07,1.7958013409646867e-09,3.591602748542755e-08
1874,2.0731894245784588e-07,2.987304570378768e-09,4.062734149101743e-08
1875,2.860763430589941e-07,6.293679799540541e-09,4.3483606049221635e-08
1876,2.466773918463616e-07,6.650616501957529e-09,4.0508297827202e-08
1877,2.350230046133106e-07,2.4739263970730008e-09,4.6386120833297184e-08
1878,1.5339285464044394e-07,0.0,2.536417204046515e-08
1879,1.875562922748486e-07,6.10932526790009e-10,4.5209007870639084e-08
