year,juges_NOUN égaux_ADJ,juges_NOUN légaux_ADJ
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,3.9549615138412264e-08
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,0.0,6.798221985349073e-09
1809,6.7770917766551975e-09,0.0
1810,0.0,4.680253518074551e-09
1811,1.7549536934780008e-08,7.521229861140455e-09
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,5.960588467246453e-09
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,9.86148829262845e-10,1.3806083387635226e-08
1822,0.0,3.107940926838637e-08
1823,0.0,8.894418535021487e-09
1824,0.0,6.736890156844311e-09
1825,0.0,2.641632912414593e-09
1826,0.0,3.5231937367541377e-09
1827,1.8434546111834038e-09,7.373818444733615e-09
1828,0.0,4.586150570418113e-09
1829,2.571952872898464e-09,6.001223074036943e-09
1830,1.0436835840010872e-09,3.1310507520032616e-09
1831,0.0,3.1182412207897414e-09
1832,1.3529969367098715e-09,8.117981842303834e-09
1833,8.108539617524002e-09,1.0425265983826648e-08
1834,0.0,9.334530925997342e-10
1835,0.0,9.832014313815307e-09
1836,0.0,2.016224964762614e-09
1837,0.0,8.349468672008697e-09
1838,0.0,1.009945904684173e-08
1839,3.4957374772659477e-09,2.0974426639952526e-09
1840,1.2739377330817092e-09,8.917564464638872e-09
1841,3.2102742686390684e-09,1.1556987367100646e-08
1842,6.708265054555795e-10,7.379091560011375e-09
1843,0.0,1.1813822142769936e-09
1844,0.0,9.330554107123135e-09
1845,8.928364714222425e-09,6.138250796539069e-09
1846,5.854501328173001e-09,2.517435504501009e-08
1847,0.0,1.88762818709165e-08
1848,1.6090443422100975e-09,1.045878850192139e-08
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,1.3577992064028876e-09,0.0
1851,0.0,2.579775504329973e-09
1852,0.0,1.3021090872200602e-09
1853,0.0,1.7915795513800958e-09
1854,5.195664454227256e-10,5.195664343204953e-09
1855,2.653468555990912e-09,5.306937111981824e-09
1856,1.2425253714809514e-08,5.177189232874468e-10
1857,7.322263684272912e-09,2.4407544874094356e-09
1858,0.0,3.4255731584664773e-09
1859,5.092173349652285e-10,6.619825576592575e-09
1860,5.034902272882391e-09,2.288591982591015e-09
1861,0.0,0.0
1862,9.035972525772706e-10,7.228778020618165e-09
1863,0.0,6.99246927027275e-09
1864,0.0,9.589455896019672e-10
1865,0.0,2.3534221238463715e-09
1866,4.865612912574591e-10,1.4110277390955162e-08
1867,0.0,4.85281148598915e-09
1868,0.0,1.1361710683388537e-08
1869,4.883519144627257e-10,9.767038289254515e-10
1870,0.0,7.454262984651905e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,6.047339295989218e-10
1873,5.986004469882289e-10,0.0
1874,0.0,3.5847653734322193e-09
1875,0.0,5.149374260327022e-09
1876,0.0,1.813804439976252e-09
1877,0.0,4.9478527941460015e-09
1878,0.0,1.2078177347163432e-09
1879,1.221865053580018e-09,2.932476128592043e-08
1880,1.2835692508872398e-09,1.0268554007097919e-08
1881,0.0,8.367009307619355e-09
1882,0.0,6.655385131892899e-09
1883,1.2638677882037541e-09,1.2638677882037541e-09
1884,0.0,1.3203393933736152e-09
1885,1.2891271383708158e-09,0.0
1886,0.0,1.936039106809062e-09
1887,0.0,2.6115698492645834e-09
1888,6.340614699951175e-10,6.974675947901687e-09
1889,0.0,0.0
1890,0.0,6.554386478008212e-10
1891,3.1871101313640793e-09,1.9122659011827636e-09
1892,1.2537024751679837e-09,2.5074049503359674e-09
1893,0.0,1.847525021858587e-09
1894,0.0,1.2603078580752936e-09
1895,6.018614495673091e-10,2.4074457982692365e-09
1896,1.7691086373616827e-09,2.948514543632541e-09
1897,0.0,9.322741689743452e-09
1898,5.6583548957434e-10,9.05336783318944e-09
1899,0.0,9.949641111006713e-09
1900,5.191053142894475e-10,1.5573159428683425e-09
1901,0.0,3.912117296778206e-09
1902,4.910283846193408e-10,8.347482705062248e-09
1903,0.0,3.2401321625741275e-09
1904,2.6873125946735854e-09,3.7622376325430196e-09
1905,0.0,0.0
1906,0.0,2.572092316910357e-09
1907,1.5428529565042481e-09,0.0
1908,2.4556945366072114e-09,6.384805573134145e-09
1909,2.2003934230241384e-09,5.500983557560346e-10
1910,1.6032452032632705e-09,1.6032452032632705e-09
1911,0.0,7.448523575703803e-09
1912,1.0418842455450772e-09,5.209421227725386e-10
1913,2.121195885607108e-09,2.121195885607108e-09
1914,0.0,3.3483718020477227e-09
1915,0.0,0.0
