year,aurons_VERB eu_VERB,aurons_VERB lu_VERB
1800,9.118077315406481e-08,1.8864987794131594e-08
1801,8.572257570449437e-08,9.524730337773235e-09
1802,8.727576528144709e-08,0.0
1803,2.145373123596528e-08,5.851017448321727e-09
1804,1.0628959046243835e-07,2.4718509461507665e-09
1805,4.8328921309348516e-08,5.685755422035754e-09
1806,6.916005901302924e-08,5.76333825108577e-09
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,5.211970233176544e-08,0.0
1809,3.840352036377226e-08,2.259030518203531e-09
1810,3.2761775514700275e-08,4.680253518074551e-09
1811,2.5070768572277302e-08,7.521229861140455e-09
1812,6.13457871168066e-08,2.6672082320544632e-09
1813,5.751483289628823e-09,8.627225156487839e-09
1814,1.1328037885505182e-07,0.0
1815,1.8880564667256294e-08,0.0
1816,3.244645441213834e-08,9.270415546325239e-09
1817,5.7604317760251433e-08,2.490997452753163e-08
1818,4.2916237674717195e-08,5.960588467246453e-09
1819,4.243930362690662e-08,0.0
1820,3.441279616822612e-08,1.1866481131050932e-08
1821,5.226588939422072e-08,5.9168927535324656e-09
1822,1.0326384369818697e-07,5.012807946513931e-09
1823,4.644862983127496e-08,1.7788837070042973e-08
1824,3.03160057057994e-08,1.0105335235266466e-08
1825,9.509878395874694e-08,8.805443485471187e-09
1826,5.108631029315802e-08,1.7615968683770689e-09
1827,6.452091128039683e-08,5.530363722527909e-09
1828,4.035812395386529e-08,4.586150570418113e-09
1829,3.8579290873030914e-08,6.001223074036943e-09
1830,3.339787468803479e-08,3.1310507520032616e-09
1831,5.9246584527272717e-08,1.5591206103948707e-09
1832,4.329590197471589e-08,0.0
1833,8.108539617524002e-09,5.791814139399776e-09
1834,4.29388435918554e-08,1.8669061851994684e-09
1835,3.100866052818674e-08,1.0588323107185715e-08
1836,6.72075017860152e-08,0.0
1837,3.826840000442644e-08,4.87052354003481e-09
1838,2.840472923537618e-08,8.837027110075724e-09
1839,3.216078425793967e-08,4.894032734625853e-09
1840,3.9492068282243054e-08,7.0066574764382494e-09
1841,2.43980835534785e-08,1.0272877659645019e-08
1842,3.890793820460203e-08,4.024959032733477e-09
1843,3.2488010504039266e-08,2.953455480181333e-09
1844,3.677336124496833e-08,8.232841963717874e-09
1845,3.627148004170522e-08,8.37034175305007e-09
1846,4.9177810268474786e-08,2.3418005312692003e-09
1847,5.2314270249098627e-08,1.0786447290911383e-08
1848,4.103063133698015e-08,8.045221711050488e-10
1849,3.603148357456121e-08,4.1897072478036534e-09
1850,1.1541293254424545e-08,2.7155984128057753e-09
1851,3.4826967976187007e-08,5.159551008659946e-09
1852,3.7761164861649377e-08,1.1718981340891332e-08
1853,3.762317035693741e-08,1.7915795513800958e-09
1854,3.4810952342922974e-08,6.754363734984281e-09
1855,4.351688431825096e-08,1.0613874223963649e-09
1856,3.727576114442854e-08,6.212626857404757e-09
1857,3.270611159678083e-08,6.345961978126979e-09
1858,4.942612719105455e-08,9.787352039936081e-10
1859,2.34239969643113e-08,1.7313389832906978e-08
1860,3.249800428761773e-08,4.119465657481669e-09
1861,5.046081241744105e-08,1.0846716413936974e-08
1862,5.783022416494532e-08,8.132375661773494e-09
1863,5.4940830551686304e-08,1.4983863039219614e-09
1864,5.3221480555976086e-08,2.8768367688059016e-09
1865,5.271665770578693e-08,4.706844358715045e-10
1866,5.54679857600604e-08,1.4596839292835284e-09
1867,3.688136729351754e-08,2.426405742994575e-09
1868,3.853101659956337e-08,9.87974813071446e-10
1869,3.711474505507795e-08,8.790334682373668e-09
1870,7.0528798801206e-08,6.307453670473251e-09
1871,6.478918379571041e-08,2.1242354542039266e-09
1872,5.019291648977742e-08,2.4189357183956872e-09
1873,4.968383748860106e-08,5.986004469882289e-10
1874,5.675878611555163e-08,1.7923826867161097e-09
1875,3.661777370211894e-08,6.293679799540541e-09
1876,4.17175023414984e-08,8.464420275799966e-09
1877,2.4739264858908427e-08,2.4739263970730008e-09
1878,3.01954443671093e-08,3.6234530931267273e-09
1879,4.459807456669296e-08,1.832797580370027e-09
1880,5.0059199452334724e-08,2.5671385017744797e-09
1881,5.508281120114589e-08,3.4862537301449947e-09
1882,4.6587697255517924e-08,2.6621540527571597e-09
1883,4.2971503688704615e-08,0.0
1884,5.677459569142229e-08,3.300848483434038e-09
1885,4.254119545521462e-08,3.86738152613475e-09
1886,3.0976625708944994e-08,7.744156427236248e-09
1887,6.137189245691843e-08,2.6115698492645834e-09
1888,3.6775563927449184e-08,4.4384300679212174e-09
1889,2.944614330147033e-08,0.0
1890,4.0637196718762425e-08,2.6217545912032847e-09
1891,2.932141285327816e-08,6.374220040683554e-10
1892,3.949162774574688e-08,0.0
1893,3.87980243488073e-08,3.079208221734575e-09
1894,3.465846631911518e-08,9.452309157609307e-09
1895,3.611168608586013e-08,1.2037228991346183e-09
1896,3.538217541176891e-08,1.7691086373616827e-09
1897,3.96216535136773e-08,7.574727511894253e-09
1898,4.3003495875382214e-08,1.0185038590293516e-08
1899,4.145683618617113e-08,8.844125432005967e-09
1900,5.0353214930964896e-08,2.07642125715779e-09
1901,4.470991044058792e-08,6.706486921359556e-09
1902,2.5042448115186744e-08,9.820567692386817e-10
1903,3.6181475593366486e-08,1.1340462791054051e-08
1904,4.72967016662551e-08,4.837162670412454e-09
1905,6.605771574186292e-08,2.580379465655369e-09
1906,5.041300710217911e-08,6.6874399351490865e-09
1907,3.651418722938615e-08,8.742834012309686e-09
1908,4.174680867663483e-08,4.4202499438483756e-09
1909,3.960708028216686e-08,5.5009836685826485e-09
1910,5.076943310200477e-08,8.01622590529405e-09
1911,2.500575924102577e-08,4.788336838146279e-09
1912,4.5842906359894187e-08,2.6047106693738442e-09
1913,4.2423916823963737e-08,1.590896836489719e-08
1914,3.549274296688054e-08,3.3483718020477227e-09
1915,4.7123048574349014e-08,3.534228465440492e-09
1916,7.801097723358907e-08,2.197492410260793e-09
1917,8.005489604556715e-08,5.483212106582869e-09
1918,9.763419939190499e-08,6.89182577673364e-09
1919,4.603924352863942e-08,5.524709134618888e-09
1920,7.496509368820625e-08,1.514446346106979e-09
1921,3.256281289054641e-08,2.2718242842501013e-09
1922,6.345024416987144e-08,3.6889677978990676e-09
1923,3.290944050604594e-08,3.1847844361720945e-09
1924,4.383152329978657e-08,2.578324886925998e-09
1925,4.179307566687385e-08,9.898360353588487e-09
1926,4.7928395474627905e-08,2.229227691330493e-09
1927,3.5677519605314956e-08,4.4596899506643695e-09
1928,5.0274582719112004e-08,1.1426041224282812e-09
1929,5.23599084090165e-08,1.1140406375176326e-09
1930,3.151081173768944e-08,4.201441416995522e-09
1931,2.3951248095954725e-08,2.2810713318222042e-09
1932,5.589363638591749e-08,1.0959536611565568e-09
1933,1.261772819560747e-08,3.4411986593596566e-09
1934,3.4746584276490466e-08,3.5944740517379614e-09
1935,4.4282650435434334e-08,2.393656828303392e-09
1936,3.031178508194898e-08,4.849885826274658e-09
1937,3.5255130370615007e-08,3.777335333410292e-09
1938,4.797129449229942e-08,2.5930428915188486e-09
1939,1.988226472349197e-08,0.0
1940,3.803674530900025e-08,0.0
1941,3.246652724442356e-08,0.0
1942,4.5513175450651033e-08,0.0
1943,2.0322646676618206e-08,0.0
1944,3.855823393905666e-08,3.2131861615880553e-09
1945,1.9606536838523425e-08,4.357008087652048e-09
1946,6.682130049284751e-08,1.3921104269343232e-09
1947,5.602809238780537e-08,7.152522574216391e-09
1948,4.240036233227329e-08,4.348755133776194e-09
1949,4.22131343214005e-08,0.0
1950,3.828730044119766e-08,7.444753258312176e-09
1951,4.371174711081949e-08,0.0
1952,4.323369751091377e-08,4.2179215675730575e-09
1953,4.5250075686453783e-08,1.0773827385790469e-09
1954,3.9090146231046674e-08,9.772536113672459e-10
1955,4.5050917663047585e-08,5.631364707880948e-09
1956,4.534993536253751e-08,8.72114158667614e-10
1957,5.742774433770137e-08,4.417518795207798e-09
1958,3.6397871383542224e-08,6.617794756635931e-09
1959,5.115493451057773e-08,6.200598257066758e-09
1960,3.737250153790228e-08,3.460416619915918e-09
1961,8.407272389376885e-08,6.94815938118154e-09
1962,5.010145542883038e-08,5.0735651235811474e-09
1963,3.427008365974871e-08,7.759263453976928e-09
1964,5.2322128851756133e-08,6.6923653285755336e-09
1965,3.775710055720083e-08,8.20806533852192e-09
1966,2.658755882123387e-08,4.431259803538978e-09
1967,3.69775179365206e-08,2.9582012395223956e-09
1968,5.61426993783698e-08,5.3896989093971115e-09
1969,5.177603767947403e-08,2.2708788183223305e-09
1970,2.8052221878738237e-08,2.2993624781975086e-09
1971,5.70362104213018e-08,8.735275613958038e-09
1972,3.33459553303328e-08,4.6171320100540925e-09
1973,3.197658315912122e-08,1.6539611902288698e-09
1974,4.950502940914703e-08,1.6876715580593782e-09
1975,3.084199207137317e-08,0.0
1976,3.199575004941835e-08,3.4281160132820787e-09
1977,2.7620874476497193e-08,4.7014254711541525e-09
1978,2.673266052966028e-08,4.158414057542359e-09
1979,2.63338808537128e-08,4.681578680276743e-09
