year,moyens_NOUN égaux_ADJ,moyens_NOUN légaux_ADJ
1800,4.087413785214267e-08,1.2262241000371432e-07
1801,9.524730337773235e-09,2.6193008650921e-08
1802,4.0281122437590966e-08,5.370816325012129e-08
1803,1.3652374342143503e-08,5.655983770225248e-08
1804,2.4718509905596875e-08,6.426812149129546e-08
1805,1.9900143755080535e-08,3.4114531644036106e-08
1806,6.916005901302924e-08,5.76333825108577e-09
1807,8.540865792383556e-09,1.0818429529990681e-07
1808,3.852325747288887e-08,2.039466551195801e-08
1809,4.969867006821005e-08,6.09938268780752e-08
1810,1.6380887757350138e-08,7.254392642153107e-08
1811,7.521229861140455e-09,3.259199843341776e-08
1812,2.6672082320544632e-09,8.001624962616916e-08
1813,2.300593315851529e-08,8.627225156487839e-08
1814,8.810695817373926e-08,6.922689976818219e-08
1815,4.5852800667489646e-08,1.1867783911156948e-07
1816,1.3905623319487859e-08,3.244645441213834e-08
1817,3.7364962679475866e-08,1.55687345682054e-07
1818,4.053200441944682e-08,1.1205906957911793e-07
1819,7.349245834120666e-08,1.9356463099029497e-07
1820,1.3053129244156025e-08,1.1629151686065597e-07
1821,2.7612166775270452e-08,9.861488337037372e-08
1822,5.714601059025881e-08,1.1429202118051762e-07
1823,9.882686669016039e-09,1.5515819029587874e-07
1824,1.6000115010683658e-08,1.3221146843989118e-07
1825,1.937197424695114e-08,1.2855946351919556e-07
1826,2.906634755106552e-08,1.3388135755576513e-07
1827,4.608636672287503e-08,1.7881509961625852e-07
1828,1.2841221419535032e-08,1.7060480672626e-07
1829,3.943661042171698e-08,1.5517449014623708e-07
1830,1.2524203008013046e-08,2.2230460672290064e-07
1831,1.2472964883158966e-08,3.071467631343694e-07
1832,1.8941957335982806e-08,2.9495333819795633e-07
1833,1.7375443306377747e-08,2.9074908525217324e-07
1834,1.5868701908061666e-08,3.239082104755653e-07
1835,3.025235173481633e-08,2.336994100460288e-07
1836,2.1506400216253496e-08,1.5323310265102918e-07
1837,2.2961039292113128e-08,2.470051185810007e-07
1838,1.7042836475411605e-08,1.7295323573307542e-07
1839,1.3283802502428443e-08,2.551888371726818e-07
1840,8.917564464638872e-09,2.949165889276628e-07
1841,4.4301785351308354e-08,2.182986520438135e-07
1842,2.4149754196400863e-08,2.5155995331260783e-07
1843,1.7720733325177207e-08,2.522251065784076e-07
1844,1.1525978393933656e-08,2.519249733268225e-07
1845,7.812318791877715e-09,3.6606294884222734e-07
1846,2.5759806732139623e-08,3.1263036248674325e-07
1847,1.4561703842730367e-08,3.5433478728919e-07
1848,3.218088551193432e-08,4.1835153297142824e-07
1849,3.77073661184113e-08,5.052787059867114e-07
1850,2.2403686017469226e-08,4.080186499777483e-07
1851,3.8696633453128015e-08,3.2053711152002506e-07
1852,1.8229528109259263e-08,3.652415898613981e-07
1853,8.360704129017904e-09,2.3051656228290085e-07
1854,4.1045748133683446e-08,2.3744186705698667e-07
1855,6.8990182455763716e-09,2.573864605892595e-07
1856,6.212626857404757e-09,2.8888715064567805e-07
1857,1.6597130780837688e-08,3.080232318097842e-07
1858,2.7893953813418193e-08,2.50066847229391e-07
1859,1.5276519604867644e-08,2.978921429530601e-07
1860,2.5174511364411956e-08,3.176565712692536e-07
1861,1.0375120318428799e-08,3.296458714885375e-07
1862,2.801151488540654e-08,2.638504099650163e-07
1863,1.3485475847119233e-08,3.406331359201431e-07
1864,1.102787461348953e-08,3.485767194888467e-07
1865,1.0825742080555756e-08,3.4830648587558244e-07
1866,1.8002767276925624e-08,3.2794230264698854e-07
1867,7.279217228983725e-09,3.4260850156897504e-07
1868,1.1855697756857353e-08,2.815728237237636e-07
1869,1.953407657850903e-09,3.066849956212536e-07
1870,8.027668307875047e-09,3.2856098641786957e-07
1871,1.0621176826930423e-08,4.4927580233888875e-07
1872,1.5118347462816928e-08,4.7411140258191153e-07
1873,2.334541804316359e-08,4.4595734038921364e-07
1874,2.9873046258899194e-09,3.7102321925885917e-07
1875,4.005069165202713e-09,3.289878236500954e-07
1876,3.3253080289341597e-08,3.1681116752224625e-07
1877,1.6699003069220453e-08,3.853140242426889e-07
1878,4.22736201599605e-09,3.32149880932775e-07
1879,1.3440515367335593e-08,2.7491964260661916e-07
1880,3.2089231272180996e-09,4.222942777687422e-07
1881,1.3945015142624584e-09,4.1207519529962156e-07
1882,5.989846840748214e-09,3.5340096360414464e-07
1883,1.2006744043446815e-08,2.919534551892866e-07
1884,3.9610181801208455e-09,3.729958848452952e-07
1885,7.7347630522695e-09,3.480643329112354e-07
1886,8.38950331427668e-09,3.4913239232992055e-07
1887,9.140494583448344e-09,4.0805778667163395e-07
1888,1.3315291091942072e-08,3.512700459396001e-07
1889,1.50363277384713e-08,3.909445354111085e-07
1890,3.2771931834929546e-09,3.2968563346003066e-07
1891,9.561330394092238e-09,3.1616130513612006e-07
1892,5.014809900671935e-09,3.6294687788540614e-07
1893,1.1085149687062312e-08,3.935228107820876e-07
1894,1.2603078580752936e-09,3.7998282209628087e-07
1895,6.6204757231957956e-09,3.550982512479095e-07
1896,8.255840455717589e-09,3.302336324395583e-07
1897,3.4960281336537946e-09,4.3292482132528676e-07
1898,4.52668391659472e-09,4.0061152617454354e-07
1899,7.738609753005221e-09,4.134628568408516e-07
1900,1.038210584169974e-08,3.2859367138371454e-07
1901,1.2854099118442264e-08,3.6773903389075713e-07
1902,1.2275709337927765e-08,3.1474920092477987e-07
1903,1.0800440541913758e-09,4.460581806142727e-07
1904,2.1498500757388683e-09,3.504255516872945e-07
