year,aviez_VERB également_ADV
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,1.7549536934780008e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,9.86148829262845e-10
1822,1.0025615893027862e-09
1823,1.3835761869529506e-08
1824,3.3684450784221553e-09
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,0.0
1830,6.262101504006523e-09
1831,0.0
1832,0.0
1833,4.6334514003376626e-09
1834,9.334530925997342e-10
1835,4.5378527602224494e-09
1836,0.0
1837,4.87052354003481e-09
1838,0.0
1839,0.0
1840,6.369688665408546e-10
1841,2.5682194149112547e-09
1842,3.3541325272778977e-09
1843,1.7720733769266417e-09
1844,2.7442805805577564e-09
1845,0.0
1846,5.854501328173001e-09
1847,1.4022381478184798e-08
1848,1.769948809737798e-08
1849,8.379414939696517e-10
1850,2.0366988096043315e-09
1851,4.514607354622058e-09
1852,6.510545436100301e-10
1853,8.360704129017904e-09
1854,4.1565315633818045e-09
1855,1.5920811335945473e-09
1856,3.6240324075009767e-09
1857,2.4407544874094356e-09
1858,1.468102750479261e-09
1859,0.0
1860,2.746310290291376e-09
1861,5.187560159214399e-09
1862,4.517986429419807e-09
1863,4.495158911765884e-09
1864,2.3973640850272204e-09
1865,1.4120533631256649e-09
1866,4.865612912574591e-10
1867,1.455843445796745e-09
1868,4.93987406535723e-10
1869,1.4650557433881772e-09
1870,9.747882501187632e-09
1871,7.434824311758348e-09
1872,0.0
1873,4.190203295451056e-09
1874,2.3898436563030145e-09
1875,9.154443425529735e-09
1876,1.209202959984168e-09
1877,1.2369631985365004e-09
1878,1.2078177347163432e-09
1879,0.0
1880,0.0
1881,6.9725074602899895e-09
1882,2.6621540527571597e-09
1883,5.0554711528150165e-09
1884,1.9805090900604227e-09
1885,7.090199094506033e-09
1886,1.2906927748801422e-09
1887,7.1818169189441505e-09
1888,1.014498351992188e-08
1889,8.14467782106476e-09
1890,1.9663159989136147e-09
1891,3.824531802365527e-09
1892,5.641661360300532e-09
1893,4.926733243593162e-09
1894,1.8904617871129403e-09
1895,3.0093072478365457e-09
1896,0.0
1897,3.4960281336537946e-09
1898,1.6975064687230201e-09
1899,8.844125432005967e-09
1900,2.07642125715779e-09
1901,1.1177477832191585e-09
1902,0.0
1903,7.560307935250421e-09
1904,2.6873125946735854e-09
1905,4.64468330463319e-09
1906,1.0288369045596824e-09
1907,4.114274698707732e-09
1908,0.0
1909,1.1001967115120692e-09
1910,2.137660271017694e-09
1911,0.0
1912,2.6047106693738442e-09
1913,5.30298971401777e-10
1914,0.0
1915,0.0
1916,4.394984820521586e-09
1917,0.0
1918,0.0
1919,0.0
1920,3.028892692213958e-09
1921,2.2718242842501013e-09
1922,0.0
1923,2.1231896241147297e-09
1924,2.578324886925998e-09
1925,3.299453377181294e-09
1926,1.1146138456652466e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,8.912325100141061e-09
1930,1.0503603542488804e-09
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,1.1470662197865522e-09
1934,2.3963160344919743e-09
1935,1.196828414151696e-09
1936,6.0623572828433225e-09
1937,5.0364472592434595e-09
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
