year,moindres_ADJ lieux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,2.0239355080775567e-08
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,0.0
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,0.0
1824,3.2842340402794434e-08
1825,1.2327619813845558e-08
1826,2.2019960965735663e-08
1827,3.6869092223668076e-09
1828,1.0089530988466322e-08
1829,1.8860987438529264e-08
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,7.467624740797874e-09
1835,0.0
1836,8.064899859050456e-09
1837,6.957890930081589e-10
1838,5.680945491803868e-09
1839,1.2584655095793096e-08
1840,8.917564464638872e-09
1841,1.926164561183441e-09
1842,2.683306021822318e-09
1843,1.7720733769266417e-09
1844,1.3172547497219966e-08
1845,5.580227946389016e-10
1846,5.269050973311096e-09
1847,5.3932236454556914e-09
1848,8.045221711050488e-10
1849,8.379414939696517e-10
1850,0.0
1851,2.579775504329973e-09
1852,6.510545436100301e-09
1853,6.569124799682413e-09
1854,5.7152309551611324e-09
1855,5.837630823180007e-09
1856,1.501384794266869e-08
1857,1.757343248698362e-08
1858,5.3830437884982985e-09
1859,9.165912473463322e-09
1860,3.661747127736703e-09
1861,7.545541969022906e-09
1862,9.939570055905733e-09
1863,3.995696662428827e-09
1864,4.794728170054441e-09
1865,5.6482134525026595e-09
1866,1.216403244796993e-08
1867,0.0
1868,3.457911734727759e-09
1869,2.9301114867763545e-09
1870,9.17447806614291e-09
1871,0.0
1872,1.2094678591978436e-09
1873,3.591602570907071e-09
1874,2.9873046258899194e-09
1875,5.721527140956084e-10
1876,1.209202959984168e-09
1877,6.184815992682502e-10
1878,0.0
1879,3.0546627449723474e-09
1880,4.492492600149944e-09
1881,2.7890030285249168e-09
1882,5.989846840748214e-09
1883,5.687405213450347e-09
1884,4.621187876807653e-09
1885,1.933690763067375e-09
1886,9.034849313138693e-09
1887,5.223139698529167e-09
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,4.387958441043338e-09
1893,1.1085149687062312e-08
1894,6.301539290376468e-09
1895,0.0
1896,1.179405795248556e-09
1897,2.9133566670225264e-09
1898,1.13167097914868e-09
1899,5.527578395003729e-10
1900,5.19105292084987e-09
1901,5.588738916095792e-10
1902,8.347482705062248e-09
1903,0.0
1904,3.7622376325430196e-09
1905,0.0
1906,2.572092316910357e-09
1907,0.0
1908,1.964555629285769e-09
1909,1.6502950117569526e-09
1910,3.206490406526541e-09
1911,3.1922244847493175e-09
1912,5.209421227725386e-10
1913,1.590896969716482e-09
1914,0.0
1915,0.0
1916,4.394984820521586e-09
