year,coutumes_NOUN légales_ADJ
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,6.798221985349073e-09
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.1921176934492905e-08
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,8.875339574387908e-09
1822,1.1028177482330648e-08
1823,1.9765373782121287e-09
1824,5.052667617633233e-09
1825,5.283265824829186e-09
1826,3.5231937367541377e-09
1827,9.217273055917019e-10
1828,1.8344602503717056e-09
1829,7.715858174606183e-09
1830,2.0873671680021744e-09
1831,0.0
1832,2.705993873419743e-09
1833,4.6334514003376626e-09
1834,5.694063887062839e-08
1835,1.5126175867408165e-09
1836,1.5457725766054864e-08
1837,2.2265250976261086e-08
1838,5.680945491803868e-09
1839,6.9914749545318955e-09
1840,6.3696887764308485e-09
1841,4.494383976094696e-09
1842,2.683306021822318e-09
1843,6.497602011990011e-09
1844,1.920996517412732e-08
1845,0.0
1846,1.0538101946622191e-08
1847,0.0
1848,1.6090443422100975e-09
1849,5.02764896381791e-09
1850,9.504594444820214e-09
1851,3.8696632564949596e-09
1852,1.3021090872200602e-09
1853,4.180352064508952e-09
1854,2.0782657816909023e-09
1855,2.0697054736729115e-08
1856,1.0872097000458325e-08
1857,4.881508974818871e-09
1858,1.9574704079872163e-09
1859,1.0693564256314403e-08
1860,1.0985241161165504e-08
1861,1.8863854922557266e-09
1862,5.873382225018986e-09
1863,1.2486552236623538e-08
1864,4.794727948009836e-10
1865,2.4946274379544775e-08
1866,9.731225603104576e-09
1867,6.308654931785895e-09
1868,0.0
1869,6.348574999037737e-09
1870,2.2936195165357276e-09
1871,2.1242354542039266e-09
1872,1.2094678591978436e-09
1873,2.9930022904522957e-09
1874,1.1949218281515073e-09
1875,0.0
1876,1.209202959984168e-08
1877,3.0924081073635534e-09
1878,7.2469061862534545e-09
1879,6.720257683667796e-09
1880,5.134277003548959e-09
1881,1.1156012114099667e-08
1882,6.655385131892899e-09
1883,1.4534479397809719e-08
1884,3.9610181801208455e-09
1885,2.5782542767416317e-09
1886,5.162771099520569e-09
1887,3.9173548849191775e-09
1888,5.706553452000662e-09
1889,1.3783300722991498e-08
1890,2.6217545912032847e-09
1891,1.8485238229004608e-08
1892,1.2537024751679837e-09
1893,6.158416554491453e-10
1894,2.520615716150587e-09
1895,1.8055843487019274e-09
1896,6.486732040400511e-09
1897,6.409385022720926e-09
1898,3.3950129374460403e-09
1899,1.6582735185011188e-09
1900,2.07642125715779e-09
1901,4.470991132876634e-09
1902,2.455141867585553e-09
1903,4.860198465905796e-09
1904,6.449550227216605e-09
1905,4.1286072338664326e-09
1906,8.745113966313056e-09
1907,6.1714118260169926e-09
1908,8.349361202419914e-09
1909,2.2003934230241384e-09
1910,5.34415089958884e-09
1911,2.6601871816467337e-09
1912,2.0837684910901544e-09
1913,2.6514948014977335e-09
1914,0.0
1915,2.3561523843085297e-09
1916,1.0987462051303964e-09
1917,0.0
1918,0.0
1919,2.762354567309444e-09
1920,1.514446346106979e-09
1921,8.330022005509363e-09
1922,0.0
1923,1.0615948120573648e-09
1924,3.867487219366694e-09
1925,6.598906754362588e-09
1926,0.0
1927,2.2298449753321847e-09
1928,2.2852082448565625e-09
1929,5.570202965543558e-09
1930,2.100720708497761e-09
1931,3.4216069977333063e-09
1932,3.287861094491973e-09
1933,2.2941324395731044e-09
1934,4.7926320689839486e-09
1935,5.98414207075848e-09
1936,1.2124714565686645e-09
1937,2.5182236296217297e-09
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,7.607348528892999e-09
1941,5.9030051957620344e-09
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,3.2615663503321457e-09
1949,0.0
1950,2.1270722960764488e-09
1951,2.1322803522849654e-09
1952,4.2179215675730575e-09
1953,4.3095309543161875e-09
1954,1.9545072227344917e-09
1955,3.754243138587299e-09
1956,1.744228317335228e-09
1957,3.534015080575159e-09
1958,2.4816730892496253e-09
1959,1.5501495642666896e-09
