year,poids_NOUN égaux_ADJ,poids_NOUN egaux_ADJ,poids_NOUN légaux_ADJ
1800,3.7729972746092244e-07,6.288328968651058e-09,9.432493897065797e-09
1801,2.3097470602806425e-07,0.0,1.4287095950749062e-08
1802,3.3791386044867977e-07,0.0,2.2378401354217203e-09
1803,2.5939510805983446e-07,0.0,3.900678446910888e-09
1804,1.038177401824214e-07,0.0,0.0
1805,7.391481915419718e-08,2.842877711017877e-09,0.0
1806,7.809323392393708e-07,5.76333825108577e-09,3.458002950651462e-08
1807,1.4804166426074516e-07,0.0,0.0
1808,1.4956088989492855e-07,4.5321479902327155e-09,0.0
1809,4.631012586742145e-07,2.259030518203531e-09,0.0
1810,2.4805342491163174e-07,0.0,2.3401267590372754e-09
1811,7.546300935246109e-07,2.5070767684098882e-09,0.0
1812,6.561332384080742e-07,5.3344164641089264e-09,2.6672082320544632e-09
1813,5.147577439856832e-07,0.0,2.8757416448144113e-09
1814,1.7306724942045548e-07,0.0,0.0
1815,1.2676950689183286e-07,0.0,0.0
1816,2.9201808615653135e-07,0.0,0.0
1817,2.00836666408577e-07,0.0,0.0
1818,2.837240344888414e-07,3.5763532135746345e-09,0.0
1819,2.5360071731483913e-07,0.0,0.0
1820,5.6959109429044474e-08,0.0,4.746592452420373e-09
1821,1.4693617345074017e-07,1.97229765852569e-09,0.0
1822,2.2357123441452131e-07,1.0025615893027862e-09,1.0025615893027862e-09
1823,2.174191138237802e-07,0.0,1.087095569118901e-08
1824,2.2821215850399312e-07,0.0,0.0
1825,1.9724191702152893e-07,0.0,8.805443041381977e-10
1826,1.7968288545944233e-07,0.0,1.7615968683770689e-09
1827,3.1430900548912177e-07,1.8434546111834038e-09,9.217273055917019e-10
1828,2.027078522814918e-07,0.0,3.668920500743411e-09
1829,2.0575622272644978e-07,0.0,6.001223074036943e-09
1830,2.7344509589966037e-07,0.0,2.1917355041978226e-08
1831,1.559120619276655e-07,0.0,3.1182412207897414e-09
1832,2.043025375542129e-07,0.0,6.764984572527055e-09
1833,2.965408896216104e-07,5.791814139399776e-09,6.950177322551099e-09
1834,2.156276650566724e-07,9.334530925997342e-10,2.8003592777992026e-09
1835,1.6563163285354676e-07,0.0,9.075705520444899e-09
1836,1.6734666985485092e-07,0.0,3.36037508930076e-09
1837,2.3865567300163093e-07,0.0,2.0177884252348122e-08
1838,1.6600985475179186e-07,6.312161904276081e-10,6.943378316748294e-09
1839,2.4260418740595924e-07,0.0,3.425822825420255e-08
1840,1.9363854164566874e-07,0.0,1.7198159341091923e-08
1841,1.6821837789393612e-07,6.420548537278137e-10,1.219904177673925e-08
1842,2.0996868954625825e-07,0.0,1.0733224087289273e-08
1843,2.7526206736183667e-07,0.0,1.3585895075607368e-08
1844,2.3161729245657625e-07,2.195424508855126e-09,3.1284798751585186e-08
1845,1.8135740731395344e-07,0.0,6.696273757711424e-09
1846,2.1017659435074165e-07,0.0,3.454155717008689e-08
1847,1.6718993833819695e-07,0.0,4.314578916364553e-09
1848,2.0434863756690902e-07,0.0,4.02261068899179e-09
1849,3.125521743641002e-07,0.0,1.75967720394965e-08
1850,3.3401860832782404e-07,0.0,4.073397619208663e-09
1851,2.670067544841004e-07,0.0,1.096404567135778e-08
1852,1.6276364078748884e-07,0.0,2.408901877970493e-08
1853,3.3263660270677065e-07,5.971931837933653e-10,1.3138249599364826e-08
1854,2.701745529520849e-07,0.0,2.5458755104068587e-08
1855,2.1917649917213566e-07,0.0,2.5473298137512757e-08
1856,2.5161139660667686e-07,1.0354378465748937e-09,1.1389816201301528e-08
1857,2.884971763705835e-07,4.881509085841174e-10,9.274867096564776e-09
1858,2.7502460397954565e-07,4.893676019968041e-10,2.936205500958522e-09
