year,fausses_ADJ lois_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,1.9774807569206132e-08
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,0.0
1808,1.8128591960930862e-08
1809,0.0
1810,1.6380887757350138e-08
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.5881675469463516e-08
1814,0.0
1815,0.0
1816,1.8540831092650478e-08
1817,1.0898113522728181e-08
1818,2.384235475716423e-09
1819,1.3456364911235141e-08
1820,1.898636980968149e-08
1821,1.676452932031225e-08
1822,8.02049271442229e-09
1823,1.087095569118901e-08
1824,1.1789557774477544e-08
1825,7.044354433105582e-09
1826,2.642395191543301e-09
1827,1.474763688946723e-08
1828,1.834460228167245e-08
1829,9.430493719264632e-09
1830,1.7742621594152297e-08
1831,3.585977381703742e-08
1832,1.3529969367098715e-09
1833,3.1275796175123105e-08
1834,2.0535967593104942e-08
1835,1.5882484660778573e-08
1836,1.68018754465038e-08
1837,1.3219993100221927e-08
1838,2.398621568033832e-08
1839,2.23727205650448e-08
1840,2.356784811752277e-08
1841,1.926164561183441e-09
1842,5.366612043644636e-09
1843,8.269675610961258e-09
1844,1.097712254427563e-09
1845,5.022205318283568e-09
1846,7.610851504580296e-09
1847,2.1572894581822766e-08
1848,1.609044275596716e-08
1849,2.513824481908955e-09
1850,5.431196825611551e-09
1851,5.8044946626978344e-09
1852,2.408901877970493e-08
1853,1.3138249599364826e-08
1854,9.871762074453727e-09
1855,6.8990182455763716e-09
1856,1.6049286344355096e-08
1857,1.5620829074691756e-08
1858,1.4191660291373864e-08
1859,6.110608019582742e-09
1860,7.323494255473406e-09
1861,3.3011746669586728e-09
1862,1.0391368654438793e-08
1863,1.2486552236623538e-08
1864,5.274200631788517e-09
1865,8.943004559114343e-09
1866,4.379051787850585e-09
1867,7.279217228983725e-09
1868,3.457911734727759e-09
1869,1.4162205630441349e-08
1870,6.307453670473251e-09
1871,2.1242354542039266e-09
1872,1.8142017887967654e-09
1873,0.0
1874,2.3898436563030145e-09
1875,5.721527251978387e-09
1876,6.04601479992084e-09
1877,9.895705588292003e-09
1878,4.22736201599605e-09
1879,1.2829582729523281e-08
1880,9.626769603698904e-09
1881,6.972507571312292e-10
1882,6.655385131892899e-10
1883,5.687405213450347e-09
1884,9.902545450302114e-09
1885,5.80107206715752e-09
1886,6.4534639854230136e-09
1887,7.834709769838355e-09
1888,1.9021844099853524e-09
1889,1.8795409673089125e-09
1890,1.9663159989136147e-09
1891,1.2748440081367107e-09
1892,1.8805537127519756e-09
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,4.213029924926559e-09
1896,5.307326134129653e-09
1897,6.409385022720926e-09
1898,1.13167097914868e-09
1899,1.1055156790007459e-09
1900,3.633737311048435e-09
1901,2.235495566438317e-09
1902,3.928227076954727e-09
1903,9.720396931811592e-09
1904,1.6123875568041512e-09
1905,1.0321517862621477e-08
1906,4.629765903985117e-09
1907,5.65712765521198e-09
1908,7.858222517143076e-09
1909,9.351672325408344e-09
1910,3.740905363258662e-09
1911,6.384448969498635e-09
1912,2.6047106693738442e-09
1913,1.590896969716482e-09
1914,0.0
1915,1.1780761921542648e-09
1916,0.0
1917,1.0966424435210342e-09
1918,2.2972752589112133e-09
1919,6.4454939163738345e-09
1920,9.843901693784574e-09
1921,7.572747429129834e-10
1922,3.6889677978990676e-09
1923,9.554353752605493e-09
1924,0.0
1925,3.299453377181294e-09
1926,1.1146138456652466e-09
1927,7.804457524684949e-09
1928,1.0283437212876834e-08
1929,1.1140406375176326e-09
1930,2.100720708497761e-09
1931,1.1405356659111021e-09
1932,4.383814644626227e-09
1933,3.4411986593596566e-09
1934,3.5944740517379614e-09
1935,5.98414207075848e-09
1936,7.274828739411987e-09
1937,5.0364472592434595e-09
1938,2.5930428915188486e-09
1939,1.2235240376412548e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,0.0
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,8.352662561605939e-09
1947,0.0
1948,8.697510267552389e-09
1949,3.9268033269479474e-09
1950,4.2541445921528975e-09
