year,seules_ADJ lois_NOUN
1800,1.8864986373046122e-07
1801,2.1192525423430197e-07
1802,1.2755688771903806e-07
1803,2.1843798947429605e-07
1804,1.7055771195373381e-07
1805,2.6154475563089363e-07
1806,1.2679343797117326e-07
1807,2.2775640218242188e-07
1808,2.22075257738652e-07
1809,1.1069249694628525e-07
1810,1.6848912309797015e-07
1811,1.353821517113829e-07
1812,1.4669645054254943e-07
1813,2.473137783454149e-07
1814,1.195737269199526e-07
1815,2.3735567822313897e-07
1816,2.8738287483065506e-07
1817,2.9424907665998035e-07
1818,3.6001955550091225e-07
1819,2.5153050842163793e-07
1820,2.3970292772901303e-07
1821,2.1399429783741652e-07
1822,2.386096582540631e-07
1823,1.660291388816404e-07
1824,1.6926436785524857e-07
1825,2.174944455646255e-07
1826,2.30769188647173e-07
1827,1.9909309401100472e-07
1828,1.9628724601261638e-07
1829,1.7060619939002208e-07
1830,1.6594569274275273e-07
1831,1.6994414409055025e-07
1832,1.3800568865462992e-07
1833,1.9808004481092212e-07
1834,1.7735608537350345e-07
1835,1.6790055212823063e-07
1836,1.5524932450716733e-07
1837,1.5168201628057432e-07
1838,1.2371837954106013e-07
1839,1.6989284290502837e-07
1840,1.707076506818339e-07
1841,1.4061001252230199e-07
1842,3.2199670840782346e-07
1843,1.6893766030534607e-07
1844,1.5532629049630486e-07
1845,1.78009273099633e-07
1846,1.744641338063957e-07
1847,1.2188685616365547e-07
1848,1.4240042389701557e-07
1849,1.5334329361849086e-07
1850,9.708264059327121e-08
1851,1.289887734401418e-07
1852,1.5039360334867524e-07
1853,1.1645266795312637e-07
1854,1.7613302816243959e-07
1855,9.870903028286193e-08
1856,1.0509694448046503e-07
1857,1.332652033170234e-07
1858,1.2185253694951825e-07
1859,1.44108511790364e-07
1860,1.3456920555654506e-07
1861,1.8769536325180525e-07
1862,1.626475096827562e-07
1863,9.98924178929883e-08
1864,1.433623708635423e-07
1865,9.649031085245952e-08
1866,1.3331779769032437e-07
1867,8.832117259771621e-08
1868,1.4424432492887718e-07
1869,1.6555129889184172e-07
1870,1.41057597602412e-07
1871,9.559059321873065e-08
1872,1.3787933994535706e-07
1873,1.0894527946447852e-07
1874,7.647499700169647e-08
1875,1.458989373759323e-07
1876,1.3966294432066206e-07
1877,1.4843558915345056e-07
1878,1.1897004981165082e-07
1879,1.3562701894898055e-07
1880,1.4183440555370908e-07
1881,1.2620238010185858e-07
1882,9.517200538766701e-08
1883,1.0174135667284645e-07
1884,9.506443632290029e-08
1885,1.0957580798276467e-07
1886,1.6133660096784297e-07
1887,8.814048158001242e-08
1888,1.11594815166427e-07
1889,1.1841108715771043e-07
1890,1.23877910596093e-07
1891,8.605196910593804e-08
1892,1.1283322010058328e-07
1893,1.354851661972134e-07
1894,7.057724360493012e-08
1895,1.3541882992740284e-07
1896,1.0968474128958405e-07
1897,9.264474698511549e-08
1898,1.2787882042175625e-07
1899,9.120504529391837e-08
1900,9.395806443990296e-08
1901,1.0506828829193182e-07
1902,9.427745339962712e-08
1903,1.0800440719549442e-07
1904,1.289910045443321e-07
1905,1.3572795865002263e-07
1906,9.56818340114296e-08
1907,1.2805679716620944e-07
1908,1.502884998672016e-07
1909,1.0286839113859969e-07
1910,1.143648233892236e-07
1911,1.5269473863099847e-07
1912,1.4221720334717247e-07
1913,7.636305099367746e-08
1914,9.643311216223083e-08
1915,5.772573175022444e-08
1916,1.0767713121140332e-07
1917,7.128176093829097e-08
1918,9.418828739171659e-08
1919,7.274200441997891e-08
1920,1.58259638283198e-07
1921,1.4615402221807017e-07
1922,1.4386974100943917e-07
1923,1.3376094898376323e-07
1924,1.0828964747133796e-07
1925,9.898359820681435e-08
1926,1.6719206996640423e-07
1927,1.0591763555112266e-07
1928,1.0054916543822401e-07
1929,9.469345485513259e-08
1930,1.2604324695075775e-07
1931,1.2659945980431075e-07
1932,7.342889318806556e-08
1933,5.850037609889114e-08
1934,8.147474517272713e-08
1935,1.1369869667987587e-07
1936,8.244806082302603e-08
1937,1.1961562051965302e-07
1938,1.2316954212110431e-07
1939,1.3152883582279173e-07
1940,9.382397081481031e-08
1941,1.3872062254449702e-07
1942,5.76500234217292e-08
1943,8.709705667797607e-08
1944,1.124615138792251e-07
1945,9.367567344042982e-08
1946,1.0440827935553898e-07
1947,1.1563244584067434e-07
1948,9.675979839585125e-08
1949,9.915178367236877e-08
1950,1.031630034731279e-07
1951,1.0554787621686046e-07
1952,9.91211592804575e-08
1953,8.726799904934524e-08
1954,1.202021877588777e-07
1955,1.1168873470523977e-07
1956,1.0727003996180429e-07
1957,9.718541349457155e-08
1958,9.595802197281955e-08
1959,7.983270222666761e-08
1960,9.758375085766602e-08
1961,1.0700165375965298e-07
1962,1.2620493805570732e-07
1963,9.246456045275409e-08
1964,1.0586104792764672e-07
1965,1.2476259314553317e-07
1966,1.0911977454952648e-07
1967,1.2325838838478376e-07
1968,1.3429333023395884e-07
1969,1.0627713464828048e-07
1970,9.473373552282283e-08
1971,1.1047554693277561e-07
1972,1.1594131876790925e-07
1973,1.1357199980466248e-07
1974,1.0519818971488348e-07
1975,9.538172207612661e-08
1976,9.370184272938786e-08
1977,1.1165885638320105e-07
1978,1.2178212216440443e-07
1979,1.0709111109008518e-07
1980,1.0403825712046455e-07
1981,1.0247390491713304e-07
1982,1.309782931002701e-07
1983,1.288324540382746e-07
