year,toutes_DET armes_NOUN,toutes_DET larmes_NOUN
1800,4.936338200423052e-07,6.288328968651058e-09
1801,4.619494120561285e-07,4.7623651688866175e-09
1802,3.5581658153205353e-07,0.0
1803,4.1737260403351684e-07,1.950339223455444e-09
1804,3.287561867182376e-07,9.887403562558461e-09
1805,5.117179853186826e-07,1.9900143755080535e-08
1806,3.976703339958476e-07,2.881669125542885e-09
1807,4.839823759539286e-07,1.1387820464392462e-08
1808,5.665185085490521e-07,6.798221985349073e-09
1809,5.082818574919656e-07,4.518061036407062e-09
1810,2.9953622515677125e-07,2.106114038724627e-08
1811,6.493328896794992e-07,7.521229861140455e-09
1812,6.054562504687055e-07,0.0
1813,5.636453579427325e-07,0.0
1814,1.2083239653293276e-06,6.293354282149721e-09
1815,1.5724813238193747e-06,2.4275012222574333e-08
1816,8.922775123210158e-07,4.6352077731626196e-09
1817,7.208323609120271e-07,3.113746815941454e-09
1818,7.736844054306857e-07,8.344824387052086e-09
1819,5.682726396116777e-07,1.035105001712111e-09
1820,1.2958197430634755e-06,4.746592452420373e-09
1821,6.952349167477223e-07,9.86148829262845e-10
1822,8.301209959427069e-07,0.0
1823,1.07523635506368e-06,2.9648061783404955e-09
1824,7.376894473054563e-07,1.0105335235266466e-08
1825,8.567695886085858e-07,1.2327619813845558e-08
1826,7.301819096028339e-07,6.1655889282974385e-09
1827,8.516760203747253e-07,0.0
1828,7.998246474016923e-07,8.255071293206129e-09
1829,8.127370847432758e-07,6.858540846366168e-09
1830,6.387343773894827e-07,9.39315203396518e-09
1831,1.0929435347861727e-06,1.091384405071949e-08
1832,6.805574344070919e-07,8.117981842303834e-09
1833,6.672170229649055e-07,1.6217079235048004e-08
1834,7.000897994657862e-07,1.4935249481595747e-08
1835,9.733694241731428e-07,1.0588323107185715e-08
1836,8.629443186691788e-07,1.2769425516978572e-08
1837,9.135710570262745e-07,4.174734336004349e-09
1838,9.809099310587044e-07,5.680945491803868e-09
1839,7.019440886324446e-07,8.38977065598101e-09
1840,7.337881129387824e-07,3.821813088222825e-09
1841,6.850725071672059e-07,8.988767952189392e-09
1842,7.03026159953879e-07,2.2808102073668124e-08
1843,6.190442718434497e-07,2.4809026888394925e-08
1844,5.362324486668513e-07,1.2074834576658589e-08
1845,8.727476483727514e-07,3.9061593959388574e-09
