year,voies_NOUN égales_ADJ,voies_NOUN légales_ADJ
1800,0.0,1.1004575384276905e-07
1801,0.0,7.143547975374531e-08
1802,0.0,1.0294064622939914e-07
1803,0.0,1.2287136996746995e-07
1804,0.0,2.84262853256223e-07
1805,2.842877711017877e-09,1.5351540127994667e-07
1806,8.645007376628655e-09,1.2391177506287931e-07
1807,1.9928686256776018e-08,3.672572006507835e-07
1808,6.798221985349073e-09,2.8552531716741214e-07
1809,1.129515236897305e-08,2.552704359004565e-07
1810,2.3401267590372754e-09,2.4103306373035593e-07
1811,1.0028307073639553e-08,1.4541045345595194e-07
1812,8.00162425207418e-09,2.5871921138787e-07
1813,8.627225156487839e-09,1.7542024011163448e-07
1814,0.0,9.754699448194515e-08
1815,2.697223555614414e-09,2.211723284517575e-07
1816,0.0,1.4832664874120383e-07
1817,0.0,2.16405396713526e-07
1818,0.0,1.5259107044585107e-07
1819,7.24573512300708e-09,1.614763789348217e-07
1820,2.3732962262101864e-09,2.5275605253227695e-07
1821,1.97229765852569e-09,1.715899031751178e-07
1822,4.010246357211145e-09,1.9148926355683216e-07
1823,4.941343334508019e-09,2.9055098593744333e-07
1824,3.3684450784221553e-09,4.0421340941065864e-07
1825,2.641632912414593e-09,2.535967666972283e-07
1826,5.284790383086602e-09,3.4527297998465656e-07
1827,1.8434546111834038e-09,3.4011736715910956e-07
1828,1.8344602503717056e-09,3.751471240320825e-07
1829,5.143905745796928e-09,4.0293926417689363e-07
1830,6.262101504006523e-09,3.7259505347719823e-07
1831,3.1182412207897414e-09,6.314438678600709e-07
1832,2.705993873419743e-09,5.790826662632753e-07
1833,1.2741991461950875e-08,6.289910174928082e-07
1834,4.667265685043276e-09,5.414028123595926e-07
1835,1.5126175867408165e-09,3.524398834997555e-07
1836,2.688300027031687e-09,2.849598104148754e-07
1837,1.0436836284100082e-08,2.46309326712435e-07
1838,1.8936485712828244e-09,3.086647097916284e-07
1839,9.788065469251706e-09,4.257808257079887e-07
1840,3.1848443882154243e-09,5.618065301860042e-07
1841,8.988767952189392e-09,4.99518648666708e-07
1842,4.024959032733477e-09,3.8773771393607603e-07
1843,1.3585895075607368e-08,3.780423014632106e-07
1844,5.488561272137815e-10,4.248146296959021e-07
1845,1.2834524554250493e-08,4.960822366228967e-07
1846,1.7563503984519002e-09,4.144986860410427e-07
1847,1.6179670936367074e-09,4.880867550127732e-07
1848,1.6090443422100975e-09,4.6984095547486504e-07
1849,8.379414939696517e-10,6.686773303954396e-07
1850,2.0366988096043315e-09,5.30899512796168e-07
1851,1.9348316282474798e-09,5.843191388521518e-07
1852,1.3021090872200602e-09,4.2123230059587513e-07
1853,1.1943863675867306e-09,3.0874886647325184e-07
1854,5.195664454227256e-10,3.647356550118275e-07
1855,5.306937111981824e-10,3.3168356594615034e-07
1856,1.0354378465748937e-09,3.1114907983464946e-07
1857,0.0,3.797813974415476e-07
1858,1.468102750479261e-09,3.5723834912460006e-07
1859,1.5276520048956854e-09,3.7223787785478635e-07
1860,1.373155145145688e-09,3.519854487876728e-07
1861,2.357981809808507e-09,4.282095176222356e-07
1862,0.0,3.167108388879569e-07
1863,0.0,3.401336812203226e-07
1864,0.0,3.480972452507558e-07
1865,4.706844358715045e-10,2.890002406275016e-07
1866,4.865612912574591e-10,3.221035740352818e-07
1867,4.85281148598915e-10,3.4843185403587995e-07
1868,4.93987406535723e-10,3.6061081232219294e-07
1869,0.0,4.463536527055112e-07
1870,1.1468097582678638e-09,2.9071628659949056e-07
1871,0.0,3.1863532967690844e-07
1872,6.047339295989218e-10,2.7333973662280187e-07
1873,4.788803575905831e-09,2.9870162165934744e-07
1874,0.0,2.766244051599642e-07
1875,5.149374260327022e-09,3.146840015233465e-07
1876,6.04601479992084e-10,3.143927642668132e-07
1877,3.0924081073635534e-09,2.2698274904087157e-07
1878,3.6234530931267273e-09,3.19467801546125e-07
1879,6.10932526790009e-10,2.7186496254216763e-07
1880,1.9253538763308597e-09,3.0035519671400834e-07
1881,0.0,2.6146904019697104e-07
1882,6.655385131892899e-10,2.881781711039366e-07
1883,2.5277355764075082e-09,3.3050142178581154e-07
1884,1.3203393933736152e-09,3.1160010394160054e-07
1885,0.0,2.4880154114725883e-07
1886,0.0,2.755629111561575e-07
1887,0.0,3.8520656175933254e-07
1888,1.9021844099853524e-09,3.0815388640803576e-07
1889,4.385595886446936e-09,2.6250921791870496e-07
1890,1.9663159989136147e-09,3.4541616855676693e-07
1891,2.8683990294098294e-08,2.811030981320073e-07
1892,8.149066310636499e-09,2.5450160023865465e-07
1893,6.158416554491453e-10,3.140792443900864e-07
1894,1.2603078580752936e-09,3.2200864552578423e-07
1895,4.213029924926559e-09,3.0514374316226167e-07
1896,2.358811590497112e-09,3.013381899563683e-07
1897,5.826713556089658e-10,2.66280807181829e-07
