year,quelques_DET oies_NOUN,quelques_DET lois_NOUN
1800,5.0306631749208464e-08,5.785262757740384e-07
1801,1.6668277424969347e-08,5.143354222525431e-07
1802,2.9091921760482364e-08,2.9091921760482364e-07
1803,4.4857802805609026e-08,5.694990612425954e-07
1804,2.4718509905596875e-08,5.660538526797154e-07
1805,5.4014676953428875e-08,5.657326909158655e-07
1806,5.76333825108577e-09,2.190068464358319e-07
1807,5.693910232196231e-09,5.352275600500889e-07
1808,3.852325747288887e-08,6.027756604964907e-07
1809,3.162642769893864e-08,5.828298839105628e-07
1810,1.2870697219113936e-07,4.18882684982691e-07
1811,0.0,3.735544353844489e-07
1812,0.0,5.681153592007604e-07
1813,0.0,2.8182268829723967e-07
1814,0.0,5.160550387017793e-07
1815,4.315557688983063e-08,5.583252784546744e-07
1816,1.8540831092650478e-08,5.84036158102208e-07
1817,1.2454987263765815e-08,8.251429122196896e-07
1818,3.695565098382758e-08,6.878519265285377e-07
1819,1.035105001712111e-09,7.815042568637409e-07
1820,3.5599443393152796e-09,5.778976559511761e-07
1821,9.861488514673056e-09,7.760991422856023e-07
1822,1.804610860745015e-08,6.476548151113093e-07
1823,8.894418535021487e-09,4.77333776061073e-07
1824,1.431589158329416e-08,7.343210128851752e-07
1825,3.522177216552791e-09,5.300876910752095e-07
1826,1.8496766784892316e-08,6.156780951727114e-07
1827,1.013900030599757e-08,7.788595830504619e-07
1828,1.0089530988466322e-08,5.650137389068277e-07
1829,9.430493552731178e-09,6.301284187770761e-07
1830,9.39315203396518e-09,6.564769616801414e-07
1831,3.1182412207897414e-09,5.69079022127994e-07
1832,1.0823975493678972e-08,6.521444966267609e-07
1833,2.0850531967653296e-08,5.154714681765427e-07
1834,1.8669061851994684e-08,6.244800925259142e-07
1835,7.563087933704082e-09,5.074831861406892e-07
1836,1.949017514046858e-08,5.040562278679772e-07
1837,1.7394727436226276e-08,6.561291225892774e-07
1838,3.787297142565649e-09,4.2733334915112664e-07
1839,4.894032734625853e-09,4.635348105352932e-07
1840,4.458782232319436e-09,4.86007232680663e-07
1841,4.494383976094696e-09,4.077048334494293e-07
1842,6.708265054555795e-10,4.782992988339174e-07
1843,1.594865972620596e-08,5.428451377298416e-07
1844,4.9397050894128824e-09,4.352429137099989e-07
1845,1.562463802784464e-08,5.384920243045599e-07
1846,8.196302303531411e-09,4.197677423434243e-07
1847,1.0786447290911383e-08,4.5788467595286875e-07
1848,1.6090443422100975e-09,3.4674905080578355e-07
1849,4.189707469848258e-09,4.030498477192168e-07
1850,1.8330290174617403e-08,3.4216540711895505e-07
1851,9.029214709244116e-09,4.5210565957631843e-07
1852,1.9531636308300904e-09,4.270917770554661e-07
1853,2.388772735173461e-09,3.7742610103919105e-07
1854,8.832629572186335e-09,3.9175310284633724e-07
1855,2.1227748447927297e-09,3.422974366174003e-07
1856,3.1063135952358323e-09,4.2711810976925335e-07
1857,0.0,3.53421267362819e-07
1858,8.80861672492017e-09,3.2298261487540003e-07
1859,3.055304009791371e-09,3.64090386284488e-07
1860,1.327383358784573e-08,2.3114778358035437e-07
1861,1.8863854922557266e-09,3.6218601096038583e-07
1862,4.066187636597718e-09,3.537583133095268e-07
1863,6.493007298491449e-09,3.5811432219645667e-07
1864,1.102787461348953e-08,3.711119429539167e-07
1865,0.0,3.054741934960248e-07
1866,8.758103242634263e-09,3.5616285742889886e-07
1867,5.338092634588065e-09,3.251383571267752e-07
1868,2.3711396401893126e-08,3.961778922700887e-07
1869,9.767038400276817e-09,4.326797871101462e-07
1870,3.4404292748035914e-09,4.185855750904466e-07
1871,8.496941816815706e-09,3.8979720162757303e-07
1872,5.442605477412599e-09,2.7878233765932237e-07
1873,5.986004469882289e-10,3.3820926503835835e-07
1874,6.572069888299836e-09,2.449589793229734e-07
1875,5.721527251978387e-09,3.2898780055745647e-07
1876,3.02300739996042e-09,3.802943275843518e-07
1877,6.80329748092845e-09,2.678025454727617e-07
1878,9.058632954861423e-09,3.321498773800613e-07
1879,7.94212295929242e-09,3.360128921769956e-07
1880,6.417846032391594e-09,2.669824183954006e-07
1881,1.3945015142624584e-09,2.5937728054259424e-07
1882,5.989846396659004e-09,2.821883366976863e-07
1883,6.319338829996468e-09,2.5214161780695576e-07
1884,7.2618666635548834e-09,2.403017749230685e-07
1885,6.445635636342928e-09,2.720058205341047e-07
1886,1.0325542088018835e-08,2.981500184517927e-07
1887,1.0446279397058333e-08,3.120825908808911e-07
1888,1.141310668195672e-08,3.1829884683531873e-07
1889,3.7590820456401275e-09,3.7089609605800433e-07
1890,7.209825181320184e-09,3.454161756621943e-07
1891,1.0836173736095134e-08,2.7409145886281294e-07
1892,8.149066088591894e-09,2.864710157979289e-07
1893,3.0792082772457263e-09,2.672752845711557e-07
1894,6.301539290376468e-09,2.6277418996301094e-07
1895,3.0093072478365457e-09,3.0454189570150447e-07
1896,6.486731818355906e-09,2.818779876179178e-07
1897,8.157398867503218e-09,2.592887451413617e-07
1898,7.355861253444118e-09,3.2988208076289993e-07
1899,6.080336234504102e-09,3.145192195574964e-07
1900,4.6719478286050276e-09,2.6733923697008777e-07
1901,7.265360535413379e-09,3.302944797667351e-07
1902,3.928227076954727e-09,2.5975401030109424e-07
1903,3.2401321625741275e-09,2.926919400181305e-07
1904,1.0211787859759625e-08,3.085034805394571e-07
1905,5.160758931310738e-09,3.4680301297385085e-07
1906,7.716276506641861e-09,2.7264178470431943e-07
1907,1.131425531042396e-08,3.08570598406277e-07
1908,5.893666887857307e-09,2.9124538514224696e-07
1909,8.251475669407426e-09,2.6184682155871997e-07
1910,1.0688301688155377e-08,2.5064066733193613e-07
1911,3.7242618988742038e-09,2.8889631131789884e-07
1912,6.772247651554153e-09,2.875600610963147e-07
1913,1.1136278676993072e-08,2.0681659229637717e-07
1914,2.678697486047099e-09,2.698787717747564e-07
1915,2.3561523843085297e-09,2.2030024915409285e-07
1916,0.0,2.0546553969325032e-07
1917,2.1932848870420685e-09,2.445512627957669e-07
1918,3.44591288836682e-09,2.61889383068592e-07
1919,7.366278753639932e-09,2.0349344254100288e-07
1920,5.300562211374427e-09,1.8930578704612344e-07
1921,1.5145494858259667e-09,2.998808064091918e-07
1922,1.180469710870824e-08,2.5306318818252294e-07
1923,3.1847844361720945e-09,2.547827513410539e-07
1924,2.578324886925998e-09,2.604108200188193e-07
1925,3.299453377181294e-09,2.133646503921227e-07
1926,7.802297030679028e-09,2.5078811383139055e-07
1927,1.3379070296082318e-08,1.8507713761550804e-07
1928,0.0,2.753675953925949e-07
1929,4.4561625500705304e-09,2.584574261277339e-07
1930,3.1510810627466412e-09,2.667915328657955e-07
1931,4.5621426636444085e-09,2.4293409772724317e-07
1932,8.767629400274757e-09,1.7754448755624708e-07
