year,cents_ADJ oies_NOUN,cents_ADJ lois_NOUN
1800,0.0,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,1.5664880947952042e-08
1803,0.0,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,1.152667650217154e-08
1807,0.0,0.0
1808,0.0,9.064295980465431e-09
1809,0.0,1.129515236897305e-08
1810,0.0,4.680253518074551e-09
1811,0.0,1.2535384286138651e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,2.5173417128598885e-08
1815,0.0,5.394447111228828e-09
1816,0.0,1.1588019432906549e-08
1817,0.0,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,3.001804671498576e-08
1820,0.0,7.119888678630559e-09
1821,0.0,5.9168927535324656e-09
1822,0.0,8.02049271442229e-09
1823,0.0,1.9765373338032077e-08
1824,0.0,1.431589158329416e-08
1825,0.0,7.924898959288385e-09
1826,0.0,1.7615968683770689e-09
1827,0.0,1.6591091167583727e-08
1828,0.0,1.559291185060374e-08
1829,0.0,2.3147574523818548e-08
1830,0.0,2.0873671680021744e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,1.3529969367098715e-09
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,0.0,5.600718555598405e-09
1835,0.0,1.5126175867408165e-08
1836,0.0,1.4113575197427508e-08
1837,0.0,2.922314124020886e-08
1838,0.0,1.199310784016916e-08
1839,0.0,1.6080392128969834e-08
1840,6.369688665408546e-10,5.732719632334238e-09
1841,0.0,2.1829865914924085e-08
1842,0.0,9.391571076378114e-09
1843,0.0,8.269675610961258e-09
1844,0.0,6.037417232818143e-09
1845,0.0,5.580227835366713e-09
1846,0.0,1.1123552745573306e-08
1847,0.0,2.6966118227278457e-09
1848,0.0,0.0
1849,0.0,1.6758829879393033e-09
1850,0.0,8.146795238417326e-09
1851,0.0,1.3543821175687754e-08
1852,0.0,2.6042181744401205e-09
1853,0.0,7.166318205520383e-09
1854,0.0,5.7152309551611324e-09
1855,0.0,5.837630823180007e-09
1856,0.0,1.0354378465748937e-09
1857,0.0,4.881508974818871e-09
1858,0.0,8.31924928945682e-09
1859,8.147477359443656e-09,5.092173349652285e-10
1860,5.492620580582752e-09,1.373155145145688e-09
1861,0.0,1.1789909493131745e-08
1862,0.0,4.066187830886747e-09
1863,0.0,4.994620717013731e-09
1864,0.0,3.835782358407869e-09
1865,0.0,8.943004559114343e-09
1866,0.0,1.6056523222118813e-08
1867,0.0,7.279217228983725e-09
1868,0.0,6.915823469455518e-09
1869,0.0,1.0743741896135361e-08
1870,0.0,5.734048791339319e-09
1871,0.0,5.3105884134652115e-09
1872,0.0,4.23313739617015e-09
1873,0.0,3.591602570907071e-09
1874,0.0,3.5847653734322193e-09
1875,0.0,2.2886108563824337e-09
1876,0.0,6.04601479992084e-10
1877,0.0,8.040260901509555e-09
1878,6.039088673581716e-10,5.435179861734696e-09
1879,1.832797580370027e-09,7.331190321480108e-09
1880,0.0,5.134277003548959e-09
1881,0.0,9.064259565150223e-09
1882,0.0,1.3310770263785798e-09
1883,6.319338941018771e-10,1.2638677882037541e-09
1884,3.300848483434038e-09,5.941527270181268e-09
1885,0.0,1.933690763067375e-09
1886,0.0,3.2267319927115068e-09
1887,0.0,4.570247291724172e-09
1888,0.0,6.340614699951175e-10
1889,0.0,1.8795409673089125e-09
1890,0.0,5.898947996740844e-09
1891,0.0,7.649063604731055e-09
1892,0.0,4.387958441043338e-09
1893,6.158416554491453e-10,5.542574843531156e-09
1894,0.0,8.822155450616265e-09
1895,0.0,4.814891596538473e-09
1896,0.0,4.1279202278587945e-09
1897,0.0,2.330685422435863e-09
1898,0.0,2.8291773368493978e-09
1899,1.1055156790007459e-09,3.3165470370022376e-09
1900,0.0,3.114631885736685e-09
1901,0.0,2.235495566438317e-09
1902,0.0,1.9641135384773634e-09
1903,0.0,4.860198465905796e-09
1904,0.0,2.6873125946735854e-09
1905,0.0,2.580379465655369e-09
1906,0.0,4.629765903985117e-09
1907,0.0,3.0857059130084963e-09
1908,0.0,8.349361202419914e-09
1909,0.0,6.0510818578052294e-09
1910,0.0,5.34415089958884e-09
1911,1.5961122423746588e-09,2.128149656499545e-09
1912,0.0,2.0837684910901544e-09
1913,0.0,4.242391771214216e-09
1914,0.0,3.3483718020477227e-09
1915,0.0,1.1780761921542648e-09
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,1.1486376294556067e-09
1919,0.0,0.0
1920,0.0,1.514446346106979e-09
1921,0.0,2.2718242842501013e-09
1922,0.0,0.0
1923,0.0,1.0615948120573648e-08
1924,0.0,6.445812328337297e-09
1925,0.0,1.0998177923937646e-09
1926,0.0,0.0
1927,0.0,6.689535148041159e-09
1928,0.0,1.1426041224282812e-09
1929,0.0,2.2280812750352652e-09
1930,0.0,5.2518016602221e-09
1931,0.0,0.0
1932,0.0,1.0959536611565568e-09
1933,0.0,1.1470662197865522e-09
1934,0.0,1.1981580172459871e-09
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,1.2591118148108649e-09
1938,0.0,2.5930428915188486e-09
1939,0.0,3.058810094103137e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,5.9030051957620344e-09
1942,0.0,6.068423541449874e-09
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,4.357008087652048e-09
1946,0.0,4.1763312808029696e-09
1947,0.0,1.549713246618012e-08
1948,0.0,1.0871888278529696e-08
1949,0.0,4.908504269707237e-09
1950,0.0,0.0
1951,0.0,2.1322803522849654e-09
1952,0.0,5.272402070488624e-09
1953,0.0,3.232148326759443e-09
1954,0.0,3.9090144454689835e-09
1955,0.0,0.0
1956,0.0,8.72114158667614e-10
1957,0.0,8.835037701437898e-10
1958,0.0,1.6544486891589827e-09
1959,0.0,4.650448914844674e-09
1960,0.0,2.076250060767393e-09
1961,0.0,6.948159270159238e-10
1962,6.341956404476434e-10,2.5367825617905737e-09
1963,0.0,1.2932106496776896e-09
1964,0.0,0.0
1965,0.0,4.377634699181954e-09
1966,1.6617224263271169e-09,2.769537488234164e-09
1967,4.930335584241163e-10,2.465167847631733e-09
1968,0.0,4.042274071025531e-09
1969,0.0,1.8167031212712459e-09
1970,0.0,2.7592350626548523e-09
1971,0.0,2.0553589941130213e-09
1972,0.0,2.0520587451500205e-09
1973,0.0,6.064523994098181e-09
1974,0.0,1.1251143350321513e-09
1975,0.0,5.711480177694739e-10
1976,0.0,1.142705374768127e-09
1977,0.0,1.1753563677885381e-09
1978,0.0,3.5643548113029055e-09
1979,0.0,3.5111840102075575e-09
1980,0.0,1.1370301367108482e-09
1981,0.0,5.060439622894819e-09
1982,0.0,3.7245013739806154e-09
1983,0.0,2.5261264191556165e-09
1984,5.799008495621649e-10,4.059305780401701e-09
1985,0.0,3.609334831011779e-09
1986,0.0,0.0
1987,0.0,4.277571630240118e-09
1988,0.0,1.1993107618124554e-09
1989,0.0,1.0976244357863152e-09
1990,0.0,4.358920779878872e-09
1991,0.0,2.344586080837985e-09
1992,0.0,2.7549720282848966e-09
1993,0.0,0.0
1994,0.0,6.857404422078162e-09
1995,0.0,2.1689803286761844e-09
1996,0.0,3.2028553142993132e-09
1997,0.0,1.917957792585412e-09
1998,0.0,1.9072516899143466e-09
1999,0.0,1.3710603763428253e-09
2000,0.0,3.97622823555821e-09
2001,0.0,3.5049694258049158e-09
2002,0.0,3.504977197366088e-09
2003,0.0,5.416999737661854e-09
2004,4.404791253964646e-10,8.80958239690699e-09
2005,0.0,3.1526248278623825e-09
2006,0.0,7.000412693969338e-09
2007,0.0,2.7961355453243186e-09
2008,0.0,7.663391698997657e-09
2009,0.0,2.384096253749135e-09
2010,0.0,4.723792912386671e-09
2011,3.82397197240536e-10,1.529588788962144e-09
2012,0.0,2.7234021704458655e-09
2013,2.789125042035323e-10,6.136075203500013e-09
2014,0.0,4.980523993225461e-09
2015,0.0,4.876465897751814e-09
2016,0.0,3.72841224560716e-09
2017,0.0,3.018733707449428e-09
2018,5.162933414126769e-10,4.130346731301415e-09
2019,0.0,4.08158040698936e-09
