year,limites_NOUN égales_ADJ,limites_NOUN légales_ADJ
1800,2.2009151834367913e-08,0.0
1801,0.0,7.143547975374531e-09
1802,0.0,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,4.943701892301533e-09
1805,0.0,2.2743021688143017e-08
1806,0.0,8.645007376628655e-09
1807,5.693910232196231e-09,1.9928686256776018e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,7.020380277111826e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,1.600324850414836e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,2.2026739543434815e-08
1815,0.0,8.091670444798638e-09
1816,1.622322720606917e-08,3.9399267848239106e-08
1817,0.0,2.0239355080775567e-08
1818,0.0,2.98029441125891e-08
1819,0.0,1.2421260464634543e-08
1820,0.0,4.865257352548724e-08
1821,0.0,7.198886464721e-08
1822,0.0,2.7069162911175226e-08
1823,0.0,7.214361374963119e-08
1824,0.0,7.326367779114662e-08
1825,8.805443485471187e-09,2.201360693732113e-08
1826,0.0,3.787433300317389e-08
1827,0.0,3.502563927781921e-08
1828,0.0,1.2566052021156793e-07
1829,0.0,6.258418494553553e-08
1830,5.218417697960831e-09,8.975678866818271e-08
1831,0.0,7.951515357262906e-08
1832,0.0,7.306183391619925e-08
1833,0.0,1.3900354645102198e-07
1834,0.0,1.0267984151823839e-07
1835,0.0,9.983276072489389e-08
1836,0.0,1.0820407680967037e-07
1837,2.0873671680021744e-09,8.836521203647862e-08
1838,0.0,1.0036337272367746e-07
1839,6.9914751765765e-10,1.6639711475363583e-07
1840,6.369688665408546e-10,1.1911317709945024e-07
1841,2.5682194149112547e-09,1.0465494248990126e-07
1842,0.0,8.184083100104544e-08
1843,5.906911071384968e-10,1.033709438047481e-07
1844,5.488561161115513e-09,1.5752170151595024e-07
1845,2.2320911785556063e-09,1.0490828827869336e-07
1846,1.1709002656346001e-09,1.2470087540350505e-07
1847,1.0786447290911383e-09,1.8714486316184775e-07
1848,3.218088684420195e-09,2.099802836053044e-07
1849,0.0,1.9188860900243299e-07
1850,6.788996032014438e-10,2.49156158815822e-07
1851,1.2898877521649865e-09,1.6897529064863193e-07
1852,5.859490670445666e-09,1.601594132871753e-07
1853,2.388772735173461e-09,1.421319808514454e-07
1854,5.195664454227256e-10,1.293720401918108e-07
1855,0.0,1.2789718084604829e-07
1856,6.212626857404757e-09,1.0043746812016252e-07
1857,0.0,1.2350217559742305e-07
1858,2.300027723833864e-08,1.0815023898658183e-07
1859,5.092173349652285e-10,1.0897250746211284e-07
1860,1.1442959468865865e-08,1.0985241194472195e-07
1861,0.0,1.028080092169148e-07
1862,5.873382225018986e-09,1.2650362180011143e-07
1863,3.995696662428827e-09,1.0438757414021893e-07
1864,0.0,1.1842978153708827e-07
1865,0.0,1.3179164159993206e-07
1866,1.9462451650298362e-09,1.0607035960674693e-07
1867,9.7056229719783e-09,1.324817535675038e-07
1868,2.9639244392143382e-09,1.2596679255238996e-07
1869,3.4184632902167778e-09,1.3918030106196966e-07
1870,4.587239033071455e-09,1.0435968533784035e-07
1871,1.0621177271019633e-09,1.1577083114389097e-07
1872,7.256807155187062e-09,9.312902449210014e-08
1873,5.387403856360606e-09,1.029592803791779e-07
1874,5.974609251779839e-09,1.2606425059402682e-07
1875,1.716458086775674e-08,9.726596061909731e-08
1876,1.209202959984168e-09,1.348261235989412e-07
1877,0.0,8.535045736834945e-08
1878,6.039088784604019e-09,1.1897004981165082e-07
1879,3.0546627449723474e-09,6.1704184872724e-08
1880,6.417846254436199e-10,1.0011839890466945e-07
1881,2.7890030285249168e-09,1.1922987624979342e-07
1882,6.655385131892899e-10,1.0315847021047375e-07
1883,2.5277355764075082e-09,1.0995649657452589e-07
1884,0.0,1.0232630298645518e-07
1885,0.0,7.154655362606732e-08
1886,4.5174246565693466e-09,9.228453634602118e-08
1887,8.48760173255414e-09,1.188264262541594e-07
1888,2.53624587998047e-09,1.1856949710953302e-07
1889,1.8795409673089125e-09,1.353269564741133e-07
1890,2.6217545912032847e-09,1.5271720299470104e-07
1891,2.5496880162734215e-09,1.4405737758238502e-07
1892,3.761107425503951e-09,1.3916097429955698e-07
