year,pétales_NOUN égaux_ADJ
1800,4.0874140072588716e-08
1801,3.333655573811711e-08
1802,1.7902721083373763e-07
1803,3.3155765777337365e-07
1804,1.2853624298259092e-07
1805,3.0987367338752847e-07
1806,7.549972949050243e-07
1807,7.971474236256881e-08
1808,7.931258672044805e-08
1809,6.09938268780752e-08
1810,2.8081521108447305e-08
1811,1.5794584129480427e-07
1812,1.600324850414836e-08
1813,5.463909147351842e-08
1814,2.8320094713762956e-08
1815,1.591361886710274e-07
1816,1.4369143741532753e-07
1817,3.4406901439076876e-07
1818,9.775365583664097e-08
1819,1.8424869363542484e-07
1820,9.493184904840746e-08
1821,1.2721319897490702e-07
1822,4.511527151862538e-08
1823,2.6386774720776884e-07
1824,8.168479315173727e-08
1825,1.0038205289220059e-07
1826,3.170874274260882e-08
1827,1.1245072784049626e-07
1828,1.0639869429951432e-07
1829,4.3723197173939354e-08
1830,2.1917355041978226e-08
1831,1.1381580122815649e-07
1832,1.7588959622116818e-08
1833,4.6334513115198206e-08
1834,5.0406466556296436e-08
1835,8.168134968400409e-08
1836,2.4194699910218276e-08
1837,5.357575894038291e-08
1838,7.700837656443582e-08
1839,1.5381244722334486e-08
1840,1.7198159341091923e-08
1841,6.356342918678592e-08
1842,2.2808101629578914e-08
1843,1.1813821976236483e-08
1844,3.293136879856107e-08
1845,2.5111025481194815e-08
1846,2.2832555623963913e-08
1847,1.6179670936367074e-08
1848,1.2872354626658478e-08
1849,4.608678083606321e-08
1850,3.055048214406497e-08
1851,2.579775504329973e-09
1852,2.2135854482741024e-08
1853,4.359510263896027e-08
1854,2.286092426473374e-08
1855,4.351688431825096e-08
1856,5.177189343896771e-09
1857,2.391939490919981e-08
1858,2.055343872875426e-08
1859,1.018434669930457e-09
1860,1.373155145145688e-09
1861,1.4619487842537637e-08
1862,1.1294966073549517e-08
1863,7.491931353076353e-09
1864,2.685047650885508e-08
1865,2.9653119959505148e-08
1866,9.244664589402873e-09
1867,1.5043715606566366e-08
1868,1.5807597231187742e-08
1869,2.6859356072606033e-08
1870,5.045962980787522e-08
1871,3.080141297573391e-08
1872,1.6327815988148586e-08
1873,8.979006871356887e-09
1874,2.1508592240593316e-08
1875,4.577221712764867e-09
1876,3.2043877107312824e-08
1877,1.1751150497119056e-08
1878,1.147426842429411e-08
1879,2.443730107160036e-09
1880,1.4761046607247863e-08
1881,1.3945014698535374e-08
1882,5.324308105514319e-09
1883,4.423537369735442e-09
1884,1.1883054540362536e-08
1885,5.1565086089944145e-09
1886,1.7424351739236954e-08
1887,1.0446279508080636e-08
