year,moins_ADV égale_ADJ,moins_ADV egale_ADJ,moins_ADV légale_ADJ
1829,6.344150165205065e-07,0.0,1.800366966620004e-08
1830,6.690011673526897e-07,2.0873671680021744e-09,1.3567886369969528e-08
1831,7.265501835718169e-07,1.5591206103948707e-09,3.4300654760954785e-08
1832,6.764984732399171e-07,0.0,9.470978667991403e-09
1833,6.938593628547096e-07,0.0,1.1583628278799551e-08
1834,7.206257919278869e-07,1.8669061851994684e-09,5.600718555598405e-09
1835,6.035344313204405e-07,0.0,1.4369867074037757e-08
1836,5.981467552373942e-07,6.720750067579218e-10,2.688300027031687e-09
1837,8.405132234656776e-07,2.7831563720326358e-09,1.461157062010443e-08
1838,6.72245221267076e-07,0.0,6.943378316748294e-09
1839,7.208211059150926e-07,0.0,2.6567605004856887e-08
1840,6.892003057146212e-07,1.9109065441114126e-09,1.0191501864653674e-08
1841,7.004818485256692e-07,1.926164561183441e-09,1.4767261191650505e-08
1842,6.46005901216995e-07,6.708265054555795e-10,3.6224630406422875e-08
1843,7.519497557950672e-07,3.5441467538532834e-09,1.2404512972352677e-08
1844,8.424941597695579e-07,1.097712254427563e-09,2.9638231424655714e-08
1845,8.710736096873006e-07,3.348136878855712e-09,2.399498022498392e-08
1846,7.886013122515578e-07,1.1709002656346001e-09,1.9319854160926297e-08
1847,7.847140182093426e-07,5.393223645455691e-10,2.2651539310913904e-08
1848,7.948679012770299e-07,8.045221711050488e-10,5.390298696283935e-08
1849,6.904637643856404e-07,3.3517659758786067e-09,2.513824526317876e-08
1850,8.907162509785849e-07,2.7155984128057753e-09,1.8330290174617403e-08
1851,8.087596370387473e-07,0.0,2.8377531435808123e-08
1852,9.935092748492025e-07,1.9531636308300904e-09,2.3437962681782665e-08
1853,9.79994069894019e-07,8.360704129017904e-09,8.360704129017904e-09
1854,8.837825475893624e-07,0.0,1.454786069388092e-08
1855,8.453951068077004e-07,5.306937111981824e-10,1.0613874223963649e-08
1856,8.128187118927599e-07,2.0708756931497874e-09,7.765783571755946e-09
1857,8.850175845509511e-07,4.881509085841174e-10,9.763017949637742e-09
1858,7.350301416408911e-07,9.787352039936081e-10,1.2234189661342043e-08
1859,6.996646106927074e-07,2.5460866748261424e-09,1.4258085379026397e-08
1860,6.61403078083822e-07,0.0,2.4716793944890014e-08
1861,7.979410838743206e-07,4.715963730639317e-10,8.960331143725853e-09
1862,7.594734938720649e-07,0.0,2.1234535907410645e-08
1863,8.216151172746322e-07,9.989241656072068e-10,3.995696662428827e-09
1864,9.023677876029979e-07,1.9178911792039344e-09,1.2945765348604255e-08
1865,8.128720310196513e-07,0.0,9.413688495385486e-09
1866,7.590356290165801e-07,1.9462451650298362e-09,1.8489329178805747e-08
1867,8.802999786894361e-07,1.455843445796745e-09,2.426405742994575e-09
1868,9.356121495329717e-07,1.4819622196071691e-09,6.421836395986702e-09
1869,8.458255251753144e-07,4.883519144627257e-10,1.660396442559886e-08
1870,8.33157287161157e-07,1.1468097582678638e-09,1.4335121534259088e-08
1871,7.148052532102156e-07,0.0,1.1683295220166201e-08
1872,8.357422984772711e-07,6.047339295989218e-10,3.628403577593531e-09
1873,9.206474942402565e-07,0.0,1.616221290134945e-08
1874,8.687081844982458e-07,1.7923826867161097e-09,1.1351757756017378e-08
1875,7.861378321649681e-07,5.721527140956084e-10,2.5174719198162165e-08
1876,8.150028065756487e-07,6.04601479992084e-10,7.255217759905008e-09
1877,8.454643420918728e-07,0.0,4.329371083855449e-09
1878,7.210671810753411e-07,1.2078177347163432e-09,1.69094480639842e-08
1879,8.467524708066776e-07,0.0,4.887460214320072e-09
1880,8.189171580852417e-07,7.059631101924424e-09,1.4761046607247863e-08
1881,8.52040443533042e-07,1.3945015142624584e-09,6.9725074602899895e-09
1882,9.304228569817496e-07,1.3310770263785798e-09,1.5972924316542958e-08
1883,8.771242505645205e-07,0.0,1.2006744043446815e-08
1884,9.281985740017262e-07,6.601696966868076e-10,1.4523733327109767e-08
