year,mois_NOUN égaux_ADJ,mois_NOUN légaux_ADJ
1800,2.2009151834367913e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,4.290746247193056e-08,0.0
1804,1.730295728918918e-08,0.0
1805,6.538618890772341e-08,0.0
1806,3.458002950651462e-08,0.0
1807,8.825561081948763e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,3.978215445954447e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,4.601186631703058e-08,0.0
1814,4.090680150170556e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,5.5622493277951435e-08,0.0
1817,1.71256075987003e-08,0.0
1818,4.053200441944682e-08,0.0
1819,3.8298885840504227e-08,0.0
1820,7.831877724129299e-08,0.0
1821,1.676452932031225e-08,0.0
1822,1.4035862250239006e-08,0.0
1823,1.581229902569703e-08,0.0
1824,5.3053010873327366e-08,0.0
1825,4.0505039322624725e-08,0.0
1826,4.844391554570393e-08,0.0
1827,2.6730091917670507e-08,0.0
1828,3.0268594741755805e-08,0.0
1829,2.914879893012312e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,3.274153215215847e-08,0.0
1832,0.0,0.0
1833,1.6217079235048004e-08,0.0
1834,4.480574844478724e-08,0.0
1835,3.1764969321557146e-08,7.563087933704082e-10
1836,1.2769425516978572e-08,0.0
1837,2.0873672568200163e-08,0.0
1838,1.199310784016916e-08,0.0
1839,1.2584655095793096e-08,0.0
1840,1.46502836528839e-08,0.0
1841,1.6693427085101575e-08,0.0
1842,4.024958855097793e-08,6.708265054555795e-10
1843,7.619915010081968e-08,0.0
1844,1.5916826967554698e-08,1.3172547497219966e-08
1845,2.9575208060350633e-08,1.1160455892778032e-09
1846,2.751615646445771e-08,0.0
1847,2.8044762956369595e-08,5.393223645455691e-10
1848,3.057184372323718e-08,0.0
1849,2.4300303991253713e-08,0.0
1850,1.9009188889640427e-08,6.788996032014438e-10
1851,1.9993260380601896e-08,0.0
1852,2.7344290387532055e-08,0.0
1853,1.6124216628554677e-08,0.0
1854,1.0391328686409906e-08,0.0
1855,1.2205955357558196e-08,0.0
1856,8.28350277259915e-09,0.0
1857,3.661131842136456e-08,0.0
1858,6.8511463169329545e-09,0.0
1859,4.582956236731661e-09,0.0
1860,1.6477862629926676e-08,0.0
1861,1.4147890858851042e-08,0.0
1862,1.626475132354699e-08,0.0
1863,1.4983863039219614e-08,0.0
1864,1.7740493518658695e-08,0.0
1865,9.88437331983505e-09,0.0
1866,5.838735717134114e-09,0.0
1867,1.455843445796745e-08,0.0
1868,2.5193358510477992e-08,0.0
1869,2.2952539424636598e-08,1.953407657850903e-09
1870,1.0894693147633916e-08,0.0
1871,5.3105884134652115e-09,0.0
1872,6.047339518033823e-09,0.0
1873,2.9930022904522957e-09,0.0
1874,3.5847653734322193e-09,1.7923826867161097e-09
1875,1.0870901512305409e-08,1.716458086775674e-09
