year,armes_NOUN égales_ADJ,armes_NOUN egales_ADJ,armes_NOUN légales_ADJ
1800,1.2891074163690064e-07,0.0,0.0
1801,1.3572740442668874e-07,0.0,0.0
1802,1.5888664961494214e-07,0.0,0.0
1803,1.4822578009443532e-07,0.0,3.900678446910888e-09
1804,2.026917798048089e-07,0.0,0.0
1805,7.960057502032214e-08,0.0,0.0
1806,1.8442682403474464e-07,2.881669125542885e-09,0.0
1807,9.679647661187119e-08,0.0,0.0
1808,2.1074488643080258e-07,0.0,0.0
1809,2.4849336455190496e-07,2.259030518203531e-09,0.0
1810,1.1232608443378922e-07,0.0,0.0
1811,7.019814773912003e-08,0.0,0.0
1812,1.3336041604361526e-07,0.0,8.00162425207418e-09
1813,1.322841143291953e-07,0.0,0.0
1814,1.1013369771717407e-07,0.0,0.0
1815,1.8610842289490392e-07,2.697223555614414e-09,2.697223555614414e-09
1816,6.721051448721482e-08,0.0,0.0
1817,2.273035164535031e-07,0.0,0.0
1818,2.64650140024969e-07,0.0,9.536941902865692e-09
1819,1.531955433620169e-07,0.0,1.6561680027393777e-08
1820,2.1478331291291397e-07,0.0,2.4919611263385377e-08
1821,1.3510238261460472e-07,0.0,0.0
1822,2.0452256421776838e-07,0.0,1.0025615893027862e-09
1823,1.7492355652848346e-07,0.0,2.9648061783404955e-09
1824,1.7263280938095704e-07,0.0,2.4421225930382207e-08
1825,2.298220636021142e-07,0.0,1.4969252504215547e-08
1826,2.219612014187078e-07,0.0,0.0
1827,1.6038055150602304e-07,0.0,1.013900075008678e-08
1828,2.4856936420292186e-07,0.0,7.337841001486822e-09
1829,2.6062454594466544e-07,0.0,1.2859763920403111e-08
1830,2.2021723111720348e-07,0.0,4.174734336004349e-09
1831,2.447819440476451e-07,0.0,1.2472964883158966e-08
1832,2.1512651926514081e-07,0.0,5.411987746839486e-09
1833,1.7259606011066353e-07,0.0,1.1583628278799551e-08
1834,2.1936148186796345e-07,0.0,1.9602515166639023e-08
1835,1.9815290386304696e-07,7.563087933704082e-10,1.4369867074037757e-08
1836,2.1170362174416368e-07,6.720750067579218e-10,8.736974699274924e-09
1837,2.6648723405742203e-07,6.957890930081589e-10,2.7831563720326358e-09
1838,1.7484688896729494e-07,6.312161904276081e-10,8.2058102535143e-09
1839,2.5658712843323883e-07,0.0,9.788065469251706e-09
1840,2.229391071750797e-07,1.9109065441114126e-09,6.3696887764308485e-09
1841,2.401285144060239e-07,0.0,0.0
1842,2.757096808636561e-07,0.0,7.379091560011375e-09
1843,2.108767205299955e-07,0.0,1.9492807368237663e-08
1844,3.090059976784687e-07,5.488561272137815e-10,3.2931368743049916e-09
1845,3.403939103918674e-07,0.0,7.254296274794569e-09
1846,2.8921235184498073e-07,0.0,5.854501328173001e-10
