year,mêmes_ADJ armes_NOUN,mêmes_ADJ larmes_NOUN
1800,6.099679126236879e-07,6.288328968651058e-09
1801,3.5003384368792467e-07,1.1905912700171939e-08
1802,4.1176258491759654e-07,8.951360541686881e-09
1803,5.070882025393075e-07,2.5354410126965377e-08
1804,5.957160738034872e-07,0.0
1805,4.889749902758922e-07,0.0
1806,3.7173532518863794e-07,0.0
1807,4.0996152961270127e-07,3.9857372513552036e-08
1808,4.781416009791428e-07,2.039466551195801e-08
1809,5.421672994998517e-07,0.0
1810,4.984469796909252e-07,7.020380277111826e-09
1811,4.713304235792748e-07,7.521229861140455e-09
1812,3.3073382610382396e-07,5.3344164641089264e-09
1813,5.147577439856832e-07,0.0
1814,5.852819526808162e-07,0.0
1815,5.340502866602037e-07,0.0
1816,5.77083369535103e-07,2.3176038865813098e-09
1817,4.888582338935521e-07,1.401186100480345e-08
1818,6.985810045989638e-07,4.2916237674717195e-08
1819,6.158874725770147e-07,2.070210003424222e-09
1820,7.428417347909999e-07,4.865257352548724e-08
1821,6.321213845694729e-07,2.9584463767662328e-09
1822,7.449032466411154e-07,8.02049271442229e-09
1823,5.099466307001421e-07,8.894418535021487e-09
1824,4.665296557959664e-07,2.5263338088166165e-09
1825,5.080740379526105e-07,5.283265824829186e-09
1826,5.531414427606407e-07,8.80798456392995e-09
1827,5.613319444819354e-07,7.373818444733615e-09
1828,4.7237351918916204e-07,4.586150570418113e-09
1829,5.186771545595548e-07,2.571952872898464e-09
1830,4.3312869024703105e-07,1.0436835395921662e-08
1831,5.410148773421497e-07,0.0
1832,3.1930727573126205e-07,8.117981842303834e-09
1833,5.467472874443047e-07,1.3900354645102198e-08
1834,4.0418518665319425e-07,1.9602515166639023e-08
1835,3.554651470949466e-07,2.4958190181223472e-08
1836,4.113099123514985e-07,1.008112526790228e-08
1837,4.042534564874245e-07,1.1132625488130543e-08
1838,5.396898359322222e-07,1.7042836475411605e-08
1839,4.3556889295359724e-07,2.7965900706306e-09
1840,5.433344405503249e-07,1.52872523528913e-08
1841,3.5569838408022747e-07,7.704658244733764e-09
1842,4.481121038679703e-07,1.2745703159566801e-08
1843,4.418369505820863e-07,1.5357969118667825e-08
1844,4.6323456548424957e-07,1.4270259640625227e-08
1845,4.2911954328817004e-07,1.6182660544927785e-08
1846,3.5771003581430705e-07,1.4050803187615202e-08
1847,3.920873696827698e-07,3.3977308078192436e-08
1848,3.2904955649115664e-07,2.654923214606697e-08
1849,4.307019256799549e-07,1.75967720394965e-08
1850,3.652479829696631e-07,5.431196825611551e-09
1851,4.35982059343587e-07,2.3217978650791338e-08
1852,4.40763925135812e-07,2.4740073101270355e-08
1853,3.863839974638239e-07,7.763511611358354e-09
1854,3.7668567509641093e-07,2.8056588163849483e-08
1855,3.5715687118909045e-07,2.0697054736729115e-08
1856,3.644741184416489e-07,2.2779632402603056e-08
1857,4.16880887588178e-07,2.39193944651106e-08
1858,4.0323890448945576e-07,2.6425849952715907e-08
1859,4.4149143185734374e-07,1.5276519604867644e-08
1860,4.5726067021689687e-07,1.6477862629926676e-08
1861,4.036864993395284e-07,2.0750240636857598e-08
1862,3.8583603334529926e-07,3.4336697041226216e-08
1863,4.929690868848979e-07,1.4484400345793347e-08
1864,3.778245760699406e-07,1.965838514195184e-08
1865,4.838636016302189e-07,1.553258677233771e-08
1866,5.313249573646317e-07,1.751620715140234e-08
1867,5.211919500425211e-07,1.0190904120577216e-08
1868,4.722519548749915e-07,1.7289560005906424e-08
1869,4.3463321475201155e-07,2.0022428159904848e-08
1870,3.2913438818837903e-07,1.548193218070537e-08
1871,3.0695201758135227e-07,1.911811864374613e-08
1872,4.2210426975941573e-07,1.0280476914203973e-08
1873,3.7831548738154197e-07,1.3767810003173508e-08
1874,4.194175549088186e-07,1.8521287614703397e-08
1875,4.2797023169782733e-07,1.2587359599081083e-08
1876,3.8936334068040424e-07,1.3905833817773328e-08
1877,4.1685660345791575e-07,4.9478527941460015e-09
1878,3.750273975811069e-07,3.6234530931267273e-09
1879,4.0321545924371094e-07,1.2829582729523281e-08
1880,3.3693694234671057e-07,2.2462462112571302e-08
1881,3.4862537656721315e-07,2.4403776777148778e-08
1882,3.3609694582992233e-07,1.7304001787010748e-08
1883,3.039601891297039e-07,1.2006744043446815e-08
1884,3.5715179347306503e-07,2.706695667598069e-08
1885,2.69427577248571e-07,1.353583467533781e-08
1886,4.285100150269727e-07,9.680196200179125e-09
1887,2.78132178621604e-07,1.9586773092328258e-08
1888,2.8469360557892287e-07,1.775372027168487e-08
1889,2.7629251864169646e-07,1.8168895721260014e-08
1890,3.6376844142482767e-07,1.9663159989136147e-08
1891,3.365588217008053e-07,1.9122660788184476e-08
1892,2.532479124184306e-07,2.5074049503359674e-08
1893,3.5349310856247484e-07,2.2170299374124625e-08
1894,3.377624979705729e-07,2.6466464575491955e-08
1895,3.0815306928388964e-07,1.3240951446391591e-08
1896,2.907235163718269e-07,1.592197840238896e-08
1897,2.388952609067019e-07,2.505486840220783e-08
1898,2.0822746382709312e-07,2.546259736391221e-08
1899,3.0070027179363024e-07,1.2713430308508578e-08
1900,3.218452879760747e-07,8.824790675987515e-09
1901,2.6602396396846473e-07,1.2295225282343836e-08
1902,2.2685511869013908e-07,1.2275709337927765e-08
1903,2.554304234791971e-07,1.9440793863623185e-08
1904,3.2892706514076053e-07,1.9348650681649815e-08
1905,2.528771885224046e-07,2.3223416079076742e-08
1906,2.191422590058778e-07,1.8519063615940468e-08
1907,3.1165630787199916e-07,2.262851062084792e-08
1908,2.3378212166136336e-07,2.357466755142923e-08
1909,2.436935719885014e-07,2.585462333115629e-08
1910,2.4262444542344497e-07,2.7255168788542505e-08
1911,2.3303238450012032e-07,1.276889793899727e-08
1912,2.0264648048495815e-07,2.0837685354990754e-08
1913,1.967409184455704e-07,2.1742257771961704e-08
1914,2.1429579977194635e-07,1.5402511266415786e-08
1915,1.9438256471104864e-07,4.123266705846618e-08
1916,2.6369910255397144e-07,3.4061130804730055e-08
1917,2.3577812946484755e-07,2.7416060532914344e-08
