year,punitions_NOUN égales_ADJ,punitions_NOUN légales_ADJ
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,4.670620334934483e-09
1818,0.0,2.384235475716423e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,8.306536791735653e-09
1821,1.97229765852569e-09,9.86148829262845e-10
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,6.917880934764753e-09,1.9765373782121287e-09
1824,2.5263338088166165e-09,1.3473780313688621e-08
1825,8.805443041381977e-10,1.0566531649658373e-08
1826,3.5231937367541377e-09,2.290075862276808e-08
1827,0.0,9.217273055917019e-10
1828,0.0,4.586150570418113e-09
1829,0.0,8.57317605795771e-10
1830,0.0,1.461157062010443e-08
1831,1.5591206103948707e-09,0.0
1832,1.352996914505411e-08,2.705993873419743e-09
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,0.0,1.213489042584115e-08
1835,0.0,6.806779140333674e-09
1836,0.0,1.3441500135158435e-09
1837,1.3915781860163179e-09,5.5663127440652715e-09
1838,6.312161904276081e-10,6.312161904276081e-10
1839,0.0,2.0974426639952526e-09
1840,6.369688665408546e-10,6.3696887764308485e-09
1841,0.0,6.420548537278137e-10
1842,4.024959032733477e-09,2.0124795163667386e-09
1843,0.0,4.7255288571079745e-09
1844,0.0,8.232841963717874e-09
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,0.0,3.5127007969038004e-09
1847,5.393223645455691e-10,5.393223645455691e-10
1848,1.6090443422100975e-09,2.413566457803995e-09
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,0.0,7.094382858952031e-09
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,0.0,1.7915795513800958e-09
1854,5.195664454227256e-10,1.0391328908454511e-09
1855,0.0,3.1841622671890946e-09
1856,0.0,2.0708756931497874e-09
1857,4.881509085841174e-10,8.298565390418844e-09
1858,0.0,0.0
1859,0.0,5.601390462572908e-09
1860,9.154367819341758e-10,1.6020143434047895e-08
1861,0.0,0.0
1862,0.0,9.487771457372673e-09
1863,4.994620828036034e-10,0.0
1864,0.0,4.794728170054441e-09
1865,0.0,0.0
