year,des_DET êtres_NOUN,des_DET etres_NOUN,des_DET lettres_NOUN
1800,7.93272672439116e-06,6.917161599062638e-08,1.2645829372104345e-05
1801,7.01020158544452e-06,2.143064325998978e-08,1.5149083424148557e-05
1802,6.612817713858021e-06,5.594600338554301e-08,1.5689496848381168e-05
1803,7.3449775896961e-06,2.7304748240197796e-08,1.3252554822429374e-05
1804,6.661638281002524e-06,1.2359254508709228e-08,1.3016767411500041e-05
1805,6.0951295921540805e-06,6.538618801954499e-08,1.4979122340719186e-05
1806,5.645189638414649e-06,4.639487212187987e-07,1.8895104119565076e-05
1807,4.293208480277144e-06,4.4412499144996787e-07,2.0523700158037173e-05
1808,5.0578773453935355e-06,1.1556977286275583e-07,2.0356142556465784e-05
1809,4.827548366392875e-06,4.292158006791169e-08,1.938699904258101e-05
1810,5.145938587247656e-06,1.8721014072298203e-08,1.7455006172895082e-05
1811,3.6252330914976483e-06,7.019814773912003e-08,2.344116785479855e-05
1812,5.107703927365037e-06,5.3344164641089264e-09,2.0532169742182305e-05
1813,4.762228329013851e-06,3.163315653864629e-08,1.9402628936404653e-05
1814,4.090680079116282e-06,6.293354282149721e-09,2.4386747099924833e-05
1815,5.890736176183964e-06,8.091670666843243e-09,1.6925078057283827e-05
1816,6.6306648491831766e-06,2.5493642752394408e-08,1.7055247212738323e-05
1817,7.153833522011155e-06,4.0478708385194295e-08,2.2280416146713833e-05
1818,7.1777409260675995e-06,8.34482416500748e-09,2.462199984165636e-05
1819,5.983942173770629e-06,1.0351050239165716e-08,2.313563140887709e-05
1820,7.398751023401928e-06,3.5599445169509636e-08,2.3369848008769623e-05
1821,6.970099988734546e-06,1.2819935113483893e-08,2.0485268919401278e-05
1822,6.20986637045462e-06,1.7043547018147365e-08,1.9732417285922565e-05
1823,4.721947661323611e-06,1.087095569118901e-08,1.877512767123335e-05
1824,5.269932259466259e-06,7.66321237577472e-08,2.0821200450882316e-05
1825,5.81071181926518e-06,5.283265824829186e-09,1.9947851569668273e-05
1826,5.317380342262368e-06,4.40399205992037e-09,2.27113879418539e-05
1827,4.979170892482898e-06,3.6869092223668076e-09,2.379715482447864e-05
1828,5.893203720575002e-06,1.8344602503717056e-09,2.1704415928525123e-05
1829,5.79803882772012e-06,9.430493774775783e-09,1.9656578785998136e-05
1830,6.299673941612127e-06,1.7742621372107692e-08,1.7404467200776708e-05
1831,6.860130575603307e-06,1.091384405071949e-08,1.4309608815210595e-05
1832,5.816533608538066e-06,9.470978779013706e-09,1.7157354363916966e-05
1833,6.468297954143054e-06,2.0850531079474877e-08,1.4944039264719322e-05
1834,5.739803121684872e-06,3.2670858240990697e-08,1.5976049837718165e-05
1835,5.894670572104133e-06,1.1344631900556124e-08,1.649433818329271e-05
1836,5.658199548008724e-06,2.3522624903460354e-08,1.5010795038961078e-05
1837,5.413934978548696e-06,1.2524203896191466e-08,1.6634229069723006e-05
1838,4.724653305032689e-06,1.3255540221024376e-08,1.9369499540289326e-05
1839,5.059031593646068e-06,3.425822825420255e-08,1.6699138342346487e-05
1840,5.438440098259889e-06,6.879263869663532e-08,1.7800731569650452e-05
1841,5.889569322903299e-06,2.8892468861840825e-08,1.593580176972864e-05
1842,5.490714848122025e-06,1.2074877542289641e-08,1.711479714572306e-05
1843,6.929397528665504e-06,1.9492806480059244e-08,1.588132076335569e-05
1844,5.572536096565273e-06,1.3721403624433748e-08,1.871983562296009e-05
1845,5.378223555396744e-06,1.5066615954850704e-08,1.5632450853786395e-05
1846,5.7087240357134306e-06,2.9272507529043423e-08,1.7306491230328902e-05
1847,5.35007803392773e-06,1.887628364727334e-08,1.8366083281762258e-05
1848,4.906780738167527e-06,1.769948809737798e-08,1.4857915118682286e-05
1849,4.480473094758963e-06,1.6758829879393033e-08,1.4746094535666998e-05
1850,4.9912697228648994e-06,1.425689166723032e-08,1.6505407984368503e-05
1851,4.733888182784085e-06,1.0964045893402385e-08,1.7312227896582044e-05
1852,5.339298112971846e-06,5.859490892490271e-09,1.7108410958144304e-05
1853,5.742609815229116e-06,1.851298847554972e-08,1.651418313031172e-05
1854,5.179557682311042e-06,6.390667484090784e-08,1.716751492608637e-05
1855,5.654010610811611e-06,8.491099379170919e-09,1.7105319273014175e-05
1856,4.667753586318213e-06,1.967331991759025e-08,1.897905781333975e-05
1857,5.357456004162486e-06,1.2203772437047178e-08,1.994194090571e-05
1858,5.188275530088049e-06,3.034079210095797e-08,1.7237973565897846e-05
1859,5.3992312913919704e-06,1.171199892624486e-08,1.6736446070808597e-05
1860,5.465615416255787e-06,5.034902300637967e-09,1.677675155065117e-05
1861,5.971353139955227e-06,1.3204698223745481e-08,1.6178585212855978e-05
1862,4.863160434354086e-06,8.13237568952907e-09,1.707392274852282e-05
1863,5.519555337230031e-06,1.198709037586454e-08,1.644628690655736e-05
1864,6.289244431911811e-06,9.589455562952764e-09,1.626563522449942e-05
1865,5.671747430824325e-06,1.1767110841276462e-08,1.7515580623239657e-05
