year,cercles_NOUN égaux_ADJ,cercles_NOUN egaux_ADJ
1800,1.2891074163690064e-07,0.0
1801,4.0480102825313224e-08,0.0
1802,2.0140561218795483e-07,0.0
1803,7.80135707145746e-08,1.1702034896643454e-08
1804,2.2493843232496147e-07,0.0
1805,5.685755422035754e-09,0.0
1806,1.0950342499427279e-07,0.0
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,5.891792298484688e-08,0.0
1809,1.4683698168482806e-07,0.0
1810,7.722418615685456e-08,0.0
1811,7.771937760026049e-08,0.0
1812,2.6938803898701735e-07,0.0
1813,1.2365688917270745e-07,0.0
1814,2.8320094713762956e-08,0.0
1815,5.394447111228828e-09,0.0
1816,1.5296186006708012e-07,2.3176038865813098e-09
1817,5.4490570278176165e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,4.2719332071783356e-08,7.119888678630559e-09
1821,2.3667571014129862e-08,0.0
1822,7.318699601910339e-08,0.0
1823,8.103803139647425e-08,0.0
1824,3.705289586264371e-08,0.0
1825,5.195211372210906e-08,0.0
1826,4.844391554570393e-08,0.0
1827,4.608636672287503e-08,0.0
1828,7.888178998882722e-08,0.0
1829,4.372319750700626e-08,0.0
1830,1.0228099256437417e-07,0.0
1831,2.182768810143898e-08,0.0
1832,6.629684889958298e-08,0.0
1833,1.50587169400751e-08,1.1583628500844156e-09
1834,8.027696907220161e-08,0.0
1835,9.605121675804185e-08,1.5126175867408165e-09
1836,3.2259599436201825e-08,0.0
1837,6.470838798122713e-08,0.0
1838,5.680945847075236e-08,1.2624323808552163e-09
1839,4.194885150354821e-08,0.0
1840,3.567025785855549e-08,1.2739377330817092e-09
1841,3.467096121312352e-08,0.0
1842,2.817471411731276e-08,0.0
1843,5.611565612184677e-08,0.0
1844,1.0098952429871133e-07,0.0
1845,9.87700374821543e-08,1.1160455892778032e-09
1846,3.571245699163228e-08,0.0
1847,3.829188699455699e-08,1.6179670936367074e-09
1848,1.0378335701943797e-07,0.0
1849,2.1786478399121734e-08,0.0
1850,4.2091777174846357e-08,0.0
1851,9.996630012665264e-08,0.0
1852,5.338647213193326e-08,0.0
1853,7.345476404907458e-08,5.971931837933653e-10
1854,5.351534326791807e-08,0.0
1855,6.633671034705912e-08,5.306937111981824e-10
1856,5.1254172461767666e-08,0.0
1857,2.782460128969433e-08,0.0
1858,2.8872689128434104e-08,0.0
1859,4.7357211485632433e-08,0.0
1860,4.485640303641958e-08,4.577183909670879e-10
1861,6.696668464201139e-08,4.715963730639317e-10
1862,2.755971628687348e-08,0.0
1863,3.49623441309177e-08,0.0
