year,quelques_DET yeux_NOUN,quelques_DET lieux_NOUN
1800,5.973912209356058e-08,9.652584780361906e-07
1801,5.476719877606229e-08,7.524536798086956e-07
1802,2.0140561218795483e-08,8.973738658824004e-07
1803,5.655983770225248e-08,1.078537575693872e-06
1804,7.662737999680758e-08,7.440271225789274e-07
1805,4.264316544322355e-08,8.102201718429569e-07
1806,2.0171683878800195e-08,8.616190632082521e-07
1807,5.693910232196231e-09,1.3779263285940146e-06
1808,4.305540457494317e-08,1.0106689831701487e-06
1809,9.487928309681593e-08,1.9653566596389282e-06
1810,1.4040760554223652e-08,6.903373983568883e-07
1811,1.0028307073639553e-08,8.448848713982215e-07
1812,6.13457871168066e-08,8.02829696056051e-07
1813,8.052076339026826e-08,8.138348779329618e-07
1814,6.922689976818219e-08,1.0226700464244232e-06
1815,7.821948599939788e-08,7.147642495652917e-07
1816,6.952811304472561e-08,1.4508200365526136e-06
1817,4.0478710161551135e-08,1.8075299799136246e-06
1818,4.887682791832049e-08,1.4138516748474217e-06
1819,3.105314938522952e-08,8.777690592154386e-07
1820,1.6613073583471305e-08,1.0596768191817318e-06
1821,3.944595405869222e-08,8.61894095649518e-07
1822,1.604098542884458e-08,1.2732531757819743e-06
1823,1.9765373338032077e-08,9.615854204003682e-07
1824,2.6947560627377243e-08,1.0669550274400308e-06
1825,8.189061873054015e-08,1.2935195492502771e-06
1826,1.6735169694470642e-08,1.0939516563723828e-06
1827,5.2538454919925925e-08,8.74719191301665e-07
1828,1.3758452155343548e-08,1.1015933267799483e-06
1829,3.600733933240008e-08,1.0716469924787475e-06
1830,3.1310506187764986e-08,8.840000038645712e-07
1831,4.989185953263586e-08,1.004073681976081e-06
1832,7.441483085290912e-08,8.00974214065775e-07
1833,3.8225973497674204e-08,8.305461431934447e-07
1834,1.866906162995008e-08,1.090273245019091e-06
1835,5.596685070941021e-08,9.461423147172354e-07
1836,3.427582484505365e-08,8.374054862869684e-07
1837,4.035576894878545e-08,8.398174582424645e-07
1838,1.8936486156917454e-08,8.912772848646e-07
1839,2.9364195075487487e-08,7.998247530949243e-07
1840,2.8026629905752998e-08,7.388839087241195e-07
1841,2.5040138851295524e-08,6.760837649721907e-07
1842,7.647422251011449e-08,5.950231329876488e-07
1843,3.1306629344474146e-08,6.302673867253361e-07
1844,3.9517641825526084e-08,8.156002158088427e-07
1845,5.1896119845906696e-08,5.390500321666991e-07
1846,2.6930706553685013e-08,8.225574354980836e-07
1847,1.4561703842730367e-08,8.273204850084426e-07
1848,3.459445352405055e-08,6.307453931930773e-07
1849,6.535943475327599e-08,6.125352269847895e-07
1850,1.4935791270431764e-08,6.483491370445904e-07
1851,1.676854055610022e-08,4.843528627063165e-07
1852,3.255272873481374e-08,6.328250243825551e-07
1853,2.20961471342207e-08,5.35085079356179e-07
1854,2.1821791262865986e-08,5.086555381339508e-07
1855,3.3964397516683675e-08,5.20610552001699e-07
1856,3.4169448159815374e-08,7.398203427655403e-07
1857,3.7099468830348314e-08,5.677195140663116e-07
1858,2.9851424443450014e-08,5.480917124600637e-07
1859,1.476730293603623e-08,5.250030443715303e-07
1860,2.4259074749011234e-08,4.586338358814057e-07
1861,2.5937800796071997e-08,4.145332083149711e-07
1862,5.82820236516568e-08,4.883943081068765e-07
1863,4.345320192555846e-08,5.009604677752577e-07
1864,2.685047595374357e-08,3.970034865297123e-07
1865,2.3063536858103362e-08,4.047886199565198e-07
1866,1.6056522000873485e-08,3.4351227862217115e-07
1867,2.91168689159349e-08,4.1297424324682197e-07
1868,2.1241458370013788e-08,4.1050353960514485e-07
1869,3.857980201971145e-08,3.071733412074451e-07
1870,4.587239077480376e-08,3.635386875977531e-07
1871,3.080141297573391e-08,2.4428706368873065e-07
1872,3.205089882385437e-08,3.2171844033257457e-07
1873,2.0352414864532875e-08,3.890903013115121e-07
1874,2.0911131493051016e-08,3.5489178795700127e-07
1875,6.75140180983469e-08,3.2269412986174473e-07
1876,4.897272098958183e-08,3.736437035328777e-07
1877,2.1646855308254942e-08,3.3830944290436094e-07
1878,1.8117265909722846e-08,4.06430674892988e-07
1879,1.7717042943843353e-08,4.197106528991412e-07
1880,2.759673911612026e-08,3.7480223102903665e-07
1881,2.719278008322945e-08,2.6425802446272684e-07
1882,5.2577541653775484e-08,4.192892661958325e-07
1883,3.349249588779912e-08,3.7220906945467647e-07
1884,3.630933420595284e-08,2.733102428820189e-07
1885,1.9336907408629145e-08,3.545099600543722e-07
1886,2.7749894160322697e-08,3.0137676731989416e-07
1887,3.3297514079322355e-08,2.5332227782115524e-07
1888,2.0924028287794272e-08,3.1322635773989305e-07
1889,2.0048437576747347e-08,2.2930400689347152e-07
1890,3.277193122430688e-08,2.1105124625719895e-07
1891,1.9122660788184476e-08,1.96325978918388e-07
1892,1.3163875989263829e-08,2.6515805973126305e-07
1893,1.7243566574620672e-08,2.2355051543243576e-07
1894,1.9534772022211655e-08,2.621440309269474e-07
1895,1.4444675011660024e-08,1.7453982326109951e-07
1896,1.4152869876049579e-08,2.2821502415615313e-07
1897,2.2724182091593548e-08,1.5440791134579968e-07
1898,4.0174319315688933e-08,2.682060102898731e-07
1899,3.8693050541382945e-08,3.012530118695622e-07
1900,1.557315876254961e-08,2.180242386629061e-07
1901,1.7883964531506535e-08,1.8163401849236038e-07
1902,2.356936334990678e-08,1.649855314589388e-07
1903,1.9980814780495848e-08,2.05748387882565e-07
1904,1.5048950530172078e-08,1.4135264514436585e-07
1905,3.4577086083231734e-08,1.89399850025751e-07
1906,2.2119994169678137e-08,1.7695994092292722e-07
1907,2.9314207949937554e-08,1.4965674033362575e-07
1908,1.8172138682714944e-08,1.5323533575362092e-07
1909,3.3005902677629706e-08,1.4962675010110615e-07
1910,2.7255168788542505e-08,1.7849463729291415e-07
1911,1.9685383989553884e-08,1.6546364101088784e-07
1912,4.48010239462171e-08,1.6409676728557088e-07
1913,4.2954218182345016e-08,1.6704417449275866e-07
1914,2.3438603280467873e-08,1.5201608727366533e-07
1915,4.005458986711119e-08,1.3665684384100985e-07
1916,1.3184954017475548e-08,1.3844202673141126e-07
1917,3.070598708632133e-08,1.4695008232479267e-07
1918,2.2972752589112133e-08,1.5736335257088285e-07
1919,2.2098835428252528e-08,1.1141496747413271e-07
