year,six_DET êtres_NOUN,six_DET lettres_NOUN
1800,0.0,1.006132621661493e-07
1801,0.0,7.381665945160876e-08
1802,0.0,4.0281122437590966e-08
1803,3.900678446910888e-09,8.971560450099503e-08
1804,0.0,5.6852572427601444e-08
1805,1.9900143755080535e-08,5.117179879832179e-08
1806,0.0,1.325567842158648e-07
1807,0.0,1.1103125174827255e-07
1808,0.0,1.223679988449078e-07
1809,0.0,9.939734102459852e-08
1810,4.680253518074551e-09,1.3338723192646285e-07
1811,0.0,1.0529722072050163e-07
1812,0.0,2.1070944455914287e-07
1813,0.0,2.4443803425810984e-07
1814,3.1466771410748606e-09,2.045340075085278e-07
1815,0.0,1.8610842555943918e-07
1816,4.6352077731626196e-09,1.9236111903353503e-07
1817,0.0,1.043105180009718e-07
1818,0.0,1.335171866401197e-07
1819,0.0,1.076509223985056e-07
1820,3.5599443393152796e-09,1.7206397373570326e-07
1821,6.903041693817613e-09,1.666591469273726e-07
1822,0.0,6.717162648328667e-08
1823,9.882686891060644e-10,1.1661570198384652e-07
1824,4.210556348027694e-09,1.6084325249465792e-07
1825,3.522177216552791e-09,1.1182912373897125e-07
1826,2.642395191543301e-09,1.6647090661514596e-07
1827,9.217273055917019e-10,8.387718669622402e-08
1828,9.172301251858528e-10,7.613009955775851e-08
1829,0.0,7.372931060123378e-08
1830,0.0,1.4611570775535654e-07
1831,1.5591206103948707e-09,1.5747117743103445e-07
1832,0.0,1.5018266474875475e-07
1833,0.0,9.846084003672928e-08
1834,3.733812370398937e-09,9.70791234067292e-08
1835,1.5126175867408165e-09,8.168134968400409e-08
1836,3.36037508930076e-09,1.263501019366231e-07
1837,1.461157062010443e-08,1.2037151086996545e-07
1838,2.5248647617104325e-09,1.06044321768195e-07
1839,2.7965900706306e-09,1.125627520082162e-07
1840,3.1848443882154243e-09,1.1465439325730742e-07
1841,0.0,1.0914932513372833e-07
1842,8.049918065466954e-09,1.0129480454423856e-07
1843,3.5441467538532834e-09,1.2463582588218003e-07
1844,5.488561161115513e-09,1.0263609656613326e-07
1845,3.3481367678334095e-09,8.537749029979835e-08
1846,0.0,1.0245377568551817e-07
1847,0.0,1.4723500463276196e-07
1848,9.65426583121598e-09,1.0700145058883948e-07
1849,8.379414939696517e-10,1.6507447853086887e-07
1850,0.0,2.3829376250006362e-07
1851,3.8696632564949596e-09,1.2189439058118978e-07
1852,5.859490670445666e-09,2.037800759246977e-07
1853,1.1943863675867306e-09,1.5288145238656625e-07
1854,3.117398783558656e-09,2.2445269864945772e-07
1855,2.1227748447927297e-09,1.8202794294097657e-07
1856,4.659470143053568e-09,1.3046516611492365e-07
1857,4.881509085841174e-10,1.53279380576965e-07
1858,1.2234189661342043e-08,1.5512952500351673e-07
1859,5.092173349652285e-10,1.4920068402979325e-07
1860,4.57718396518203e-09,1.0756381962906403e-07
1861,1.4147891747029462e-09,1.2308664981697248e-07
1862,0.0,1.5225613861358234e-07
1863,9.989241656072068e-10,1.728138799284018e-07
1864,9.589455896019672e-10,1.4240341705828996e-07
1865,9.41368871743009e-10,1.3979327839752642e-07
1866,9.731225825149181e-10,1.629980360684513e-07
1867,9.220341823379385e-09,1.5043715606566366e-07
1868,5.433861360870651e-09,1.5955793164490473e-07
1869,4.883519144627257e-10,2.0120098664921926e-07
1870,0.0,1.3417674260551848e-07
1871,0.0,1.656903663160847e-07
1872,0.0,3.368368107770081e-07
1873,1.1972008939764578e-09,1.3109349777939983e-07
1874,2.9873046258899194e-09,1.535474578595597e-07
1875,5.721527140956084e-10,1.2472929494800056e-07
1876,1.209202959984168e-09,2.2067954064119988e-07
1877,5.566334504436554e-09,1.286441712045061e-07
1878,4.831270938865373e-09,1.4614594595618868e-07
1879,0.0,1.790032336801417e-07
1880,0.0,1.771325517374578e-07
1881,8.367009307619355e-09,2.0499172237453678e-07
1882,2.6621540527571597e-09,1.670501721395823e-07
1883,1.8958017378167824e-09,1.6556667709055617e-07
1884,4.621187876807653e-09,1.5315937229587462e-07
1885,1.933690763067375e-09,2.668493196411603e-07
1886,1.1616235084943582e-08,1.6262729224392203e-07
1887,6.528924623161458e-10,1.2927270948148717e-07
1888,1.268122939990235e-09,1.540769396513042e-07
1889,0.0,2.399547435194549e-07
1890,6.554386478008212e-10,1.3305404888974692e-07
1891,1.2748440081367107e-09,1.7019167941612068e-07
1892,6.268512375839919e-10,1.7489149017890782e-07
1893,1.847525021858587e-09,2.0261190436521304e-07
1894,6.301539290376468e-09,1.732923324837543e-07
1895,0.0,1.5949328968645204e-07
1896,6.48673198488936e-09,1.6865503027485573e-07
1897,4.078699600285063e-09,1.5149455523388866e-07
1898,2.8291773368493978e-09,1.6522396617535406e-07
1899,5.527578395003729e-09,1.824100923641936e-07
1900,3.633737311048435e-09,2.2269617971915068e-07
1901,1.1177477832191585e-09,1.2071675759006695e-07
1902,2.9461704187383475e-09,1.4288925670458141e-07
1903,5.400220270956879e-10,1.7442711341963957e-07
1904,5.374625189347171e-10,2.0316083482185832e-07
1905,3.0964554253998244e-09,1.1095632324042981e-07
1906,5.658602919567102e-09,1.4249390645204585e-07
1907,2.5714217422034835e-09,1.6405670072439094e-07
1908,2.9468334439286537e-09,1.7189861600819256e-07
1909,4.950885035270858e-09,1.595285219480047e-07
1910,6.412980813053082e-09,1.752881463312761e-07
1911,2.128149656499545e-09,1.3460546754995306e-07
1912,1.5628263128064646e-09,1.463847384974848e-07
1913,1.590896969716482e-09,1.5961998972580105e-07
1914,0.0,1.5871282599277947e-07
1915,0.0,1.02492631270934e-07
1916,1.0987462051303964e-09,9.668966272080581e-08
1917,0.0,9.760117603008212e-08
1918,1.1486376294556067e-09,1.1601240323955153e-07
1919,5.524709134618888e-09,1.2706830632147614e-07
1920,3.028892692213958e-09,1.1509792141595199e-07
1921,1.5145494858259667e-09,1.2267850657554646e-07
1922,2.951174193910333e-09,1.018155101339957e-07
1923,4.246379248229459e-09,1.369457365285598e-07
1924,1.289162443462999e-09,1.6114530154709428e-07
1925,0.0,1.847693862355726e-07
1926,3.343841648018042e-09,1.448997979380806e-07
1927,2.2298449753321847e-09,1.3379070162855555e-07
1928,2.2852082448565625e-09,1.6796280966069332e-07
1929,3.342121912552898e-09,1.5930781360751212e-07
1930,4.201441416995522e-09,1.9851810373339163e-07
1931,7.983749661377715e-09,1.5967499056301904e-07
1932,6.575721855917038e-09,1.2384276593113697e-07
1933,2.2941324395731044e-09,1.387950074871469e-07
1934,3.5944740517379614e-09,1.7972370969232543e-07
1935,0.0,1.6755597886941587e-07
1936,3.6374143697059935e-09,1.2852197794899212e-07
1937,1.2591118148108649e-09,1.1080183859313308e-07
1938,3.8895642262559704e-09,1.32245183692703e-07
1939,0.0,9.329371053468094e-08
1940,0.0,6.846613853639383e-08
1941,0.0,1.1510860620234098e-07
1942,6.068423541449874e-09,1.5777901363200897e-07
