year,décisions_NOUN légales_ADJ
1800,3.144164484325529e-09
1801,1.904946067554647e-08
1802,0.0
1803,0.0
1804,1.730295728918918e-08
1805,8.528632911009026e-09
1806,0.0
1807,2.2775640928784924e-08
1808,2.2660739951163578e-09
1809,0.0
1810,5.148278958699848e-08
1811,7.52123057168319e-08
1812,5.3344164641089264e-09
1813,4.026038169513413e-08
1814,1.2586708564299443e-08
1815,1.8880564667256294e-08
1816,2.7811246638975717e-08
1817,1.2454987263765815e-08
1818,1.0729059418679299e-08
1819,4.34744116262209e-08
1820,1.542642635854463e-08
1821,3.550135829755163e-08
1822,1.0025615893027862e-08
1823,2.9648060007048116e-08
1824,1.6842225392110777e-08
1825,3.522177216552791e-09
1826,1.4092774947016551e-08
1827,2.3043183361437514e-08
1828,1.6510142586412258e-08
1829,1.3717081692732336e-08
1830,3.339787468803479e-08
1831,5.6128342862393765e-08
1832,4.464889968858188e-08
1833,3.243415847009601e-08
1834,1.8669062740173104e-08
1835,1.1344631900556124e-08
1836,2.4866775305554256e-08
1837,2.922314124020886e-08
1838,1.6411621173162416e-08
1839,1.8177836125232716e-08
1840,8.917564464638872e-09
1841,2.760835826620678e-08
1842,2.6162233268678392e-08
1843,1.5357969118667825e-08
1844,1.756339607084101e-08
1845,1.2276501593078137e-08
1846,1.5221703009160592e-08
1847,1.0786447290911383e-08
1848,1.609044275596716e-08
1849,1.0893239199560867e-08
1850,3.1229381747266416e-08
1851,2.9022473979622987e-08
1852,1.1067927019325907e-08
1853,1.4332636411040767e-08
1854,3.013485283531736e-08
1855,4.2455496895854594e-09
1856,1.2425254325432178e-08
1857,1.7085282522089074e-08
1858,2.3000277127316338e-08
1859,2.64793023063703e-08
1860,1.4646988510946812e-08
1861,3.0182167876091626e-08
1862,9.939570111416884e-09
1863,1.2486552236623538e-08
1864,1.965838514195184e-08
1865,1.4120533187167439e-08
1866,1.702964524952222e-08
1867,6.79393608038481e-09
1868,4.347089266332205e-08
1869,1.3185501579471293e-08
1870,1.2614907340946502e-08
1871,1.911811864374613e-08
1872,1.3908880269752899e-08
1873,1.6760813181804224e-08
1874,1.6131444624534197e-08
1875,1.4875970677508121e-08
1876,2.1161051577678336e-08
1877,1.9791411176584006e-08
1878,1.69094480639842e-08
1879,1.3440515367335593e-08
1880,1.0910338410496934e-08
1881,1.1853263259808955e-08
1882,2.0631693686823382e-08
1883,2.6541224329434954e-08
1884,6.601696966868076e-09
1885,1.6758653131887513e-08
1886,1.613365974151293e-08
1887,3.264462300478499e-08
1888,8.242799331981132e-09
1889,2.0674951528576457e-08
1890,7.865263995654459e-09
1891,4.461953917456185e-09
1892,1.002961980134387e-08
1893,1.847525021858587e-09
1894,9.452309157609307e-09
1895,6.018614495673091e-09
1896,4.1279202278587945e-09
1897,1.3401440845939305e-08
1898,1.0750874079867856e-08
1899,9.39688327150634e-09
1900,6.74836919678512e-09
1901,8.38310842965484e-09
1902,1.6203935970793282e-08
1903,1.7820726228023887e-08
1904,9.13686282189019e-09
1905,1.4450125540577119e-08
1906,1.4403716441790948e-08
1907,1.0285686968813934e-08
1908,1.3260750719723546e-08
1909,1.7603147384193107e-08
1910,3.740905363258662e-09
1911,2.128149745317387e-08
1912,1.0939784189645252e-08
1913,1.5908969752675972e-08
1914,2.0759905794420774e-08
1915,1.4136913861761968e-08
1916,4.394984820521586e-09
1917,6.57985488317081e-09
1918,3.2161853624756986e-08
1919,7.366278698128781e-09
1920,1.741613209205184e-08
1921,2.4232792439349282e-08
1922,1.1066902949607993e-08
1923,1.1677542488541803e-08
1924,2.1915761649893284e-08
1925,4.399271169575059e-09
1926,5.57306911730393e-09
1927,1.1149224654616319e-08
1928,9.14083297942625e-09
1929,4.4561625500705304e-09
1930,1.1553964007759987e-08
1931,9.124285327288817e-09
1932,1.53433514782364e-08
1933,3.4411986593596566e-09
1934,9.585264137967897e-09
1935,7.180970484910176e-09
1936,1.2124714565686645e-08
1937,1.6368453259474336e-08
1938,2.8523472250796544e-08
1939,7.647025235257843e-09
1940,1.0143131667916805e-08
1941,1.4757512545315876e-08
1942,1.517105907566929e-08
1943,1.4516175816936538e-08
1944,0.0
1945,1.5249527862692958e-08
1946,2.0881657292193267e-08
1947,1.549713246618012e-08
1948,1.0871888278529696e-08
1949,1.0798709482173763e-08
1950,2.1270722072586068e-08
1951,1.2793682557799002e-08
1952,1.0544804140977249e-08
1953,1.6160740745618796e-08
1954,1.07497895029951e-08
1955,4.6928039232341234e-09
1956,1.3081712602058815e-08
1957,1.678657179926546e-08
1958,1.2408365002158916e-08
1959,8.525822714489095e-09
1960,1.1765416696452036e-08
1961,9.72742331128984e-09
1962,1.3318108227355907e-08
1963,2.133797494252576e-08
1964,1.3993127545575135e-08
1965,1.8604948082145967e-08
1966,9.970334780007306e-09
1967,1.232583901611406e-08
1968,2.3355362088750553e-08
1969,2.7704722072030563e-08
1970,1.7015283404475667e-08
1971,8.221435976452085e-09
1972,1.128632298730281e-08
1973,8.821126051827832e-09
1974,1.7439271360331077e-08
1975,2.7415104852934746e-08
1976,1.1427053969725876e-08
1977,9.990529292736028e-09
1978,9.504946163474415e-09
1979,1.0533551808578068e-08
1980,1.193881615790815e-08
1981,1.138598904049104e-08
1982,1.4277255488970297e-08
1983,1.3893695083311286e-08
1984,1.1598016769198694e-08
1985,1.3234227935754461e-08
1986,1.1389522214244607e-08
1987,1.1610551631235921e-08
1988,1.3192418713003917e-08
1989,1.5366741878963808e-08
1990,1.2531897297662908e-08
1991,8.7921980806982e-09
1992,1.8733810946969243e-08
1993,1.883330469354405e-08
1994,1.4242301560329906e-08
1995,5.964695848348356e-09
1996,1.7081895009596337e-08
1997,1.8700088588730068e-08
1998,1.2873949017944142e-08
1999,1.279656292041409e-08
2000,1.3254094710646314e-08
2001,2.190605918883648e-08
2002,1.4019908789464353e-08
2003,2.1251306492331423e-08
2004,9.250062049659391e-09
2005,3.1976622238971686e-08
2006,1.317724773741702e-08
2007,1.1184542181297275e-08
2008,1.1069342775726909e-08
2009,1.3827758493789588e-08
2010,8.97520635589899e-09
2011,8.795135286732148e-09
2012,9.531907513293802e-09
2013,1.2272150407000026e-08
2014,1.1043770342666903e-08
2015,7.536356427806368e-09
2016,7.45682449121432e-09
2017,1.0062445099379147e-08
2018,6.9699601645822895e-09
2019,8.928457084778074e-09
