year,seras_VERB à_ADP,seras_VERB a_ADP,seras_VERB là_ADV
1800,4.7162465932615305e-08,0.0,3.144164484325529e-09
1801,4.0480102825313224e-08,0.0,2.3811825844433088e-09
1802,7.161088433349505e-08,0.0,0.0
1803,4.4857802805609026e-08,0.0,7.801356893821776e-09
1804,8.157108055684148e-08,0.0,0.0
1805,8.24434565060983e-08,0.0,5.685755422035754e-09
1806,2.5935023018064385e-08,0.0,0.0
1807,5.4092147649953404e-08,0.0,8.540865792383556e-09
1808,7.931259204951857e-08,0.0,2.2660739951163578e-09
1809,4.51806094758922e-08,0.0,2.259030518203531e-09
1810,3.2761775514700275e-08,0.0,3.042164919975221e-08
1811,2.5070768572277302e-08,0.0,5.0141535368197765e-09
1812,5.867858021701977e-08,0.0,0.0
1813,2.5881675469463516e-08,0.0,0.0
1814,6.608021863030444e-08,0.0,0.0
1815,3.236668177919455e-08,0.0,0.0
1816,2.0858434979231788e-08,0.0,2.3176038865813098e-09
1817,3.89218364205135e-08,0.0,2.6466848268569265e-08
1818,4.530047448270125e-08,0.0,1.1921176934492905e-08
1819,4.968504185853817e-08,0.0,7.24573512300708e-09
1820,4.865257352548724e-08,0.0,1.3053129244156025e-08
1821,8.57949515875589e-08,0.0,3.550135829755163e-08
1822,8.521773509073682e-08,0.0,1.303330066093622e-08
1823,5.435477845594505e-08,0.0,1.1859224713361982e-08
1824,5.726356633317664e-08,8.421112696055388e-10,1.0947446504872005e-08
1825,5.899646993157148e-08,0.0,9.68598712347557e-09
1826,5.0205510859768765e-08,0.0,8.80798456392995e-09
1827,6.544264152807955e-08,1.8434546111834038e-09,1.8434546111834038e-09
1828,6.695779575238703e-08,0.0,1.1923991571904935e-08
1829,5.658296231558779e-08,8.57317605795771e-10,1.1145129263923081e-08
1830,6.053365098068753e-08,2.0873671680021744e-09,2.1917355041978226e-08
1831,3.741889287312006e-08,0.0,4.677361609140007e-09
1832,7.576782934393123e-08,0.0,2.4353944638733083e-08
1833,1.169946486356821e-07,0.0,5.791814139399776e-09
1834,1.213489042584115e-07,0.0,1.6802156110884425e-08
1835,5.3697924329298985e-08,4.5378527602224494e-09,8.31939672707449e-09
1836,8.535352691296794e-08,0.0,1.5457725766054864e-08
1837,8.001574514082677e-08,0.0,7.653680356156656e-09
1838,9.910094433962513e-08,0.0,1.7042836475411605e-08
1839,6.362242288560083e-08,6.9914751765765e-10,9.788065469251706e-09
1840,4.522479102320176e-08,6.369688665408546e-10,3.821813088222825e-09
1841,7.447836480878323e-08,0.0,1.9903700021473014e-08
1842,6.238686722781495e-08,0.0,9.391571076378114e-09
1843,7.50177733266355e-08,5.906911071384968e-10,5.906910960362666e-09
1844,6.641159444598088e-08,1.097712254427563e-09,1.0428266250528395e-08
1845,5.859239493588575e-08,0.0,1.897277535078956e-08
1846,7.435216531348487e-08,1.7563503984519002e-09,1.1123552745573306e-08
1847,5.608952591273919e-08,0.0,1.1325769655456952e-08
1848,8.20612626739603e-08,0.0,1.850401076808339e-08
1849,2.9327951622803994e-08,0.0,7.54147322368226e-09
1850,5.634866795389826e-08,0.0,4.277067588986938e-08
1851,6.900899762740664e-08,0.0,2.902247508984601e-08
1852,7.096494414327026e-08,0.0,1.0416872697760482e-08
1853,6.867721680237082e-08,1.1943863675867306e-09,1.791579506971175e-08
1854,6.390667550704165e-08,5.195664454227256e-10,1.558699302961486e-08
1855,9.074862816760287e-08,3.714855978387277e-09,2.0697054736729115e-08
1856,5.901995692170203e-08,3.6240324075009767e-09,1.0354378687793542e-08
