year,plusieurs_DET ans_NOUN
1800,9.432493897065797e-09
1801,7.143547753329926e-09
1802,2.2378401354217203e-08
1803,1.5602713787643552e-08
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,0.0
1809,4.518061036407062e-09
1810,1.4040760554223652e-08
1811,5.0141535368197765e-09
1812,1.8670458068470452e-08
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,9.341240669868967e-09
1818,1.7881766067873173e-08
1819,3.1053151161586356e-09
1820,2.610625848831205e-08
1821,4.2404398215012407e-08
1822,4.411270992932259e-08
1823,9.882687224127551e-09
1824,8.252690264498597e-08
1825,6.163809906922779e-09
1826,4.4039921931471326e-08
1827,3.133872894522938e-08
1828,8.346794067026764e-08
1829,1.2859763920403111e-08
1830,1.6698937344017395e-08
1831,3.274153215215847e-08
1832,1.2176972319366541e-08
1833,4.6334514003376626e-09
1834,3.547121618652227e-08
1835,2.647080776796429e-08
1836,2.352262562510532e-08
1837,4.0355768504696243e-08
1838,2.3354999711955315e-08
1839,1.677954131196202e-08
1840,1.6561189752906103e-08
1841,1.6051371787284552e-08
1842,5.366612043644636e-08
1843,5.906910960362666e-09
1844,3.0735943568060975e-08
1845,1.5066614622583074e-08
1846,2.2247105491146613e-08
1847,1.1325769655456952e-08
1848,3.218088684420195e-09
1849,1.005529792763582e-08
1850,1.2899092460827433e-08
1851,1.0319102239364497e-08
1852,1.4323199959420663e-08
1853,3.1651239851271384e-08
1854,2.6497887994914038e-08
1855,3.8209947206269135e-08
1856,1.5531567587601103e-08
1857,3.807577053649425e-08
1858,1.761723389392955e-08
1859,2.6988518975201714e-08
1860,1.7393299245327398e-08
1861,8.488734437595014e-09
1862,7.6805766469068e-09
1863,9.989241933627824e-09
1864,3.548098703731739e-08
1865,2.3534221293974866e-08
1866,2.238181906477621e-08
1867,9.220341823379385e-09
1868,1.7289560005906424e-08
1869,2.0510780074367574e-08
1870,1.77755516972411e-08
1871,1.3807530230280918e-08
1872,6.652073114565837e-09
1873,2.3944018323618366e-08
1874,1.6131444624534197e-08
1875,1.3731664694205392e-08
1876,1.0278224937820823e-08
1877,9.27722432209066e-09
1878,1.8117265465633636e-09
1879,2.2604503158163425e-08
1880,1.8611753915820373e-08
1881,6.9725074602899895e-09
1882,1.0648615988984034e-08
1883,8.21514056781325e-09
1884,1.5183903023796574e-08
1885,1.4180398244523218e-08
1886,7.098810428374236e-09
1887,1.828098877831863e-08
1888,7.608737417896805e-09
1889,2.318100555953606e-08
1890,1.1797895660414781e-08
1891,5.736798147637501e-09
1892,1.6298132621272998e-08
1893,9.23762488724833e-09
1894,3.150769645188234e-09
1895,1.9259566386153892e-08
1896,1.533227589334274e-08
1897,1.5732126712464378e-08
1898,6.7900258748920805e-09
1899,1.0502398950507086e-08
1900,1.661137005726232e-08
1901,7.265360757457984e-09
1902,1.276673788908056e-08
1903,5.400220270956879e-09
1904,9.674325340824907e-09
1905,9.805442513499685e-09
1906,9.773950537805831e-09
1907,4.6285588695127444e-09
1908,1.6698722404839828e-08
1909,7.15127862482845e-09
1910,6.947395991829808e-09
1911,1.0640748726586935e-08
1912,6.251305251225858e-09
1913,1.0075680734189518e-08
1914,1.7411533548283842e-08
1915,1.4136913861761968e-08
1916,3.2962386153911893e-09
1917,1.64496359866817e-08
1918,9.189101035644853e-09
1919,6.4454939163738345e-09
1920,5.300562211374427e-09
1921,8.330022005509363e-09
1922,8.115729421831475e-09
1923,3.715581797791856e-08
1924,6.4458122173149945e-09
1925,7.698724546756353e-09
1926,1.0031524610987219e-08
1927,8.919380123373344e-09
1928,1.3711249025050165e-08
1929,7.798284684668033e-09
1930,1.3654684494213143e-08
1931,9.124285327288817e-09
1932,1.6439305028370654e-08
1933,1.3764794637438627e-08
1934,7.188948103475923e-09
1935,1.3165112555668657e-08
1936,8.487300195980652e-09
1937,6.295559185076627e-09
1938,0.0
1939,1.6823456405745674e-08
1940,7.607348528892999e-09
1941,8.854508237732261e-09
1942,2.4273694165799498e-08
1943,2.0322646676618206e-08
1944,3.213186161588055e-08
1945,2.178504043826024e-09
1946,1.1136883415474585e-08
1947,2.3841741914054637e-09
1948,5.435944139264848e-09
1949,6.871905600114303e-09
1950,1.1698897850465073e-08
1951,9.595261474260042e-09
1952,1.0544804140977249e-08
1953,9.69644453618912e-09
1954,6.840775057526116e-09
1955,4.6928039232341234e-09
1956,5.232684729961079e-09
1957,4.417518795207798e-09
1958,1.1581141046157484e-08
1959,1.2401196514133517e-08
1960,8.305000021024966e-09
1961,4.86371165564492e-09
1962,1.0147130080628841e-08
1963,5.1728425987107585e-09
1964,7.30076216148845e-09
1965,9.302473458205895e-09
1966,9.416427082520329e-09
1967,1.3804939413830652e-08
1968,9.431973424511852e-09
1969,2.0437910364101697e-08
1970,1.2876429700270364e-08
1971,1.9012070140433934e-08
1972,7.182205663536223e-09
1973,8.269805840122046e-09
1974,8.438357623763437e-09
1975,9.138368284311582e-09
1976,5.713526984862938e-09
1977,5.289103655048422e-09
1978,9.504946496541322e-09
1979,5.851973128301324e-09
1980,2.8425753972882717e-09
1981,7.590659656386833e-09
1982,1.0552754226011984e-08
1983,4.420721011477724e-09
1984,5.799008384599347e-09
1985,3.609334831011779e-09
1986,5.994485352545098e-09
1987,3.6664902225425067e-09
1988,1.2592763276586538e-08
1989,1.042743191792539e-08
1990,1.089730194969718e-09
1991,5.275318681885466e-09
1992,7.162927584403178e-09
1993,1.2186256725943423e-08
1994,5.802419322797903e-09
1995,8.133675954979935e-09
1996,1.8683323110835204e-08
1997,4.075660342550691e-08
1998,8.582632937681467e-09
1999,3.6561608462992723e-09
2000,6.627047355323157e-09
2001,8.762423675534592e-09
2002,7.009954283709874e-09
2003,5.8336921959778465e-09
2004,1.1011977996133737e-08
2005,6.7556245042510454e-09
2006,8.647569216257978e-09
2007,7.1900629894372514e-09
2008,2.554463751636149e-09
2009,3.337734755248789e-09
2010,1.4171378737160012e-08
2011,2.6767803529281764e-09
2012,3.0638274417515987e-09
2013,3.3469500504423877e-09
2014,2.815078836704288e-09
2015,5.54143841924315e-09
2016,3.935546250000144e-09
2017,2.0124891197959016e-09
2018,1.8070267504555204e-09
2019,2.5509878653906526e-09
