year,tons_NOUN égaux_ADJ
1800,3.144164395507687e-08
1801,1.4287095950749062e-08
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,0.0
1805,8.528632911009026e-09
1806,1.4408345627714425e-08
1807,0.0
1808,2.945896149242344e-08
1809,2.259030518203531e-09
1810,3.369782461959403e-07
1811,6.518399686683551e-08
1812,5.067695596494559e-08
1813,1.1502966579257645e-08
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,0.0
1817,5.293369653713853e-08
1818,1.0729059418679299e-08
1819,1.1386155129855524e-08
1820,3.5599443393152796e-09
1821,1.577838126820552e-08
1822,1.0025615893027862e-09
1823,4.941343334508019e-09
1824,1.51580028528997e-08
1825,1.937197424695114e-08
1826,1.5854372037438225e-08
1827,9.217273166939322e-09
1828,1.7427371545863934e-08
1829,2.571952872898464e-09
1830,3.652892388572582e-08
1831,7.795603274018958e-09
1832,1.2176972319366541e-08
1833,9.266902800675325e-09
1834,6.534171426153534e-09
1835,4.159698363537245e-08
1836,2.016225053580456e-08
1837,1.8090515752078318e-08
1838,9.468243078458727e-09
1839,1.2584655095793096e-08
1840,1.1465439264668476e-08
1841,1.3483152372373297e-08
1842,2.683306021822318e-09
1843,2.3627644285539873e-09
1844,4.9397050894128824e-09
1845,1.1160455892778032e-09
1846,3.5127007969038004e-09
1847,9.168480197274675e-09
1848,1.126331028444838e-08
1849,7.54147322368226e-09
1850,1.5614691761811628e-08
1851,3.2247193804124663e-09
1852,1.1067927019325907e-08
1853,1.970737528722566e-08
1854,1.7665259477439577e-08
1855,3.714855978387277e-09
1856,9.836659486950339e-09
1857,1.3180074809326925e-08
1858,1.2234189661342043e-08
1859,6.110608019582742e-09
1860,1.4189270203246451e-08
1861,6.6023493339173456e-09
1862,4.517986429419807e-09
1863,9.489779628779615e-09
1864,2.0617330065419992e-08
1865,7.530950973944073e-09
1866,1.0217787504984699e-08
1867,2.426405742994575e-08
1868,1.2843672791973404e-08
1869,1.2208797528501236e-08
1870,1.548193218070537e-08
1871,1.0621176826930423e-08
1872,2.237515595027162e-08
1873,3.591602570907071e-09
1874,1.2546679251101978e-08
1875,1.94531928343622e-08
1876,1.4510435519810017e-08
1877,1.36065949618569e-08
1878,1.509772218355465e-08
1879,9.774920428640144e-09
1880,7.059631101924424e-09
1881,4.183504653809678e-09
1882,7.320923423037584e-09
1883,6.319338829996468e-09
1884,1.0562715146988921e-08
1885,1.2891271161663553e-08
1886,3.2267319927115068e-09
1887,6.528924623161458e-10
1888,6.340614699951175e-10
1889,6.265136742733546e-10
1890,8.520702365899524e-09
1891,3.1871101313640793e-09
1892,6.268512375839919e-09
1893,9.23762488724833e-09
1894,3.780923574225881e-09
1895,1.8055843487019274e-09
1896,1.7691086373616827e-09
1897,8.157399200570126e-09
1898,5.6583546736987955e-09
1899,6.633094074004475e-09
1900,9.34389543516545e-09
1901,4.470991132876634e-09
1902,6.38336894454028e-09
1903,6.480264325148255e-09
1904,4.837162670412454e-09
1905,1.0321517862621477e-08
1906,6.6874399351490865e-09
1907,5.65712765521198e-09
1908,9.331639461152008e-09
1909,6.0510818578052294e-09
1910,1.068830135508847e-09
1911,2.128149656499545e-09
1912,4.167536982180309e-09
1913,6.893886794756554e-09
1914,2.0090231700464756e-09
1915,1.295883844676382e-08
1916,2.197492410260793e-09
1917,1.0966424435210342e-09
1918,5.743188147278033e-09
1919,1.8415696745321952e-09
1920,4.543339038320937e-09
1921,2.2718242842501013e-09
1922,2.3609393551282665e-08
1923,3.1847844361720945e-09
1924,2.578324886925998e-09
1925,7.698724324711748e-09
1926,6.687683296036084e-09
1927,4.4596899506643695e-09
1928,6.8556245125250825e-09
1929,0.0
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,4.383814644626227e-09
1933,4.01473165823063e-08
1934,2.2765002327673756e-08
1935,5.98414207075848e-09
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,9.075650453382877e-09
1939,1.5294050470515685e-09
1940,2.028626333583361e-08
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,4.574858536443571e-08
1946,1.5313215584455975e-08
1947,1.0728784083369192e-08
1948,9.784699273041042e-09
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,8.529121409139861e-09
1952,1.0544804140977249e-08
1953,1.4005975934594517e-08
1954,1.6613311615287785e-08
1955,9.385607846468247e-09
1956,1.3953826538681824e-08
1957,1.4136060322300636e-08
1958,3.3088973783179654e-09
1959,1.5501495198577686e-08
1960,1.1765417085030094e-08
1961,6.25334317660986e-09
1962,1.0147130247162295e-08
1963,2.0044765847160306e-08
1964,7.909158661334459e-09
1965,1.3680108601477059e-08
1966,7.754704434148607e-09
1967,4.930335695263466e-09
1968,1.976222918642634e-08
1969,1.090021850558287e-08
1970,6.898087434592526e-09
1971,1.9012070140433934e-08
1972,2.3598675014113724e-08
1973,7.718485406371656e-09
1974,3.937900228123681e-09
1975,1.1422960355389478e-08
1976,9.712995741040231e-09
1977,7.639816779203557e-09
1978,1.841583241457556e-08
1979,7.607565244427406e-09
1980,1.193881615790815e-08
1981,1.3916208629893845e-08
1982,1.6760255405756652e-08
1983,2.3998200759933752e-08
1984,1.3917620833581168e-08
1985,5.414002135495366e-09
1986,8.991728250862252e-09
1987,5.49973533381376e-09
1988,5.99655392008458e-09
1989,3.2928733073589456e-09
1990,1.3621627381610324e-08
1991,4.10302547493302e-09
1992,9.91789939064347e-09
1993,6.647049133334804e-09
1994,5.274926717646622e-09
1995,3.253470381991974e-09
1996,5.871901187504136e-09
1997,3.835915585170824e-09
1998,8.582632382569955e-09
1999,1.279656292041409e-08
2000,7.95245647111642e-09
2001,1.0076787404500465e-08
2002,8.324320788233308e-09
2003,1.1667384391955693e-08
2004,5.285749615779878e-09
2005,7.656374201303606e-09
2006,1.2765458912156191e-08
2007,5.192823504529542e-09
2008,1.2346575317678798e-08
2009,1.430457752249481e-09
2010,9.447586046817946e-10
2011,2.2943831279320648e-09
2012,6.468080293586809e-09
2013,5.29933741333366e-09
2014,3.4647122948427977e-09
2015,6.871383906315032e-09
2016,4.142679976837371e-09
2017,2.7671724911471074e-09
2018,2.323319980845895e-09
2019,2.5509878653906526e-09
