year,valves_NOUN égales_ADJ
1800,3.144164395507687e-08
1801,9.762848662830947e-08
1802,1.432217686669901e-07
1803,3.842168148082692e-07
1804,8.898663139689234e-08
1805,1.6204403152642044e-07
1806,8.06867319624871e-08
1807,1.9928686256776018e-08
1808,4.5321478125970316e-08
1809,2.25903047379461e-08
1810,7.020380277111826e-09
1811,2.2563691359778204e-08
1812,4.5342538612658245e-08
1813,0.0
1814,0.0
1815,6.47333635583891e-08
1816,1.8540831092650478e-07
1817,2.740097215792048e-07
1818,1.1801965627000754e-07
1819,4.864993385922389e-08
1820,1.1866481131050932e-09
1821,2.1695274909916407e-08
1822,3.208197085768916e-08
1823,2.075364236020505e-08
1824,5.97899019183501e-08
1825,5.987701001686219e-08
1826,3.963592831723872e-08
1827,7.558163578336163e-08
1828,5.1364885678140126e-08
1829,1.971830432268007e-08
1830,1.6907673772159626e-07
1831,5.14509785887185e-08
1832,4.058990654698391e-08
1833,1.2741991128883967e-08
1834,1.4001796166951408e-08
1835,1.663879345414898e-08
1836,4.435695188931277e-08
1837,2.1569462660409044e-08
1838,2.7773513266993177e-08
1839,3.0063343814390464e-08
1840,6.3696887764308485e-09
1841,8.988767952189392e-09
1842,1.2745703159566801e-08
1843,6.025049259505977e-08
1844,1.7563396292885614e-08
1845,1.1718478631905782e-08
1846,2.6930706553685013e-08
1847,3.5055954583640414e-08
1848,1.850400943581576e-08
1849,3.938325066066284e-08
1850,2.5119284430275002e-08
1851,1.1608989325395669e-08
1852,1.6927417689771573e-08
1853,3.1651239851271384e-08
1854,7.79349651480743e-09
1855,3.6087172361476405e-08
1856,6.212626857404757e-09
1857,8.78671624349181e-09
1858,1.3212925420447164e-08
1859,1.0693563812225193e-08
1860,0.0
1861,6.6023493339173456e-09
1862,1.0391368654438793e-08
1863,4.994620828036034e-10
1864,4.315255264231155e-09
1865,2.8241067262513297e-09
1866,1.3623715766630795e-08
1867,8.249779526181555e-09
1868,1.0867722721741302e-08
1869,2.441759683335931e-09
1870,7.454262984651905e-09
1871,6.37270636261178e-09
1872,7.861540751719076e-09
1873,5.986004469882289e-10
1874,6.572070221366744e-09
1875,8.010137886316215e-09
1876,1.3905833817773328e-08
1877,3.710889595609501e-09
1878,2.4156354694326865e-09
1879,1.221865053580018e-09
1880,4.492492600149944e-09
1881,1.8128519130300447e-08
1882,5.324308105514319e-09
1883,1.2638677882037541e-09
1884,1.3203393933736152e-09
1885,3.0939052209078e-08
1886,3.872078213618124e-09
1887,1.4363633837888301e-08
1888,2.1558089535744784e-08
1889,4.385595886446936e-09
1890,7.865263995654459e-09
1891,1.9122660788184476e-08
1892,1.5044429702015805e-08
1893,6.774258043407144e-09
1894,5.671385139294216e-09
1895,9.629783193076946e-09
1896,1.7691086373616827e-09
1897,5.826713334045053e-09
1898,9.619203211741478e-09
1899,1.6582735185011188e-09
1900,1.038210628578895e-09
1901,1.676621730339889e-09
1902,4.910283735171106e-09
1903,5.400220270956879e-09
1904,3.7622376325430196e-09
1905,5.160758931310738e-09
1906,5.144184633820714e-09
1907,8.228549286393161e-09
1908,5.40252820258047e-09
1909,5.5009836685826485e-09
1910,3.7409054742809644e-09
1911,4.788336727123976e-09
1912,1.0418842677495377e-08
1913,4.242391771214216e-09
1914,6.027069510139427e-09
1915,2.3561523843085297e-09
