year,nouveaux_ADJ yeux_NOUN,nouveaux_ADJ lieux_NOUN
1800,1.2576657937302116e-08,1.2576657937302116e-08
1801,2.1430643926123594e-08,2.3811825844433088e-09
1802,1.1189200677108602e-08,2.9091921760482364e-08
1803,7.021220937986072e-08,3.900678446910888e-09
1804,3.460591457837836e-08,4.943701892301533e-09
1805,4.264316544322355e-08,4.8328921309348516e-08
1806,5.76333825108577e-09,5.76333825108577e-09
1807,2.2775640928784924e-08,1.7081731584767113e-08
1808,4.5321478125970316e-08,2.2660739951163578e-09
1809,2.25903047379461e-08,1.3554183553310395e-08
1810,5.3822915901946544e-08,0.0
1811,1.2535384286138651e-08,2.5070768572277302e-08
1812,2.1337665856435706e-08,2.9339290108509886e-08
1813,1.7254450312975678e-08,1.7254450312975678e-08
1814,3.1466771410748606e-09,3.4613449884091096e-08
1815,2.697223555614414e-09,2.4275012222574333e-08
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,2.3353100786493997e-08,4.670620334934483e-09
1818,3.814776761146277e-08,1.7881765401739358e-08
1819,4.0369094733705424e-08,2.070210003424222e-09
1820,3.085285271708926e-08,9.493184904840746e-09
1821,1.4792232327920374e-08,1.676452932031225e-08
1822,2.8071724500478012e-08,7.017931125119503e-09
1823,2.174191138237802e-08,1.581229902569703e-08
1824,3.705289586264371e-08,2.6947560627377243e-08
1825,2.289415235168235e-08,2.3774695989686734e-08
1826,3.082794464148719e-08,1.5854372037438225e-08
1827,1.6591091167583727e-08,7.373818444733615e-09
1828,1.7427371545863934e-08,1.7427371545863934e-08
1829,1.800366966620004e-08,1.7146351893870815e-08
1830,3.026682549034376e-08,6.262101504006523e-09
1831,4.677361609140007e-09,2.182768810143898e-08
1832,1.2176972319366541e-08,9.470978667991403e-09
1833,6.950177322551099e-09,1.6217079235048004e-08
1834,2.240287422239362e-08,3.080395316601425e-08
1835,3.7059130875150004e-08,2.193295500774184e-08
1836,2.352262562510532e-08,1.4785650037651976e-08
1837,2.1569462660409044e-08,2.1569462660409044e-08
1838,2.1461350030449466e-08,1.1361891427696946e-08
1839,4.894032734625853e-09,8.38977065598101e-09
1840,7.64362617644565e-09,1.0191501864653674e-08
1841,3.852329122366882e-09,2.8892468861840825e-08
1842,1.2074877098200432e-08,2.0124794275488966e-08
1843,1.7130041385371442e-08,1.4176587015413133e-08
1844,1.5367971784030487e-08,2.4149668931272572e-08
1845,1.3392547515422848e-08,7.254296274794569e-09
1846,3.0443406018321184e-08,6.439951683034906e-09
1847,8.629157832729106e-09,1.294373674909366e-08
1848,8.84974404868899e-09,1.609044275596716e-08
1849,1.8434713311421547e-08,1.508294689145373e-08
1850,1.0183494048021657e-08,1.8330289286438983e-08
1851,6.449438760824933e-09,2.192809134271556e-08
1852,1.9531636752390114e-08,7.812654523320361e-09
1853,1.0749477752369785e-08,1.3138249599364826e-08
1854,1.4028294081924741e-08,7.27393034694046e-09
1855,1.4859423913549108e-08,1.8043586180738203e-08
1856,1.2942972915652717e-08,3.31340110903966e-08
1857,1.3180074809326925e-08,1.6597130780837688e-08
1858,1.2234189661342043e-08,3.3766365703513657e-08
1859,5.092173349652285e-09,8.096555581538212e-08
1860,1.5104706818647173e-08,1.9224172642662296e-08
1861,1.650587222457034e-08,3.1125361177331e-08
1862,9.487771457372673e-09,1.7620147119146168e-08
1863,1.8480097452311384e-08,6.99246927027275e-09
1864,1.1507347075223606e-08,2.7809422320501653e-08
1865,6.118897832863013e-09,2.7770382438063734e-08
1866,5.352174259343201e-09,2.578774882522339e-08
