year,mérites_NOUN égaux_ADJ
1800,9.432493897065797e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,1.5038423839541792e-08
1823,0.0
1824,9.263223965660927e-09
1825,1.3208164340028361e-08
1826,1.7615968683770689e-09
1827,0.0
1828,2.7516904310687096e-09
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,0.0
1834,5.600718555598405e-09
1835,6.050470346963266e-09
1836,0.0
1837,6.957891152126194e-09
1838,2.5248647617104325e-09
1839,1.3982950353153e-09
1840,1.2739377330817092e-09
1841,2.5682194149112547e-09
1842,5.366612043644636e-09
1843,2.953455480181333e-09
1844,1.2074834465636286e-08
1845,2.9575208060350633e-08
1846,1.1709002656346001e-09
1847,4.853901280910122e-09
1848,0.0
1849,8.379414939696517e-10
1850,8.146795238417326e-09
1851,5.159551008659946e-09
1852,1.2370036550635177e-08
1853,8.957897534855874e-09
1854,6.234797567117312e-09
1855,5.837630823180007e-09
1856,5.177189343896771e-09
1857,1.9526036343364694e-09
1858,4.893676019968041e-10
1859,1.3748867822016564e-08
1860,5.492620580582752e-09
1861,7.545541969022906e-09
1862,1.8071945051545413e-09
1863,3.496234635136375e-09
1864,4.794728170054441e-09
1865,1.6003271596787272e-08
1866,8.271541673821048e-09
1867,4.367530337390235e-09
1868,1.3831646938911035e-08
1869,6.348574999037737e-09
1870,1.1468097582678638e-08
1871,1.0621177271019633e-09
1872,1.5118347462816928e-08
1873,1.7958012854535355e-09
1874,5.974609140757536e-10
1875,5.149374260327022e-09
1876,1.4510435519810017e-08
1877,3.0924081073635534e-09
1878,2.4156354694326865e-09
1879,7.331190321480108e-09
1880,3.8507077526617195e-09
1881,2.091752326904839e-09
1882,3.3276925659464496e-09
1883,1.2638677659992936e-08
1884,3.9610181801208455e-09
1885,8.379326565943757e-09
1886,3.2267319927115068e-09
1887,1.3057849246322917e-09
1888,1.9021844099853524e-09
1889,1.0024218788373673e-08
1890,8.520702365899524e-09
1891,1.0198752065093686e-08
1892,1.2537024751679837e-09
1893,5.542574843531156e-09
1894,9.452309157609307e-09
1895,6.018614495673091e-09
1896,7.66613794667137e-09
1897,8.740070001067579e-09
1898,5.092519295146758e-09
1899,3.8693048765026106e-09
1900,1.86877908703309e-08
1901,5.029864968975062e-09
1902,7.856454153909453e-09
1903,1.4580594509538969e-08
1904,1.2361637935498493e-08
1905,9.28936660926638e-09
1906,1.2346042410626978e-08
1907,1.3885677496716653e-08
1908,8.840499887696751e-09
1909,8.251475058784763e-09
1910,5.878565634276356e-09
1911,1.0640748726586935e-08
1912,9.897900277167082e-09
1913,6.893886794756554e-09
1914,8.705766774141921e-09
1915,2.3561523843085297e-09
1916,7.69122365795738e-09
1917,7.676496771580332e-09
1918,1.378365155346728e-08
1919,1.9336480860943084e-08
1920,3.786115865267448e-09
1921,1.5902768879527684e-08
1922,5.164555005876537e-09
1923,9.554353752605493e-09
1924,2.578324886925998e-09
1925,1.0998178368026856e-08
1926,6.687683296036084e-09
1927,1.4493992672726108e-08
1928,1.3711249025050165e-08
1929,1.1140405931087116e-08
1930,4.201441416995522e-09
1931,1.2545892325022123e-08
1932,9.863582839386709e-09
1933,8.02946331646126e-09
1934,9.585264137967897e-09
1935,1.3165112555668657e-08
1936,1.2124714565686645e-08
1937,8.813782592653752e-09
1938,1.0372171566075394e-08
1939,6.117620188206274e-09
1940,2.028626333583361e-08
1941,2.9515025978810172e-09
1942,0.0
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,2.0881657292193267e-08
1947,5.960435700558264e-09
1948,8.697510267552389e-09
1949,6.8719057111366055e-09
1950,1.1698897850465073e-08
1951,1.1727541604500402e-08
1952,5.272402070488624e-09
