year,différences_NOUN égales_ADJ,différences_NOUN légales_ADJ
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.9091921760482364e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,9.640218934237055e-08,0.0
1805,3.980028751016107e-08,0.0
1806,9.797675204481493e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,3.162642769893864e-08,0.0
1810,1.1466621430145096e-07,0.0
1811,7.771937760026049e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,4.888760685162197e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,8.091670444798638e-09,0.0
1816,1.367386346373678e-07,0.0
1817,1.214361304846534e-07,0.0
1818,2.5034472272977837e-08,0.0
1819,6.417651121637391e-08,0.0
1820,2.966620371580575e-08,2.3732962262101864e-09
1821,8.875339574387908e-09,0.0
1822,2.3058916553964082e-08,0.0
1823,1.4824030003524058e-08,0.0
1824,2.5263338088166165e-09,0.0
1825,8.805443041381977e-10,8.805443041381977e-10
1826,4.492072136486058e-08,2.642395191543301e-09
1827,2.8573547083965423e-08,0.0
1828,1.3758452155343548e-08,2.7516904310687096e-09
1829,1.457439946506156e-08,0.0
1830,5.9489963177838945e-08,0.0
1831,2.182768810143898e-08,0.0
1832,1.488296597074168e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,1.4935249481595747e-08,9.334530925997342e-10
1835,6.806779140333674e-08,1.5126175867408165e-09
1836,3.5619976301859424e-08,2.688300027031687e-09
1837,5.427154903259179e-08,6.957890930081589e-10
1838,2.651107955387033e-08,0.0
1839,1.3982950353153e-09,1.3982950353153e-09
1840,8.280594876453051e-09,0.0
1841,8.988767952189392e-09,1.2841097074556274e-09
1842,6.708265054555795e-09,6.037438549100216e-09
1843,2.7762482091020502e-08,5.906911071384968e-10
1844,7.1351298203126134e-09,1.2623690537338916e-08
1845,1.7298706467272496e-08,3.348136878855712e-09
1846,2.5759806732139623e-08,7.610851504580296e-09
1847,1.4561703842730367e-08,7.011190739092399e-09
1848,1.206783295515379e-08,0.0
1849,1.256912263158938e-08,1.0893239199560867e-08
1850,9.504594444820214e-09,1.2220192857625989e-08
1851,1.805842941848823e-08,5.159551008659946e-09
1852,1.3672145193766028e-08,6.510545436100301e-10
1853,8.957897534855874e-09,1.6124216628554677e-08
1854,3.688921879074769e-08,1.7145692865483397e-08
1855,3.555647865027822e-08,1.5920811335945473e-09
1856,1.0354378687793542e-08,1.0354378465748937e-09
1857,1.4644527812635033e-09,7.810414537345878e-09
1858,2.495774786837046e-08,2.4468380654951716e-09
1859,6.110608019582742e-09,0.0
1860,1.4189270203246451e-08,1.8308735638683515e-09
1861,1.5562680033553988e-08,9.431927461278633e-10
1862,1.400575744270327e-08,1.3553959066214816e-09
1863,2.3974180862751382e-08,9.989241656072068e-10
1864,8.151037178549814e-09,5.274200631788517e-09
1865,9.413688495385486e-09,9.41368871743009e-10
1866,2.3841502994059738e-08,1.9462451650298362e-09
1867,3.299911810472622e-08,1.455843445796745e-09
1868,2.667531973088444e-08,7.409810987013543e-09
1869,2.9789466893248573e-08,5.371870948067681e-09
1870,2.5803219116937726e-08,1.9495765002375265e-08
1871,9.559059321873065e-09,2.1242354542039266e-09
1872,1.69325495846806e-08,0.0
1873,7.183205141814142e-09,9.577607151811662e-09
1874,2.0313670745508716e-08,4.779687312606029e-09
1875,2.6319025181464895e-08,6.293679799540541e-09
1876,3.506688628363008e-08,1.209202959984168e-09
1877,3.710889595609501e-09,2.4739263970730008e-09
1878,8.4547240319921e-09,1.8117265465633636e-09
1879,1.221865097988939e-08,0.0
1880,1.2835692508872398e-08,2.5671385017744797e-09
1881,2.091752193678076e-08,4.183504653809678e-09
1882,2.1962771157291172e-08,6.655385131892899e-10
1883,8.847074184359371e-09,2.5277355764075082e-09
1884,2.3766109080725073e-08,0.0
1885,2.7716232864349877e-08,3.2228177904158883e-09
