year,mêmes_ADJ oies_NOUN,mêmes_ADJ lois_NOUN
1800,6.288328968651058e-09,2.241789388790494e-06
1801,2.3811825844433088e-09,2.0692475573014235e-06
1802,4.475680270843441e-09,2.1460887182911392e-06
1803,0.0,2.3209036044136155e-06
1804,2.4718509461507665e-09,2.3284835606318666e-06
1805,0.0,2.424974582027062e-06
1806,0.0,2.048866690529394e-06
1807,0.0,2.200696371801314e-06
1808,2.2660739951163578e-09,2.442827735649189e-06
1809,0.0,2.252253352708067e-06
1810,0.0,2.1341957108234055e-06
1811,0.0,1.8803075363393873e-06
1812,0.0,2.2857975636725314e-06
1813,0.0,2.5565343548805686e-06
1814,0.0,2.7816624879051233e-06
1815,0.0,2.8563597425090848e-06
1816,0.0,3.1867052712186705e-06
1817,0.0,2.430279437248828e-06
1818,4.768470951432846e-09,2.7740579753299244e-06
1819,0.0,3.094963858529809e-06
1820,3.5599443393152796e-09,2.698437810977339e-06
1821,0.0,2.237571607111022e-06
1822,2.0051231786055723e-09,2.5625474791013403e-06
1823,0.0,2.054610604318441e-06
1824,8.421112696055388e-10,2.5785448087844998e-06
1825,8.805443041381977e-10,1.93367532119737e-06
1826,1.7615968683770689e-09,2.090134785248665e-06
1827,0.0,2.299709649378201e-06
1828,5.503380862137419e-09,2.2160279513627756e-06
1829,0.0,2.3199013412522618e-06
1830,2.0873671680021744e-09,2.3023660560284043e-06
1831,1.5591206103948707e-09,1.91615913536225e-06
1832,0.0,1.9442566099314718e-06
1833,0.0,2.044510438281577e-06
1834,9.334530925997342e-10,2.14134138332156e-06
1835,1.5126175867408165e-09,2.1774130800622515e-06
1836,6.720750067579218e-10,1.922806632137508e-06
1837,0.0,2.0240504454704933e-06
1838,2.5248647617104325e-09,2.064076852548169e-06
1839,6.9914751765765e-10,2.0450065676413942e-06
1840,0.0,2.1924468001088826e-06
1841,0.0,1.7598723616174539e-06
1842,0.0,2.11712836062361e-06
1843,0.0,2.22690550799598e-06
1844,0.0,2.0115576262469403e-06
1845,0.0,1.943035385920666e-06
1846,0.0,2.0572717858158285e-06
1847,0.0,2.13355929190584e-06
1848,0.0,1.9565979982871795e-06
1849,0.0,1.6473929917992791e-06
1850,0.0,1.9973226699221414e-06
1851,0.0,1.8322855339647504e-06
1852,6.510545436100301e-10,1.756545202624693e-06
1853,1.1943863675867306e-09,1.860854013102653e-06
1854,1.558699391779328e-09,1.8044543139694724e-06
1855,1.0613874223963649e-09,1.4811661230851314e-06
1856,5.177189232874468e-10,1.7208976714755408e-06
1857,0.0,1.5220545037664124e-06
1858,4.893676019968041e-10,1.582614800099691e-06
1859,0.0,1.7216638070749468e-06
1860,0.0,1.627646611268574e-06
1861,4.715963730639317e-10,1.8505442085370305e-06
1862,0.0,1.6093066506073228e-06
1863,0.0,1.5398416053358233e-06
1864,4.794727948009836e-10,1.8239145447296323e-06
1865,0.0,1.743885832183878e-06
1866,0.0,1.5623483022864093e-06
1867,0.0,1.6645143432469922e-06
1868,0.0,1.9537201296770945e-06
1869,0.0,1.832296334214334e-06
1870,0.0,1.6399379774156841e-06
1871,0.0,1.4689088629893376e-06
1872,0.0,1.604963813406357e-06
1873,0.0,1.47195851241122e-06
1874,0.0,1.4100077123657684e-06
1875,0.0,1.3806045444653137e-06
1876,0.0,1.5108990965018165e-06
1877,0.0,1.414467419635912e-06
1878,0.0,1.3255800013212138e-06
1879,0.0,1.5682637695135782e-06
1880,1.2835692508872398e-09,1.5402830513266963e-06
1881,6.972507571312292e-10,1.4732908084624796e-06
1882,0.0,1.4395598100236384e-06
1883,3.159669414998234e-09,1.1874037681991467e-06
1884,1.3203393933736152e-09,1.225274900207296e-06
1885,0.0,1.3297346868057502e-06
1886,0.0,1.315215968133998e-06
1887,0.0,1.0348345540478476e-06
1888,1.268122939990235e-09,1.3055325780442217e-06
1889,4.385595886446936e-09,1.112061795538466e-06
1890,0.0,1.226325707648357e-06
