year,pouvez_VERB imiter_VERB,pouvez_VERB limiter_VERB
1800,1.8864987794131594e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.900678446910888e-09,5.851017448321727e-09
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,4.746592452420373e-09,0.0
1821,9.86148829262845e-10,4.930744257336528e-09
1822,1.0025615893027862e-09,1.2030739071633434e-08
1823,2.9648061783404955e-09,9.882686891060644e-10
1824,1.0105335235266466e-08,0.0
1825,1.7610886082763955e-09,0.0
1826,8.807984341885344e-10,1.6735169694470642e-08
1827,0.0,0.0
1828,0.0,0.0
1829,7.715858174606183e-09,4.286587973467704e-09
1830,5.218417697960831e-09,0.0
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,6.950177322551099e-09,0.0
1834,1.5868701908061666e-08,1.3068342852307069e-08
1835,1.0588323107185715e-08,0.0
1836,2.688300027031687e-09,0.0
1837,4.174734336004349e-09,0.0
1838,6.312161904276081e-10,0.0
1839,3.4957374772659477e-09,3.4957374772659477e-09
1840,3.821813088222825e-09,3.821813088222825e-09
1841,1.926164561183441e-09,0.0
1842,4.024959032733477e-09,0.0
1843,5.31621990873532e-09,5.906911071384968e-10
1844,8.232841963717874e-09,0.0
1845,6.696273757711424e-09,0.0
1846,5.854501328173001e-10,4.6836010625384006e-09
1847,2.1572894581822766e-09,1.0786447290911383e-09
1848,3.218088684420195e-09,4.82713291560799e-09
1849,8.379414939696517e-10,0.0
1850,6.788996032014438e-09,6.788996032014438e-10
1851,1.0319102017319892e-08,2.579775504329973e-09
1852,3.906327261660181e-09,1.3021090872200602e-09
1853,6.569124799682413e-09,0.0
1854,1.506742641765868e-08,5.195664454227256e-10
1855,1.6451505047143655e-08,3.1841622671890946e-09
1856,6.73034605824796e-09,5.177189232874468e-10
1857,1.9526036343364694e-09,0.0
1858,7.34051397444091e-09,0.0
1859,3.5645213447565993e-09,0.0
1860,1.373155145145688e-09,4.57718396518203e-09
1861,5.659156698811785e-09,1.8863854922557266e-09
1862,1.8071945051545413e-09,1.3553959066214816e-09
1863,3.995696662428827e-09,4.994620828036034e-10
1864,2.3973640850272204e-09,4.794727948009836e-10
1865,1.882737743486018e-09,0.0
1866,3.8924903300596725e-09,0.0
1867,2.91168689159349e-09,0.0
1868,2.9639244392143382e-09,0.0
1869,4.883519144627257e-10,4.883519144627257e-10
1870,1.204150201772336e-08,1.1468097582678638e-09
1871,2.2304472935275044e-08,0.0
1872,0.0,0.0
1873,4.788803575905831e-09,0.0
1874,2.9873046258899194e-09,7.766991494406739e-09
1875,1.716458086775674e-09,3.432916173551348e-09
1876,2.418405919968336e-09,0.0
1877,4.329371083855449e-09,5.566334504436554e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,1.221865053580018e-09,6.10932526790009e-10
1880,1.9253538763308597e-09,4.492492600149944e-09
1881,6.972507571312292e-10,1.3945015142624584e-09
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,1.2638677882037541e-09,0.0
1884,0.0,4.621187876807653e-09
1885,1.933690763067375e-09,6.445635691854079e-10
1886,2.5813855497602844e-09,1.2906927748801422e-09
1887,5.876032105334161e-09,0.0
1888,1.268122939990235e-09,3.804368819970705e-09
