year,aux_ADP livre_NOUN
1800,3.144164484325529e-09
1801,1.1905913144261149e-08
1802,4.475680270843441e-09
1803,9.75169611727722e-09
1804,1.7302956178966156e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,0.0
1809,4.518061036407062e-09
1810,4.680253518074551e-09
1811,5.0141535368197765e-09
1812,0.0
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,0.0
1817,3.1137468492481446e-08
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,8.306536791735653e-09
1821,4.9307441463142254e-09
1822,0.0
1823,1.9765373782121287e-09
1824,1.6842225392110777e-09
1825,2.641632912414593e-09
1826,7.046387362485973e-09
1827,3.6869091668556564e-09
1828,1.8344602503717056e-09
1829,4.286588084490006e-09
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,0.0
1833,4.633451511359965e-09
1834,6.534171648198139e-09
1835,0.0
1836,1.2097350121642592e-08
1837,1.3915781860163179e-09
1838,1.8936485712828244e-09
1839,2.09744255297295e-09
1840,5.095750821304534e-09
1841,2.5682194149112547e-09
1842,4.024959032733477e-09
1843,8.26967572198356e-09
1844,2.7442806360689076e-09
1845,6.69627359117797e-09
1846,5.269051195355701e-09
1847,4.314578916364553e-09
1848,0.0
1849,1.6758829879393033e-09
1850,2.0366988096043315e-09
1851,5.804494884742439e-09
1852,2.6042181744401205e-09
1853,5.971931837933653e-09
1854,4.1565315633818045e-09
1855,5.306937111981824e-10
1856,3.6240324075009767e-09
1857,5.857810903009408e-09
1858,1.468102750479261e-09
1859,2.036869339860914e-09
1860,2.7463103180469517e-09
1861,3.3011746114475216e-09
1862,9.035972525772706e-10
1863,1.4983862484108101e-09
1864,1.4384183844029508e-09
1865,8.943004337069738e-09
1866,8.758103242634263e-09
1867,2.426405742994575e-09
1868,1.4819622196071691e-09
1869,1.953407657850903e-09
1870,3.4404292748035914e-09
1871,0.0
1872,1.8142017887967654e-09
1873,1.7958012854535355e-09
1874,4.779687479139483e-09
1875,5.721527140956084e-10
1876,3.02300739996042e-09
1877,4.329371194877751e-09
1878,6.039088673581716e-10
