year,leurs_DET livres_NOUN
1800,1.427450683877396e-06
1801,1.6072982269577096e-06
1802,1.6783800447228714e-06
1803,1.6772917561524991e-06
1804,1.7179364100172734e-06
1805,2.5330040642757012e-06
1806,2.227530274012679e-06
1807,2.385748381072972e-06
1808,3.394578946824822e-06
1809,2.2138499464752215e-06
1810,2.2348209753886294e-06
1811,2.519612152696027e-06
1812,1.6990116278314815e-06
1813,2.0072676605309425e-06
1814,1.9761131877515936e-06
1815,1.7504981286720067e-06
1816,2.287475055595678e-06
1817,2.383573136199857e-06
1818,2.281713291196752e-06
1819,3.2916338366106856e-06
1820,2.3044706933816883e-06
1821,2.3253390190047796e-06
1822,1.7945852448519872e-06
1823,1.9508424013992e-06
1824,1.996645821122911e-06
1825,2.277087467916772e-06
1826,2.3129766582030697e-06
1827,2.1531549858622157e-06
1828,2.3490264311476494e-06
1829,2.4202076547297224e-06
1830,2.6540872468672205e-06
1831,2.3074984909499108e-06
1832,2.2865648570125074e-06
1833,1.8012542684076038e-06
1834,2.228152640171288e-06
1835,2.021613397573674e-06
1836,2.154000480203422e-06
1837,1.8988084358184665e-06
1838,2.2338740932603685e-06
1839,1.9869771890057564e-06
1840,1.9083587110557687e-06
1841,2.387802097825187e-06
1842,2.0487040668371037e-06
1843,2.9103349856729466e-06
1844,2.2316489423079844e-06
1845,2.1584321917567095e-06
1846,2.6755070114958812e-06
1847,2.334187273689281e-06
1848,2.275188804468087e-06
1849,1.7672186096717724e-06
1850,2.2464788695941706e-06
1851,2.391451831895708e-06
1852,2.3190562616903776e-06
1853,2.03105405205406e-06
1854,2.166072457399082e-06
1855,2.1365729274691603e-06
1856,2.101421029632178e-06
1857,2.253792794171261e-06
1858,2.0739399140268233e-06
1859,2.212549334856817e-06
1860,2.182858984234315e-06
1861,1.9113800524550584e-06
1862,1.8767715102008253e-06
1863,2.13719830011172e-06
1864,1.9950863361373194e-06
1865,2.0705407544063803e-06
1866,1.7993036465213663e-06
1867,1.6441325367821946e-06
1868,1.6884489442148265e-06
1869,1.6257234851657643e-06
1870,1.594638961321948e-06
1871,1.5953008700719806e-06
1872,1.8565332151609937e-06
1873,1.472557066506397e-06
1874,1.5342796206851972e-06
1875,1.5379464723963565e-06
1876,1.7460891239551302e-06
1877,1.6859808633640228e-06
1878,1.8081031285532845e-06
1879,1.8163024506634429e-06
1880,1.7167738279866285e-06
1881,1.3519692076968681e-06
1882,1.4788265279008783e-06
1883,1.479989172992191e-06
1884,1.5362148300113176e-06
1885,1.4760505724353834e-06
1886,1.5320523125694763e-06
1887,1.348222898656104e-06
1888,1.5395012695762489e-06
1889,1.4791988185436367e-06
1890,1.3724885254973174e-06
1891,1.4080651569159386e-06
1892,1.4179374758782615e-06
1893,1.5205130258211241e-06
1894,1.5249725349164578e-06
1895,1.422198588230117e-06
1896,1.5055115332174296e-06
1897,1.376852456935751e-06
1898,1.4010087046045783e-06
1899,1.4178238405548882e-06
1900,1.307107174497446e-06
1901,1.266408227174054e-06
1902,1.307117615922948e-06
1903,1.289032634410603e-06
1904,1.2162777309754347e-06
1905,1.4166283044403372e-06
1906,1.2675270886219892e-06
1907,1.3587391887170952e-06
1908,1.3368800697577399e-06
1909,1.4126525957891545e-06
1910,1.346191586204526e-06
1911,1.3183887226375646e-06
1912,1.2612009245849265e-06
1913,1.350141179301545e-06
1914,1.3828775440316576e-06
1915,1.220486963937617e-06
1916,1.3877164644071627e-06
1917,1.5342027861464658e-06
1918,1.4725534898119008e-06
1919,1.194257981396163e-06
1920,1.4940013612907421e-06
1921,1.3297744843043802e-06
1922,1.3686070765572822e-06
1923,1.547805229762389e-06
1924,1.2169693777153157e-06
1925,1.3857704139752514e-06
1926,1.2494821657327293e-06
1927,1.3635502078557238e-06
1928,1.294570466825462e-06
1929,1.2532957736066663e-06
1930,1.2215690401440327e-06
1931,1.185016547999851e-06
1932,1.0400600274351746e-06
1933,1.078242286567388e-06
1934,1.0627661222173401e-06
1935,1.2698349385331653e-06
1936,1.050000314251065e-06
1937,9.682569694913212e-07
1938,1.1201945326888563e-06
1939,1.0170543944809651e-06
1940,1.0853151106715586e-06
1941,1.4078667511796539e-06
1942,1.1712056942059235e-06
1943,1.1612940533645144e-06
1944,1.0153668021928297e-06
1945,1.1437145834847229e-06
1946,1.1582358254713654e-06
1947,1.1837425049066042e-06
1948,9.610748650246137e-07
1949,8.805856657190247e-07
1950,8.880527095911361e-07
1951,9.733859762661723e-07
1952,7.971871909262518e-07
1953,8.812990954787381e-07
1954,1.021229968145576e-06
1955,9.526392017455976e-07
1956,8.86940108024703e-07
1957,8.70251204432293e-07
1958,8.768578183548925e-07
1959,8.440564140954621e-07
1960,9.903712765435557e-07
1961,8.282205605780746e-07
1962,8.986552089140787e-07
1963,9.311116655474905e-07
1964,1.0379250205971857e-06
1965,1.018894442594842e-06
1966,1.0263905512175597e-06
1967,1.1290468187041824e-06
1968,1.021797054079343e-06
1969,1.0355207447076964e-06
1970,1.014938591836767e-06
1971,1.08677106958055e-06
1972,8.828982664965679e-07
1973,7.916960793608041e-07
1974,8.218960463324265e-07
1975,7.533442367702037e-07
1976,8.204624473151512e-07
1977,7.992423451952391e-07
1978,7.776233887923922e-07
1979,9.170042076789287e-07
1980,8.124080235205611e-07
1981,8.57111949414957e-07
1982,8.609805748349686e-07
1983,9.637172420084994e-07
1984,8.466552294805751e-07
1985,8.229283618987893e-07
1986,8.901810666372967e-07
1987,9.514541883248739e-07
1988,1.0038231126330288e-06
1989,9.845691453236327e-07
1990,8.88674956733837e-07
1991,9.689002076207487e-07
1992,9.008758476980461e-07
1993,9.904103102087447e-07
1994,9.0464990432082e-07
1995,8.778947950816018e-07
1996,8.610342447923358e-07
1997,9.14386385275634e-07
1998,9.264475071546485e-07
1999,9.405474212798026e-07
2000,1.027192332969662e-06
2001,9.353886882834672e-07
2002,9.770124052010942e-07
2003,9.579755984034932e-07
2004,9.589230707263141e-07
2005,1.0160458838726072e-06
2006,1.027825368815627e-06
2007,9.323115142123584e-07
2008,8.32755194579704e-07
2009,8.773474409196069e-07
2010,8.101305173369155e-07
2011,7.873558178772555e-07
2012,7.938717336841705e-07
2013,7.513902606781642e-07
2014,8.516696148319625e-07
2015,8.015136732097972e-07
2016,9.149108923800497e-07
2017,8.281392567255352e-07
2018,8.090316483411186e-07
2019,8.504993367353109e-07
