year,fausses_ADJ armes_NOUN,fausses_ADJ larmes_NOUN
1800,0.0,2.5153315874604232e-08
1801,0.0,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,1.7057265822018053e-08
1806,0.0,3.458002950651462e-08
1807,0.0,0.0
1808,0.0,1.3596443970698147e-08
1809,0.0,2.25903047379461e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,3.738464116054274e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,3.113746815941454e-09,1.2454987263765815e-08
1818,0.0,4.768470951432846e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,2.0173018810965004e-08
1821,0.0,9.861488514673056e-09
1822,0.0,1.2030739071633434e-08
1823,3.9530747564242574e-09,1.3835761869529506e-08
1824,0.0,1.0105335235266466e-08
1825,0.0,8.805443485471187e-09
1826,0.0,9.688783109140786e-09
1827,0.0,8.295545583791863e-09
1828,0.0,9.172301140836225e-09
1829,0.0,6.001223074036943e-09
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,1.8941957335982806e-08
1833,3.4750886612755494e-09,1.1583628278799551e-08
1834,0.0,6.534171426153534e-09
1835,0.0,1.739510224751939e-08
1836,0.0,1.008112526790228e-08
1837,5.5663127440652715e-09,2.5744196108234974e-08
1838,6.312161904276081e-10,8.2058102535143e-09
1839,6.9914751765765e-10,7.690622361167243e-09
1840,0.0,1.0828470564661075e-08
1841,0.0,8.346713542550788e-09
1842,1.341653010911159e-09,1.408735705865638e-08
1843,0.0,5.906910960362666e-09
1844,0.0,1.2074834465636286e-08
1845,0.0,3.013322924516615e-08
1846,0.0,1.3465353276842507e-08
1847,0.0,2.1572894581822766e-09
1848,0.0,2.413566457803995e-09
1849,0.0,5.865590679832167e-09
1850,0.0,1.0183494048021657e-08
1851,0.0,2.644269869733762e-08
1852,3.906327261660181e-09,3.906327261660181e-09
1853,0.0,3.5831591027601917e-09
1854,0.0,1.0391328686409906e-08
1855,4.2455496895854594e-09,2.175844215912548e-08
1856,5.177189343896771e-09,6.212626857404757e-09
1857,0.0,1.3180074809326925e-08
1858,2.936205500958522e-09,1.8595969208945462e-08
1859,5.092173349652285e-09,1.0693564256314403e-08
1860,0.0,6.408057640072684e-09
1861,9.431927461278633e-10,1.131831339762357e-08
1862,0.0,4.066187830886747e-09
1863,1.4983863039219614e-09,7.991393324857654e-09
1864,4.794727948009836e-10,1.342523781033833e-08
1865,2.3534221238463715e-09,4.706844247692743e-09
1866,9.731225825149181e-10,9.731225603104576e-09
